time,play,score
12:00,Jonas Valanciunas vs. Anthony Davis (DeMarcus Cousins gains possession),0 - 0
11:42,DeMarcus Cousins  misses 21-foot jumper,0 - 0
11:41,P.J. Tucker defensive rebound,0 - 0
11:21,DeMarcus Cousins blocks Jonas Valanciunas 's 5-foot  jumper,0 - 0
11:18,Anthony Davis defensive rebound,0 - 0
11:04,Solomon Hill makes 23-foot  three point jumper  (Jrue Holiday assists),0 - 3
10:47,Jonas Valanciunas  misses layup,0 - 3
10:47,DeMarcus Cousins defensive rebound,0 - 3
10:37,DeMarcus Cousins makes layup,0 - 5
10:19,Cory Joseph  misses 20-foot jumper,0 - 5
10:19,Solomon Hill defensive rebound,0 - 5
10:15,Serge Ibaka blocks Solomon Hill's  layup,0 - 5
10:15,Pelicans offensive team rebound,0 - 5
10:07,Jrue Holiday  misses 26-foot three point jumper,0 - 5
10:06,Jonas Valanciunas defensive rebound,0 - 5
9:49,DeMar DeRozan  misses 14-foot jumper,0 - 5
9:48,DeMarcus Cousins defensive rebound,0 - 5
9:38,Jonas Valanciunas defensive 3-seconds (Technical Foul),0 - 5
9:38,Anthony Davis misses technical free throw,0 - 5
9:38,Pelicans offensive team rebound,0 - 5
9:30,Jrue Holiday  misses 4-foot jumper,0 - 5
9:30,Cory Joseph defensive rebound,0 - 5
9:17,Serge Ibaka  misses 15-foot jumper,0 - 5
9:15,Hollis Thompson defensive rebound,0 - 5
9:04,DeMarcus Cousins  bad pass (Serge Ibaka steals),0 - 5
8:52,Serge Ibaka  misses 20-foot jumper,0 - 5
8:52,Solomon Hill defensive rebound,0 - 5
8:41,DeMarcus Cousins  misses jumper,0 - 5
8:40,DeMarcus Cousins offensive rebound,0 - 5
8:40,DeMarcus Cousins makes two point shot,0 - 7
8:40,Serge Ibaka shooting foul  (DeMarcus Cousins draws the foul),0 - 8
8:40,DeMarcus Cousins makes free throw 1 of 1,0 - 8
8:26,DeMar DeRozan makes driving layup,2 - 8
8:26,Jrue Holiday shooting foul  (DeMar DeRozan draws the foul),3 - 8
8:26,DeMar DeRozan makes free throw 1 of 1,3 - 8
8:10,Hollis Thompson makes  three point jumper  (DeMarcus Cousins assists),3 - 11
8:00,Raptors Full timeout,3 - 11
7:43,DeMar DeRozan  misses 17-foot jumper,3 - 11
7:43,Anthony Davis defensive rebound,3 - 11
7:35,Serge Ibaka personal foul  (DeMarcus Cousins draws the foul),3 - 11
7:35,Patrick Patterson enters the game for Serge Ibaka,3 - 11
7:28,P.J. Tucker blocks Hollis Thompson 's 2-foot  layup,3 - 11
7:26,P.J. Tucker defensive rebound,3 - 11
7:09,Cory Joseph  out of bounds lost ball turnover,3 - 11
6:54,Anthony Davis  misses 7-foot jumper,3 - 11
6:54,Jonas Valanciunas defensive rebound,3 - 11
6:47,P.J. Tucker makes 22-foot jumper (Cory Joseph assists),5 - 11
6:37,DeMarcus Cousins  misses layup,5 - 11
6:35,P.J. Tucker defensive rebound,5 - 11
6:26,Patrick Patterson makes 24-foot  three point jumper  (P.J. Tucker assists),8 - 11
6:15,Jrue Holiday makes two point shot,8 - 13
6:01,Cory Joseph  misses 23-foot three point jumper,8 - 13
6:00,Hollis Thompson defensive rebound,8 - 13
5:43,DeMarcus Cousins makes 25-foot  three point jumper  (Hollis Thompson assists),8 - 16
5:24,Anthony Davis personal foul  (Jonas Valanciunas draws the foul),8 - 16
5:20,Cory Joseph  bad pass (Jrue Holiday steals),8 - 16
5:15,Anthony Davis makes dunk (Jrue Holiday assists),8 - 18
4:50,Jonas Valanciunas makes 5-foot two point shot,10 - 18
4:50,Hollis Thompson shooting foul  (Jonas Valanciunas draws the foul),11 - 18
4:50,Alexis Ajinca enters the game for DeMarcus Cousins,10 - 18
4:50,E'Twaun Moore enters the game for Hollis Thompson,10 - 18
4:50,Jonas Valanciunas makes free throw 1 of 1,11 - 18
4:37,Jrue Holiday  misses 6-foot two point shot,11 - 18
4:35,P.J. Tucker defensive rebound,11 - 18
4:16,Jonas Valanciunas makes 11-foot two point shot,13 - 18
4:16,Alexis Ajinca shooting foul  (Jonas Valanciunas draws the foul),14 - 18
4:16,Jonas Valanciunas makes free throw 1 of 1,14 - 18
4:03,Anthony Davis  misses 7-foot jumper,14 - 18
4:00,Patrick Patterson defensive rebound,14 - 18
3:50,E'Twaun Moore blocks DeMar DeRozan's  jumper,14 - 18
3:49,Solomon Hill defensive rebound,14 - 18
3:45,Solomon Hill Out-of-Bounds Bad Pass Turnover,14 - 18
3:45,Delon Wright enters the game for Cory Joseph,14 - 18
3:45,Norman Powell enters the game for P.J. Tucker,14 - 18
3:30,Jonas Valanciunas  misses 5-foot hook shot,14 - 18
3:27,Delon Wright offensive rebound,14 - 18
3:23,Delon Wright  misses,14 - 18
3:19,Jonas Valanciunas offensive rebound,14 - 18
3:13,Solomon Hill shooting foul  (Patrick Patterson draws the foul),14 - 18
3:13,Patrick Patterson makes free throw 1 of 2,15 - 18
3:13,Jakob Poeltl enters the game for Jonas Valanciunas,15 - 18
3:13,Patrick Patterson misses free throw 2 of 2,15 - 18
3:12,Anthony Davis defensive rebound,15 - 18
3:04,Alexis Ajinca makes dunk (Jrue Holiday assists),15 - 20
2:36,E'Twaun Moore shooting foul  (Jakob Poeltl draws the foul),15 - 20
2:36,Pelicans Full timeout,15 - 20
2:36,P.J. Tucker enters the game for DeMar DeRozan,15 - 20
2:36,Tim Frazier enters the game for Jrue Holiday,15 - 20
2:36,Dante Cunningham enters the game for Solomon Hill,15 - 20
2:36,Jakob Poeltl misses free throw 1 of 2,15 - 20
2:36,Raptors offensive team rebound,15 - 20
2:36,Jakob Poeltl misses free throw 2 of 2,15 - 20
2:35,Alexis Ajinca defensive rebound,15 - 20
2:23,Alexis Ajinca makes dunk (Anthony Davis assists),15 - 22
2:23,P.J. Tucker shooting foul  (Alexis Ajinca draws the foul),15 - 23
2:23,Alexis Ajinca makes free throw 1 of 1,15 - 23
1:59,Norman Powell makes 26-foot  three point jumper,18 - 23
1:43,Jakob Poeltl defensive 3-seconds (Technical Foul),18 - 23
1:43,Anthony Davis makes technical free throw,18 - 24
1:39,Anthony Davis  bad pass (Delon Wright steals),18 - 24
1:29,Norman Powell makes driving dunk,20 - 24
1:13,Alexis Ajinca makes layup (E'Twaun Moore assists),20 - 26
53.0,DeMarcus Cousins enters the game for Anthony Davis,20 - 26
53.0,Jordan Crawford enters the game for Alexis Ajinca,20 - 26
46.0,Delon Wright  misses 24-foot three point jumper,20 - 26
