time,play,score
12:00,Jonas Valanciunas vs. Clint Capela,0 - 0
11:40,Jonas Valanciunas makes 9-foot two point shot,2 - 0
11:23,Trevor Ariza  misses 26-foot three point jumper,2 - 0
11:22,Pascal Siakam defensive rebound,2 - 0
11:11,Jonas Valanciunas makes 2-foot layup (DeMar DeRozan assists),4 - 0
10:45,Patrick Beverley makes 11-foot two point shot (Trevor Ariza assists),4 - 2
10:29,Clint Capela blocks DeMar DeRozan 's 5-foot  jumper,4 - 2
10:26,Jonas Valanciunas offensive rebound,4 - 2
10:21,Jonas Valanciunas makes two point shot,6 - 2
10:17,Ryan Anderson  misses 25-foot three point jumper,6 - 2
10:15,Jonas Valanciunas defensive rebound,6 - 2
10:07,Clint Capela blocks Jonas Valanciunas's  shot,6 - 2
10:07,Raptors offensive team rebound,6 - 2
10:04,Patrick Beverley shooting foul  (DeMar DeRozan draws the foul),6 - 2
10:04,DeMar DeRozan makes free throw 1 of 2,7 - 2
10:04,DeMar DeRozan makes free throw 2 of 2,8 - 2
9:57,Jonas Valanciunas kicked ball violation,8 - 2
9:45,Ryan Anderson makes driving layup (James Harden assists),8 - 4
9:34,DeMarre Carroll  bad pass,8 - 4
9:19,Clint Capela makes 7-foot two point shot (Ryan Anderson assists),8 - 6
9:00,DeMar DeRozan  misses 20-foot jumper,8 - 6
8:57,DeMarre Carroll offensive rebound,8 - 6
8:52,DeMarre Carroll makes 22-foot jumper,10 - 6
8:41,Patrick Beverley  bad pass (DeMarre Carroll steals),10 - 6
8:37,Kyle Lowry makes two point shot (DeMarre Carroll assists),12 - 6
8:15,Jonas Valanciunas blocks Ryan Anderson's  layup,12 - 6
8:12,Ryan Anderson offensive rebound,12 - 6
8:11,Trevor Ariza makes driving layup (Ryan Anderson assists),12 - 8
7:47,DeMarre Carroll  misses 26-foot three point jumper,12 - 8
7:45,Jonas Valanciunas offensive rebound,12 - 8
7:37,Jonas Valanciunas  misses 18-foot jumper,12 - 8
7:35,Ryan Anderson defensive rebound,12 - 8
7:26,James Harden  bad pass (DeMarre Carroll steals),12 - 8
7:20,DeMarre Carroll makes two point shot (Kyle Lowry assists),14 - 8
7:03,Patrick Beverley  misses 23-foot three point jumper,14 - 8
7:01,Jonas Valanciunas defensive rebound,14 - 8
6:48,Jonas Valanciunas  misses 5-foot two point shot,14 - 8
6:47,Clint Capela defensive rebound,14 - 8
6:37,Trevor Ariza  misses 25-foot three point jumper,14 - 8
6:37,Rockets offensive team rebound,14 - 8
6:24,Ryan Anderson makes two point shot,14 - 10
6:07,Trevor Ariza personal foul  (DeMar DeRozan draws the foul),14 - 10
6:01,DeMar DeRozan  misses jumper,14 - 10
5:58,Patrick Beverley defensive rebound,14 - 10
5:52,Clint Capela makes two point shot (James Harden assists),14 - 12
5:43,Kyle Lowry  lost ball turnover (James Harden steals),14 - 12
5:39,Patrick Beverley makes two point shot (James Harden assists),14 - 14
5:33,Kyle Lowry offensive foul  (Patrick Beverley draws the foul),14 - 14
5:33,Kyle Lowry  turnover,14 - 14
5:33,Rockets Full timeout,14 - 14
5:33,Nene  enters the game for Clint Capela,14 - 14
5:33,Eric Gordon enters the game for Patrick Beverley,14 - 14
5:24,DeMarre Carroll blocks Nene  's 4-foot  jumper,14 - 14
5:22,Jonas Valanciunas defensive rebound,14 - 14
5:16,Kyle Lowry makes driving layup,16 - 14
5:01,James Harden  traveling,16 - 14
4:45,DeMarre Carroll  misses 19-foot two point jumper,16 - 14
4:41,James Harden defensive rebound,16 - 14
4:41,James Harden steps out of bounds turnover,16 - 14
4:41,Cory Joseph enters the game for Kyle Lowry,16 - 14
4:28,Jonas Valanciunas  bad pass (Ryan Anderson steals),16 - 14
4:09,Trevor Ariza  misses two point shot,16 - 14
4:09,Jonas Valanciunas defensive rebound,16 - 14
4:09,Ryan Anderson personal foul  (Jonas Valanciunas draws the foul),16 - 14
3:45,Cory Joseph  misses 18-foot jumper,16 - 14
3:45,Raptors offensive team rebound,16 - 14
3:45,shot clock turnover,16 - 14
3:34,James Harden  bad pass (DeMar DeRozan steals),16 - 14
3:29,Pascal Siakam makes two point shot (DeMar DeRozan assists),18 - 14
3:14,Ryan Anderson  misses 28-foot three point jumper,18 - 14
3:13,Jonas Valanciunas defensive rebound,18 - 14
3:06,James Harden shooting foul  (Cory Joseph draws the foul),18 - 14
3:06,Cory Joseph makes free throw 1 of 2,19 - 14
3:06,Patrick Patterson enters the game for Pascal Siakam,19 - 14
3:06,Terrence Ross enters the game for DeMarre Carroll,19 - 14
3:06,Sam Dekker enters the game for Ryan Anderson,19 - 14
3:06,Cory Joseph makes free throw 2 of 2,20 - 14
2:48,Trevor Ariza  misses 24-foot three point jumper,20 - 14
2:47,Jonas Valanciunas defensive rebound,20 - 14
2:32,Terrence Ross makes 22-foot two point shot (Jonas Valanciunas assists),22 - 14
2:15,Eric Gordon  misses 26-foot three point jumper,22 - 14
2:14,Jonas Valanciunas defensive rebound,22 - 14
2:00,Jonas Valanciunas  bad pass (James Harden steals),22 - 14
1:58,Patrick Patterson shooting foul  (James Harden draws the foul),22 - 14
1:58,Raptors Full timeout,22 - 14
1:58,Lucas Nogueira enters the game for Jonas Valanciunas,22 - 14
1:58,James Harden makes free throw 1 of 2,22 - 15
1:58,James Harden makes free throw 2 of 2,22 - 16
1:36,Terrence Ross  misses 19-foot two point jumper,22 - 16
1:35,Nene  defensive rebound,22 - 16
1:22,Eric Gordon  traveling,22 - 16
