time,play,score
12:00,Jonas Valanciunas vs. Tyson Chandler (Kyle Lowry gains possession),0 - 0
11:41,Kyle Lowry  bad pass (Eric Bledsoe steals),0 - 0
11:21,Eric Bledsoe makes 20-foot two point shot,0 - 2
10:59,Kyle Lowry  misses 26-foot three point pullup jump shot,0 - 2
10:56,Tyson Chandler defensive rebound,0 - 2
10:51,Eric Bledsoe  lost ball turnover (Pascal Siakam steals),0 - 2
10:48,P.J. Tucker personal foul  (Jonas Valanciunas draws the foul),0 - 2
10:30,DeMar DeRozan  misses 15-foot,0 - 2
10:29,Tyson Chandler defensive rebound,0 - 2
10:26,Tyson Chandler  bad pass (Kyle Lowry steals),0 - 2
10:15,DeMar DeRozan  misses three point jumper,0 - 2
10:15,Eric Bledsoe defensive rebound,0 - 2
10:10,Eric Bledsoe  bad pass (Pascal Siakam steals),0 - 2
10:02,DeMarre Carroll  misses 24-foot three point jumper,0 - 2
10:00,Tyson Chandler defensive rebound,0 - 2
9:41,Marquese Chriss  misses 24-foot three point jumper,0 - 2
9:41,DeMarre Carroll defensive rebound,0 - 2
9:30,Jonas Valanciunas makes dunk (Kyle Lowry assists),2 - 2
9:03,P.J. Tucker makes 24-foot  three point jumper  (Devin Booker assists),2 - 5
8:42,DeMarre Carroll  misses 26-foot three point jumper,2 - 5
8:41,Jonas Valanciunas offensive rebound,2 - 5
8:38,Marquese Chriss shooting foul  (Jonas Valanciunas draws the foul),2 - 5
8:38,Jonas Valanciunas makes free throw 1 of 2,3 - 5
8:38,Jonas Valanciunas makes free throw 2 of 2,4 - 5
8:17,DeMar DeRozan personal foul  (P.J. Tucker draws the foul),4 - 5
8:07,Marquese Chriss  misses two point jumper,4 - 5
8:07,Jonas Valanciunas defensive rebound,4 - 5
7:56,Jonas Valanciunas  misses 6-foot jumper,4 - 5
7:56,Tyson Chandler defensive rebound,4 - 5
7:43,Devin Booker  misses 4-foot jumper,4 - 5
7:43,Jonas Valanciunas defensive rebound,4 - 5
7:37,Devin Booker personal block  (DeMarre Carroll draws the foul),4 - 5
7:33,DeMarre Carroll  bad pass (Devin Booker steals),4 - 5
7:28,Devin Booker  misses two point shot,4 - 5
7:26,Marquese Chriss offensive rebound,4 - 5
