time,play,score
12:00,Jonas Valanciunas vs. Mason Plumlee (Kyle Lowry gains possession),0 - 0
11:40,Pascal Siakam  misses 7-foot jumper,0 - 0
11:40,Raptors offensive team rebound,0 - 0
11:40,Mason Plumlee loose ball foul  (Jonas Valanciunas draws the foul),0 - 0
11:33,DeMarre Carroll  misses 22-foot jumper,0 - 0
11:30,DeMar DeRozan offensive rebound,0 - 0
11:22,DeMar DeRozan  misses jumper,0 - 0
11:22,Maurice Harkless defensive rebound,0 - 0
11:11,Al-Farouq Aminu  misses 24-foot three point jumper,0 - 0
11:11,Mason Plumlee offensive rebound,0 - 0
11:08,DeMar DeRozan personal foul  (Mason Plumlee draws the foul),0 - 0
11:03,C.J. McCollum makes two point shot,0 - 2
10:48,DeMar DeRozan  misses,0 - 2
10:47,Mason Plumlee defensive rebound,0 - 2
10:38,Maurice Harkless makes layup (Mason Plumlee assists),0 - 4
10:23,Jonas Valanciunas makes layup (DeMar DeRozan assists),2 - 4
10:06,Allen Crabbe  misses 18-foot two point jumper,2 - 4
10:04,Kyle Lowry defensive rebound,2 - 4
10:00,Kyle Lowry  misses Running Pullup Jump Shot,2 - 4
9:59,Mason Plumlee defensive rebound,2 - 4
9:51,Allen Crabbe  misses 13-foot two point shot,2 - 4
9:49,Jonas Valanciunas defensive rebound,2 - 4
9:45,Kyle Lowry Out-of-Bounds Bad Pass Turnover,2 - 4
9:26,Jonas Valanciunas shooting foul  (Mason Plumlee draws the foul),2 - 4
9:26,Mason Plumlee makes free throw 1 of 2,2 - 5
9:26,Mason Plumlee makes free throw 2 of 2,2 - 6
9:14,DeMar DeRozan  misses Driving Floating Jump Shot,2 - 6
9:12,Mason Plumlee defensive rebound,2 - 6
9:07,Maurice Harkless  misses,2 - 6
9:07,DeMarre Carroll defensive rebound,2 - 6
8:56,Jonas Valanciunas  misses 11-foot jumper,2 - 6
8:56,Mason Plumlee defensive rebound,2 - 6
8:47,C.J. McCollum  misses 25-foot three point jumper,2 - 6
8:47,C.J. McCollum offensive rebound,2 - 6
8:42,C.J. McCollum makes layup,2 - 8
8:26,Allen Crabbe personal foul  (DeMar DeRozan draws the foul),2 - 8
8:19,Jonas Valanciunas makes layup (Kyle Lowry assists),4 - 8
8:07,C.J. McCollum  lost ball turnover (DeMar DeRozan steals),4 - 8
8:02,DeMar DeRozan makes 3-foot Running Pullup Jump Shot,6 - 8
7:48,Maurice Harkless offensive foul  (Kyle Lowry draws the foul),6 - 8
7:48,Maurice Harkless  turnover,6 - 8
7:35,Kyle Lowry makes 17-foot two point shot,8 - 8
7:22,Allen Crabbe  misses 19-foot two point jumper,8 - 8
7:22,Jonas Valanciunas defensive rebound,8 - 8
7:16,Kyle Lowry  misses 26-foot three point pullup jump shot,8 - 8
7:16,Al-Farouq Aminu defensive rebound,8 - 8
7:03,Maurice Harkless  misses two point shot,8 - 8
7:01,Mason Plumlee makes dunk,8 - 10
7:01,Mason Plumlee offensive rebound,8 - 8
6:41,DeMarre Carroll  misses 26-foot three point jumper,8 - 10
6:39,Al-Farouq Aminu defensive rebound,8 - 10
6:28,Al-Farouq Aminu  misses 12-foot two point jumper,8 - 10
6:28,DeMar DeRozan defensive rebound,8 - 10
6:22,DeMar DeRozan  out of bounds lost ball turnover,8 - 10
6:05,C.J. McCollum makes 24-foot  three point jumper  (Al-Farouq Aminu assists),8 - 13
5:52,C.J. McCollum shooting foul  (Kyle Lowry draws the foul),8 - 13
5:52,Trail Blazers Full timeout,8 - 13
5:52,Patrick Patterson enters the game for Pascal Siakam,8 - 13
5:52,Evan Turner enters the game for Allen Crabbe,8 - 13
5:52,Kyle Lowry makes free throw 1 of 2,9 - 13
5:52,Kyle Lowry makes free throw 2 of 2,10 - 13
5:33,Mason Plumlee makes 4-foot two point shot (Evan Turner assists),10 - 15
5:16,DeMarre Carroll  misses three point jumper,10 - 15
5:16,Al-Farouq Aminu defensive rebound,10 - 15
5:09,C.J. McCollum  misses Running Pullup Jump Shot,10 - 15
5:09,Jonas Valanciunas defensive rebound,10 - 15
4:58,Patrick Patterson  misses 23-foot three point jumper,10 - 15
4:56,Mason Plumlee defensive rebound,10 - 15
4:50,Maurice Harkless  lost ball turnover (Jonas Valanciunas steals),10 - 15
4:35,Jonas Valanciunas makes 3-foot two point shot,12 - 15
4:20,Mason Plumlee  misses two point shot,12 - 15
4:20,Jonas Valanciunas defensive rebound,12 - 15
4:09,Patrick Patterson  misses 23-foot three point jumper,12 - 15
4:07,Maurice Harkless defensive rebound,12 - 15
4:01,C.J. McCollum makes 24-foot Running Pullup Jump Shot (Maurice Harkless assists),12 - 18
3:45,DeMar DeRozan makes two point shot (Kyle Lowry assists),14 - 18
3:28,Evan Turner makes two point shot (Mason Plumlee assists),14 - 20
3:14,DeMar DeRozan  lost ball turnover (Maurice Harkless steals),14 - 20
3:09,Maurice Harkless  bad pass (Kyle Lowry steals),14 - 20
3:03,Patrick Patterson  misses three point jumper,14 - 20
3:03,Al-Farouq Aminu defensive rebound,14 - 20
2:55,C.J. McCollum  bad pass (DeMar DeRozan steals),14 - 20
2:43,Jonas Valanciunas makes 2-foot layup (DeMar DeRozan assists),16 - 20
2:24,Mason Plumlee makes layup (Evan Turner assists),16 - 22
2:17,Raptors Full timeout,16 - 22
2:17,Cory Joseph enters the game for DeMarre Carroll,16 - 22
2:17,Lucas Nogueira enters the game for Jonas Valanciunas,16 - 22
2:17,Terrence Ross enters the game for Kyle Lowry,16 - 22
2:17,Shabazz Napier enters the game for Maurice Harkless,16 - 22
2:17,Meyers Leonard enters the game for Al-Farouq Aminu,16 - 22
2:17,Allen Crabbe enters the game for Mason Plumlee,16 - 22
2:17,Noah Vonleh enters the game for C.J. McCollum,16 - 22
2:03,DeMar DeRozan makes 16-foot two point shot,18 - 22
1:47,Shabazz Napier  misses 25-foot three point jumper,18 - 22
1:47,DeMar DeRozan defensive rebound,18 - 22
1:28,Patrick Patterson  misses Driving Floating Jump Shot,18 - 22
1:27,Patrick Patterson offensive rebound,18 - 22
1:16,Noah Vonleh shooting foul  (DeMar DeRozan draws the foul),18 - 22
1:16,DeMar DeRozan misses free throw 1 of 2,18 - 22
