time,play,score
12:00,Jonas Valanciunas vs. Marcin Gortat (John Wall gains possession),0 - 0
11:47,Jonas Valanciunas blocks Marcin Gortat 's 1-foot  layup,0 - 0
11:45,Wizards offensive team rebound,0 - 0
11:42,John Wall makes 26-foot  three point jumper  (Marcin Gortat assists),0 - 3
11:22,Jonas Valanciunas  misses 15-foot jumper,0 - 3
11:22,John Wall defensive rebound,0 - 3
11:07,Bradley Beal  misses 24-foot three point jumper,0 - 3
11:07,DeMar DeRozan defensive rebound,0 - 3
11:00,Serge Ibaka  misses jumper,0 - 3
11:00,Serge Ibaka offensive rebound,0 - 3
10:57,Serge Ibaka makes two point shot,2 - 3
10:40,John Wall  misses 28-foot three point jumper,2 - 3
10:38,Serge Ibaka defensive rebound,2 - 3
10:21,Jonas Valanciunas makes driving layup,4 - 3
10:08,Markieff Morris  misses 26-foot three point jumper,4 - 3
10:07,DeMar DeRozan defensive rebound,4 - 3
9:57,DeMarre Carroll makes layup (DeMar DeRozan assists),6 - 3
9:33,Otto Porter Jr. makes 19-foot jumper,6 - 5
9:17,Serge Ibaka  misses 22-foot jumper,6 - 5
9:17,Otto Porter Jr. defensive rebound,6 - 5
9:08,Jonas Valanciunas defensive 3-seconds (Technical Foul),6 - 5
9:08,Bradley Beal makes technical free throw,6 - 6
9:02,John Wall makes 22-foot two point shot (Bradley Beal assists),6 - 8
8:52,Cory Joseph makes driving layup,8 - 8
8:52,John Wall shooting foul  (Cory Joseph draws the foul),8 - 8
8:52,Cory Joseph makes free throw 1 of 1,9 - 8
8:40,DeMar DeRozan personal foul  (Otto Porter Jr. draws the foul),9 - 8
8:26,John Wall makes 26-foot  three point jumper  (Bradley Beal assists),9 - 11
8:04,Serge Ibaka  misses 27-foot three point jumper,9 - 11
8:03,Bradley Beal defensive rebound,9 - 11
7:56,Bradley Beal  misses 20-foot jumper,9 - 11
7:56,Bradley Beal offensive rebound,9 - 11
7:48,Cory Joseph shooting foul  (John Wall draws the foul),9 - 11
7:48,John Wall makes free throw 1 of 2,9 - 12
7:48,John Wall misses free throw 2 of 2,9 - 12
7:48,Jonas Valanciunas defensive rebound,9 - 12
7:39,DeMar DeRozan makes 20-foot two point shot,11 - 12
7:20,Otto Porter Jr.  bad pass (DeMarre Carroll steals),11 - 12
7:16,DeMarre Carroll makes layup,13 - 12
7:03,Marcin Gortat  misses 8-foot jumper,13 - 12
7:01,Bradley Beal offensive rebound,13 - 12
6:58,John Wall makes 26-foot  three point jumper  (Markieff Morris assists),13 - 15
6:35,Cory Joseph  misses 8-foot jumper,13 - 15
6:35,Markieff Morris defensive rebound,13 - 15
6:31,Serge Ibaka blocks Marcin Gortat 's 51-foot   three point jumper,13 - 15
6:30,DeMar DeRozan defensive rebound,13 - 15
6:22,DeMarre Carroll  misses 26-foot three point jumper,13 - 15
6:20,Jonas Valanciunas offensive rebound,13 - 15
6:13,DeMarre Carroll  misses 27-foot three point jumper,13 - 15
6:11,Cory Joseph offensive rebound,13 - 15
6:07,Serge Ibaka  misses 28-foot three point jumper,13 - 15
6:07,Marcin Gortat defensive rebound,13 - 15
5:54,Jonas Valanciunas personal foul  (John Wall draws the foul),13 - 15
5:54,Wizards Full timeout,13 - 15
5:50,Jonas Valanciunas shooting foul  (Marcin Gortat draws the foul),13 - 15
5:50,Marcin Gortat makes free throw 1 of 2,13 - 16
5:50,Patrick Patterson enters the game for Jonas Valanciunas,13 - 16
5:50,Marcin Gortat makes free throw 2 of 2,13 - 17
5:28,DeMar DeRozan makes two point shot,15 - 17
5:05,Bradley Beal  misses 27-foot three point jumper,15 - 17
5:03,Otto Porter Jr. offensive rebound,15 - 17
5:03,Otto Porter Jr.  misses,15 - 17
5:01,DeMar DeRozan defensive rebound,15 - 17
5:00,Patrick Patterson  out of bounds lost ball turnover,15 - 17
5:00,Bojan Bogdanovic enters the game for Markieff Morris,15 - 17
4:35,John Wall makes 21-foot two point shot (Bradley Beal assists),15 - 19
4:24,Serge Ibaka makes 3-foot two point shot (Cory Joseph assists),17 - 19
4:09,John Wall  misses layup,17 - 19
4:09,DeMarre Carroll defensive rebound,17 - 19
4:03,Cory Joseph makes two point shot (DeMarre Carroll assists),19 - 19
3:50,Patrick Patterson personal foul  (Otto Porter Jr. draws the foul),19 - 19
3:50,Otto Porter Jr. makes free throw 1 of 2,19 - 20
3:50,Delon Wright enters the game for Cory Joseph,19 - 20
3:50,Otto Porter Jr. makes free throw 2 of 2,19 - 21
3:35,DeMar DeRozan makes 24-foot  three point jumper  (DeMarre Carroll assists),22 - 21
3:13,Marcin Gortat  bad pass (DeMarre Carroll steals),22 - 21
3:02,Patrick Patterson makes 26-foot  three point jumper  (DeMarre Carroll assists),25 - 21
2:41,Otto Porter Jr.  misses 25-foot three point jumper,25 - 21
2:40,DeMarre Carroll defensive rebound,25 - 21
2:31,DeMarre Carroll  misses 27-foot three point jumper,25 - 21
2:31,Marcin Gortat defensive rebound,25 - 21
2:26,Bradley Beal  bad pass,25 - 21
2:26,Raptors Full timeout,25 - 21
2:26,Kelly Oubre Jr. enters the game for Otto Porter Jr.,25 - 21
2:26,Tomas Satoransky enters the game for Bradley Beal,25 - 21
2:26,Norman Powell enters the game for DeMarre Carroll,25 - 21
2:26,P.J. Tucker enters the game for DeMar DeRozan,25 - 21
2:15,Serge Ibaka makes 26-foot  three point jumper  (Delon Wright assists),28 - 21
2:06,Norman Powell personal foul  (Bojan Bogdanovic draws the foul),28 - 21
2:06,Bojan Bogdanovic makes free throw 1 of 2,28 - 22
