time,play,score
12:00,Clint Capela vs. Al Horford (James Harden gains possession),0 - 0
11:47,Jae Crowder shooting foul  (Ryan Anderson draws the foul),0 - 0
11:47,Ryan Anderson makes free throw 1 of 2,1 - 0
11:47,Ryan Anderson makes free throw 2 of 2,2 - 0
11:34,Jae Crowder  misses 26-foot three point jumper,2 - 0
11:33,Patrick Beverley defensive rebound,2 - 0
11:25,Patrick Beverley  misses,2 - 0
11:23,Jae Crowder defensive rebound,2 - 0
11:11,Al Horford makes 4-foot two point shot,2 - 2
11:03,Clint Capela  misses,2 - 2
11:02,Jaylen Brown defensive rebound,2 - 2
11:00,Jaylen Brown offensive foul  (Patrick Beverley draws the foul),2 - 2
11:00,Jaylen Brown  turnover,2 - 2
10:49,Jonas Jerebko blocks Clint Capela's  jumper,2 - 2
10:48,Clint Capela offensive rebound,2 - 2
10:47,Ryan Anderson  out of bounds lost ball turnover,2 - 2
10:36,Al Horford  bad pass (Ryan Anderson steals),2 - 2
10:29,Patrick Beverley  misses 23-foot three point jumper,2 - 2
10:27,Jonas Jerebko defensive rebound,2 - 2
10:15,Jonas Jerebko makes layup (Al Horford assists),2 - 4
9:56,James Harden  misses 26-foot three point jumper,2 - 4
9:55,Celtics defensive team rebound,2 - 4
9:37,Jaylen Brown  misses 24-foot three point jumper,2 - 4
9:36,Trevor Ariza defensive rebound,2 - 4
9:30,Trevor Ariza  misses 26-foot Regular Jump Shot,2 - 4
9:27,Patrick Beverley offensive rebound,2 - 4
9:15,Ryan Anderson makes 23-foot  three point jumper  (James Harden assists),5 - 4
8:53,Isaiah Thomas makes Driving Floating Jump Shot,5 - 6
8:41,James Harden makes 9-foot Driving Floating Jump Shot (Ryan Anderson assists),7 - 6
8:26,Jae Crowder  misses two point shot,7 - 6
8:25,James Harden defensive rebound,7 - 6
8:18,Clint Capela makes layup (James Harden assists),9 - 6
8:18,Jonas Jerebko shooting block foul  (Clint Capela draws the foul),9 - 6
8:18,Clint Capela misses free throw 1 of 1,9 - 6
8:18,Jonas Jerebko defensive rebound,9 - 6
7:58,Al Horford  misses 9-foot two point shot,9 - 6
7:56,James Harden defensive rebound,9 - 6
7:50,Clint Capela makes two point shot (James Harden assists),11 - 6
7:33,Jae Crowder  misses 25-foot three point jumper,11 - 6
7:31,Clint Capela defensive rebound,11 - 6
7:22,Clint Capela  misses 5-foot,11 - 6
7:20,Al Horford defensive rebound,11 - 6
7:20,Clint Capela personal foul  (Al Horford draws the foul),11 - 6
7:09,Isaiah Thomas makes driving layup,11 - 8
6:50,James Harden  misses three point jumper,11 - 8
6:50,Isaiah Thomas defensive rebound,11 - 8
6:45,Isaiah Thomas makes 26-foot  three point jumper,11 - 11
6:28,James Harden  misses 23-foot three point jumper,11 - 11
6:26,Jaylen Brown defensive rebound,11 - 11
6:20,Patrick Beverley personal foul  (Isaiah Thomas draws the foul),11 - 11
6:11,Al Horford makes dunk (Isaiah Thomas assists),11 - 13
6:01,Al Horford shooting foul  (Ryan Anderson draws the foul),11 - 13
