time,play,score
12:00,Chinanu Onuaku vs. DeAndre Jordan (Luc Mbah a Moute gains possession),0 - 0
11:33,DeAndre Jordan  misses 3-foot hook shot,0 - 0
11:33,DeAndre Jordan offensive rebound,0 - 0
11:33,Chinanu Onuaku shooting foul  (DeAndre Jordan draws the foul),0 - 0
11:33,DeAndre Jordan misses free throw 1 of 2,0 - 0
11:33,Clippers offensive team rebound,0 - 0
11:33,DeAndre Jordan misses free throw 2 of 2,0 - 0
11:33,James Harden defensive rebound,0 - 0
11:15,DeAndre Jordan shooting foul  (Eric Gordon draws the foul),0 - 0
11:15,Eric Gordon makes free throw 1 of 2,1 - 0
11:15,Eric Gordon makes free throw 2 of 2,2 - 0
10:57,JJ Redick  misses 19-foot two point jumper,2 - 0
10:55,Chinanu Onuaku defensive rebound,2 - 0
10:49,Trevor Ariza makes 8-foot two point shot (James Harden assists),4 - 0
10:34,Luc Mbah a Moute makes 20-foot jumper (DeAndre Jordan assists),4 - 2
10:21,Ryan Anderson  misses 27-foot three point jumper,4 - 2
10:19,DeAndre Jordan defensive rebound,4 - 2
10:14,JJ Redick makes two point shot (Chris Paul assists),4 - 4
9:57,Eric Gordon  misses 25-foot three point jumper,4 - 4
9:56,JJ Redick defensive rebound,4 - 4
9:44,Eric Gordon shooting foul  (Luc Mbah a Moute draws the foul),4 - 4
9:44,Luc Mbah a Moute makes free throw 1 of 2,4 - 5
9:44,Luc Mbah a Moute makes free throw 2 of 2,4 - 6
9:22,Chinanu Onuaku  misses,4 - 6
9:18,Chris Paul defensive rebound,4 - 6
9:12,DeAndre Jordan makes dunk (Chris Paul assists),4 - 8
8:56,Blake Griffin shooting foul  (Ryan Anderson draws the foul),4 - 8
8:56,Ryan Anderson makes free throw 1 of 2,5 - 8
8:56,Ryan Anderson makes free throw 2 of 2,6 - 8
8:33,DeAndre Jordan makes layup (Luc Mbah a Moute assists),6 - 10
8:22,Chinanu Onuaku makes 3-foot two point shot (James Harden assists),8 - 10
8:03,Luc Mbah a Moute  misses layup,8 - 10
8:03,Chinanu Onuaku defensive rebound,8 - 10
7:56,Ryan Anderson makes 26-foot  three point jumper  (James Harden assists),11 - 10
7:48,Luc Mbah a Moute makes 1-foot two point shot (Blake Griffin assists),11 - 12
7:35,James Harden  misses 26-foot three point jumper,11 - 12
7:33,Chris Paul defensive rebound,11 - 12
7:33,Ryan Anderson personal foul  (Blake Griffin draws the foul),11 - 12
7:26,Chris Paul makes 21-foot two point shot,11 - 14
7:16,Blake Griffin shooting block foul  (James Harden draws the foul),11 - 14
7:16,James Harden makes free throw 1 of 2,12 - 14
7:16,Paul Pierce enters the game for Blake Griffin,12 - 14
7:16,James Harden makes free throw 2 of 2,13 - 14
7:09,Eric Gordon shooting foul  (Chris Paul draws the foul),13 - 14
7:09,Chris Paul makes free throw 1 of 3,13 - 15
7:09,Chris Paul makes free throw 2 of 3,13 - 16
7:09,Bobby Brown enters the game for Eric Gordon,13 - 16
7:09,Chris Paul makes free throw 3 of 3,13 - 17
6:46,James Harden  misses 25-foot three point jumper,13 - 17
6:45,Chinanu Onuaku offensive rebound,13 - 17
6:33,James Harden  misses 27-foot three point jumper,13 - 17
6:33,Chris Paul defensive rebound,13 - 17
6:31,James Harden personal foul  (DeAndre Jordan draws the foul),13 - 17
6:31,DeAndre Jordan misses free throw 1 of 2,13 - 17
6:31,Clippers offensive team rebound,13 - 17
6:31,DeAndre Jordan makes free throw 2 of 2,13 - 18
6:16,Ryan Anderson makes two point shot (James Harden assists),15 - 18
6:11,JJ Redick  misses 26-foot three point jumper,15 - 18
6:09,Luc Mbah a Moute offensive rebound,15 - 18
6:03,Chris Paul makes 25-foot  three point jumper,15 - 21
5:56,Ryan Anderson  misses 27-foot three point jumper,15 - 21
5:54,DeAndre Jordan defensive rebound,15 - 21
5:45,Luc Mbah a Moute  misses 2-foot two point shot,15 - 21
5:43,Chinanu Onuaku defensive rebound,15 - 21
5:41,James Harden makes two point shot,17 - 21
5:35,Ryan Anderson personal foul  (DeAndre Jordan draws the foul),17 - 21
5:35,Clippers Full timeout,17 - 21
5:35,Montrezl Harrell enters the game for Chinanu Onuaku,17 - 21
5:35,DeAndre Jordan makes free throw 1 of 2,17 - 22
5:35,DeAndre Jordan misses free throw 2 of 2,17 - 22
5:33,Montrezl Harrell defensive rebound,17 - 22
5:11,Bobby Brown makes 27-foot  three point jumper  (Ryan Anderson assists),20 - 22
4:47,Chris Paul  misses 25-foot three point jumper,20 - 22
4:46,Trevor Ariza defensive rebound,20 - 22
4:31,James Harden makes 27-foot  three point jumper  (Ryan Anderson assists),23 - 22
4:15,Paul Pierce  bad pass (Trevor Ariza steals),23 - 22
4:11,Paul Pierce shooting foul  (James Harden draws the foul),23 - 22
4:11,James Harden makes free throw 1 of 2,24 - 22
4:11,Troy Williams enters the game for Ryan Anderson,24 - 22
4:11,James Harden makes free throw 2 of 2,25 - 22
