time,play,score
12:00,Clint Capela vs. Cody Zeller (Marvin Williams gains possession),0 - 0
11:41,Marvin Williams makes 8-foot jumper (Kemba Walker assists),0 - 2
11:26,Ryan Anderson  misses 28-foot three point jumper,0 - 2
11:23,Clint Capela offensive rebound,0 - 2
11:22,Michael Kidd-Gilchrist blocks Clint Capela 's 2-foot  layup,0 - 2
11:19,Kemba Walker defensive rebound,0 - 2
11:15,Cody Zeller  misses layup,0 - 2
11:12,Ryan Anderson defensive rebound,0 - 2
11:06,James Harden  bad pass (Marvin Williams steals),0 - 2
11:03,Marvin Williams  bad pass (Trevor Ariza steals),0 - 2
10:45,James Harden  misses 14-foot jumper,0 - 2
10:45,Nicolas Batum defensive rebound,0 - 2
10:40,Cody Zeller offensive foul  (James Harden draws the foul),0 - 2
10:40,Cody Zeller  turnover,0 - 2
10:18,Patrick Beverley makes 11-foot two point shot (Ryan Anderson assists),2 - 2
10:02,Michael Kidd-Gilchrist makes 6-foot jumper (Kemba Walker assists),2 - 4
9:47,Trevor Ariza  misses 24-foot three point jumper,2 - 4
9:45,Marvin Williams defensive rebound,2 - 4
9:37,Kemba Walker makes layup (Nicolas Batum assists),2 - 6
9:22,Clint Capela makes 6-foot two point shot,4 - 6
9:00,Cody Zeller makes dunk (Nicolas Batum assists),4 - 8
8:41,Patrick Beverley  misses 23-foot three point jumper,4 - 8
8:40,Clint Capela offensive rebound,4 - 8
8:33,Ryan Anderson makes layup,6 - 8
8:17,James Harden blocks Kemba Walker 's 1-foot  layup,6 - 8
8:15,Nicolas Batum offensive rebound,6 - 8
8:15,Nicolas Batum makes two point shot,6 - 10
8:07,Marvin Williams shooting foul  (James Harden draws the foul),6 - 10
8:07,James Harden makes free throw 1 of 2,8 - 10
8:07,James Harden makes free throw 2 of 2,8 - 10
7:50,Michael Kidd-Gilchrist  misses 15-foot jumper,8 - 10
7:48,Rockets defensive team rebound,8 - 10
7:35,Ryan Anderson makes 9-foot jumper,10 - 10
7:16,Cody Zeller  misses layup,10 - 10
7:16,Trevor Ariza defensive rebound,10 - 10
7:07,James Harden  misses layup,10 - 10
7:03,Clint Capela offensive rebound,10 - 10
7:03,Clint Capela makes layup,12 - 10
6:47,Michael Kidd-Gilchrist makes layup (Nicolas Batum assists),12 - 12
6:33,Patrick Beverley  misses layup,12 - 12
6:31,Michael Kidd-Gilchrist defensive rebound,12 - 12
6:24,Marvin Williams makes 25-foot  three point jumper  (Nicolas Batum assists),12 - 15
6:03,James Harden  misses 13-foot step back jumpshot,12 - 15
6:01,Kemba Walker defensive rebound,12 - 15
5:54,Cody Zeller makes 1-foot layup (Kemba Walker assists),12 - 17
5:54,Clint Capela shooting foul  (Cody Zeller draws the foul),12 - 17
5:54,Hornets Full timeout,12 - 17
5:54,Corey Brewer enters the game for Patrick Beverley,12 - 17
5:54,Jeremy Lamb enters the game for Nicolas Batum,12 - 17
5:54,Cody Zeller makes free throw 1 of 1,12 - 18
5:33,James Harden  misses 15-foot jumper,12 - 18
5:31,Jeremy Lamb defensive rebound,12 - 18
5:22,Kemba Walker  bad pass (James Harden steals),12 - 18
5:18,Clint Capela Out-of-Bounds Bad Pass Turnover,12 - 18
5:07,Kemba Walker  bad pass (Corey Brewer steals),12 - 18
4:58,James Harden  misses layup,12 - 18
4:56,Michael Kidd-Gilchrist defensive rebound,12 - 18
4:52,Jeremy Lamb makes 12-foot two point shot (Michael Kidd-Gilchrist assists),12 - 20
4:37,Clint Capela makes two point shot (James Harden assists),14 - 20
4:16,Michael Kidd-Gilchrist  misses 10-foot jumper,14 - 20
4:13,Cody Zeller offensive rebound,14 - 20
4:13,Cody Zeller  misses layup,14 - 20
4:11,Cody Zeller offensive rebound,14 - 20
4:07,Kemba Walker makes 24-foot  three point jumper  (Cody Zeller assists),14 - 23
3:41,Corey Brewer makes  three point jumper  (Trevor Ariza assists),17 - 23
3:28,Marvin Williams  misses 26-foot three point jumper,17 - 23
3:27,James Harden defensive rebound,17 - 23
3:20,James Harden makes driving layup,19 - 23
3:20,Marvin Williams defensive goaltending violation,19 - 23
3:00,Marvin Williams  misses 22-foot three point jumper,19 - 23
2:59,Michael Kidd-Gilchrist offensive rebound,19 - 23
2:54,Jeremy Lamb  misses 19-foot jumper,19 - 23
2:53,Clint Capela defensive rebound,19 - 23
2:45,Ryan Anderson  misses 25-foot three point jumper,19 - 23
2:43,Marvin Williams defensive rebound,19 - 23
2:41,Clint Capela personal block  (Kemba Walker draws the foul),19 - 23
2:41,Rockets Full timeout,19 - 23
2:41,Montrezl Harrell enters the game for Trevor Ariza,19 - 23
2:41,Sam Dekker enters the game for Clint Capela,19 - 23
2:41,Brian Roberts enters the game for Marvin Williams,19 - 23
2:41,Frank Kaminsky III enters the game for Cody Zeller,19 - 23
2:41,Miles Plumlee enters the game for Kemba Walker,19 - 23
2:34,Miles Plumlee  out of bounds lost ball turnover,19 - 23
2:15,Montrezl Harrell makes layup (James Harden assists),21 - 23
