time,play,score
12:00,Clint Capela vs. Jusuf Nurkic (Kenneth Faried gains possession),0 - 0
11:45,Danilo Gallinari  bad pass (Trevor Ariza steals),0 - 0
11:40,Clint Capela makes dunk (Trevor Ariza assists),2 - 0
11:22,Jusuf Nurkic  misses layup,2 - 0
11:22,Ryan Anderson defensive rebound,2 - 0
11:03,Jusuf Nurkic blocks James Harden 's 6-foot  jumper,2 - 0
11:00,Will Barton defensive rebound,2 - 0
10:56,Kenneth Faried makes two point shot (Will Barton assists),2 - 2
10:44,Trevor Ariza makes 23-foot  three point jumper  (Ryan Anderson assists),5 - 2
10:33,Danilo Gallinari  misses 26-foot three point jumper,5 - 2
10:33,Clint Capela defensive rebound,5 - 2
10:23,James Harden  bad pass (Jusuf Nurkic steals),5 - 2
10:18,Kenneth Faried makes two point shot (Emmanuel Mudiay assists),5 - 4
10:07,Ryan Anderson makes 28-foot  three point jumper  (Patrick Beverley assists),8 - 4
9:48,Clint Capela shooting foul  (Danilo Gallinari draws the foul),8 - 4
9:48,Danilo Gallinari makes free throw 1 of 2,8 - 5
9:48,Danilo Gallinari makes free throw 2 of 2,8 - 6
9:37,Trevor Ariza makes 25-foot  three point jumper  (James Harden assists),11 - 6
9:37,Nuggets Full timeout,11 - 6
9:14,Jusuf Nurkic makes dunk (Danilo Gallinari assists),11 - 8
8:53,Ryan Anderson makes 27-foot  three point jumper  (Patrick Beverley assists),14 - 8
8:42,James Harden blocks Jusuf Nurkic 's 3-foot  layup,14 - 8
8:41,Jusuf Nurkic offensive rebound,14 - 8
8:40,Jusuf Nurkic  lost ball turnover (Trevor Ariza steals),14 - 8
8:34,Ryan Anderson  misses 26-foot three point jumper,14 - 8
8:34,Nuggets defensive team rebound,14 - 8
8:32,Wilson Chandler enters the game for Kenneth Faried,14 - 8
8:11,Wilson Chandler  misses 14-foot jumper,14 - 8
8:11,Will Barton offensive rebound,14 - 8
8:06,Jusuf Nurkic makes 6-foot two point shot,14 - 10
7:54,Trevor Ariza makes  three point jumper  (James Harden assists),17 - 10
7:47,Jusuf Nurkic  misses 20-foot jumper,17 - 10
7:46,James Harden defensive rebound,17 - 10
7:31,Jusuf Nurkic shooting foul  (Ryan Anderson draws the foul),17 - 10
7:31,Ryan Anderson makes free throw 1 of 2,18 - 10
7:31,Ryan Anderson makes free throw 2 of 2,19 - 10
7:15,Danilo Gallinari  misses 4-foot jumper,19 - 10
7:13,Clint Capela defensive rebound,19 - 10
6:56,Trevor Ariza  misses 25-foot three point jumper,19 - 10
6:54,Jusuf Nurkic defensive rebound,19 - 10
6:43,Danilo Gallinari makes 20-foot jumper,19 - 12
6:28,Ryan Anderson  misses 25-foot three point jumper,19 - 12
6:26,Clint Capela offensive rebound,19 - 12
6:26,Clint Capela  misses layup,19 - 12
6:24,Clint Capela offensive rebound,22 - 12
6:24,Will Barton shooting foul  (Clint Capela draws the foul),22 - 12
6:24,Clint Capela makes layup,22 - 12
6:24,Clint Capela makes free throw 1 of 1,20 - 12
6:01,Wilson Chandler makes 12-foot two point shot,21 - 14
5:56,Patrick Beverley  misses 20-foot jumper,21 - 14
5:56,Patrick Beverley offensive rebound,21 - 14
5:52,Ryan Anderson makes 27-foot  three point jumper  (Patrick Beverley assists),24 - 14
5:52,Nuggets 20 Sec. timeout,24 - 14
5:52,Eric Gordon enters the game for Patrick Beverley,25 - 14
5:52,Darrell Arthur enters the game for Jusuf Nurkic,25 - 14
5:52,Montrezl Harrell enters the game for Clint Capela,25 - 14
5:35,Danilo Gallinari makes 23-foot jumper (Emmanuel Mudiay assists),25 - 16
5:01,James Harden makes layup,27 - 16
4:54,Wilson Chandler  misses 25-foot three point jumper,27 - 16
4:54,Emmanuel Mudiay offensive rebound,27 - 16
4:50,Emmanuel Mudiay  misses jumper,27 - 16
4:50,Trevor Ariza defensive rebound,27 - 16
4:33,James Harden offensive rebound,27 - 16
4:33,Darrell Arthur personal foul  (James Harden draws the foul),29 - 16
4:33,James Harden makes free throw 1 of 2,28 - 16
4:33,Jameer Nelson enters the game for Will Barton,28 - 16
4:33,James Harden makes free throw 2 of 2,29 - 16
4:33,James Harden  misses 6-foot Regular Jump Shot,29 - 16
4:20,Wilson Chandler Out-of-Bounds Bad Pass Turnover,29 - 16
4:20,Sam Dekker enters the game for Ryan Anderson,29 - 16
4:09,Darrell Arthur blocks James Harden 's 2-foot  layup,29 - 16
4:09,Rockets offensive team rebound,29 - 16
4:03,Sam Dekker  misses 25-foot three point jumper,29 - 16
4:01,Danilo Gallinari defensive rebound,29 - 16
3:50,Darrell Arthur makes 18-foot jumper (Emmanuel Mudiay assists),29 - 18
3:38,Montrezl Harrell makes dunk (Eric Gordon assists),31 - 18
3:21,Emmanuel Mudiay  misses 19-foot jumper,31 - 18
3:20,Trevor Ariza defensive rebound,31 - 18
3:13,James Harden  misses 25-foot three point jumper,31 - 18
3:12,Darrell Arthur defensive rebound,31 - 18
3:10,Darrell Arthur  bad pass (Trevor Ariza steals),31 - 18
3:05,Trevor Ariza makes two point shot,33 - 18
2:49,Jameer Nelson  misses 24-foot three point jumper,33 - 18
2:48,Darrell Arthur offensive rebound,33 - 18
2:44,Wilson Chandler makes 26-foot  three point jumper  (Darrell Arthur assists),33 - 21
2:28,Eric Gordon  misses 26-foot three point jumper,33 - 21
2:27,Emmanuel Mudiay defensive rebound,33 - 21
2:25,Danilo Gallinari makes dunk (Emmanuel Mudiay assists),33 - 23
2:25,Rockets Full timeout,33 - 23
2:25,Corey Brewer enters the game for Trevor Ariza,33 - 23
2:25,Alonzo Gee enters the game for Danilo Gallinari,33 - 23
2:25,Jamal Murray enters the game for Emmanuel Mudiay,33 - 23
2:25,Patrick Beverley enters the game for James Harden,33 - 23
2:05,Patrick Beverley  misses 24-foot three point jumper,33 - 23
2:04,Sam Dekker offensive rebound,33 - 23
1:57,Sam Dekker  misses,33 - 23
1:50,Sam Dekker offensive rebound,33 - 23
1:43,Eric Gordon makes  three point jumper,36 - 23
1:16,Jamal Murray  misses 19-foot jumper,36 - 23
1:15,Darrell Arthur makes two point shot,36 - 25
1:15,Darrell Arthur offensive rebound,36 - 25
1:09,Darrell Arthur personal foul  (Sam Dekker draws the foul),38 - 25
1:09,Sam Dekker makes free throw 1 of 2,37 - 25
1:09,Kenneth Faried enters the game for Darrell Arthur,37 - 25
1:09,Sam Dekker makes free throw 2 of 2,38 - 25
48.0,Jameer Nelson makes 26-foot  three point jumper  (Alonzo Gee assists),38 - 28
40.0,Eric Gordon makes driving layup,40 - 28
32.0,Wilson Chandler makes 25-foot  three point jumper  (Jameer Nelson assists),40 - 31
