time,play,score
12:00,Clint Capela vs. Dewayne Dedmon (Tony Parker gains possession),0 - 0
11:34,Danny Green  misses 25-foot three point jumper,0 - 0
11:33,Clint Capela defensive rebound,0 - 0
11:26,James Harden  misses 25-foot three point jumper,0 - 0
11:26,Dewayne Dedmon defensive rebound,0 - 0
11:18,Kawhi Leonard makes 18-foot two point shot,0 - 2
11:00,Clint Capela makes layup (James Harden assists),2 - 2
10:45,LaMarcus Aldridge  misses 19-foot jumper,2 - 2
10:44,Clint Capela defensive rebound,2 - 2
10:26,James Harden makes two point shot,4 - 2
10:02,Kawhi Leonard makes 26-foot  three point jumper  (Danny Green assists),4 - 5
9:52,Danny Green personal foul  (Patrick Beverley draws the foul),4 - 5
9:47,Clint Capela makes two point shot (James Harden assists),6 - 5
9:33,Tony Parker makes 14-foot two point shot,6 - 7
9:18,Trevor Ariza makes two point shot (James Harden assists),8 - 7
9:00,Tony Parker Out-of-Bounds Bad Pass Turnover,8 - 7
8:53,Trevor Ariza  misses 25-foot three point jumper,8 - 7
8:53,Tony Parker defensive rebound,8 - 7
8:40,Danny Green  misses 23-foot three point jumper,8 - 7
8:38,Patrick Beverley defensive rebound,8 - 7
8:25,Ryan Anderson  misses 25-foot three point jumper,8 - 7
8:23,Dewayne Dedmon defensive rebound,8 - 7
8:12,Tony Parker  misses driving layup,8 - 7
8:11,Patrick Beverley defensive rebound,8 - 7
8:03,Trevor Ariza  misses 25-foot three point jumper,8 - 7
8:02,Clint Capela offensive rebound,8 - 7
8:00,Clint Capela  misses layup,8 - 7
7:58,Ryan Anderson offensive rebound,8 - 7
7:58,Ryan Anderson makes dunk,10 - 7
7:41,Dewayne Dedmon Out-of-Bounds Bad Pass Turnover,10 - 7
7:33,Danny Green kicked ball violation,10 - 7
7:15,Clint Capela makes 17-foot two point shot,12 - 7
6:54,Tony Parker  misses 1-foot two point shot,12 - 7
6:54,Clint Capela defensive rebound,12 - 7
6:39,Patrick Beverley makes two point shot (James Harden assists),14 - 7
6:39,Spurs Full timeout,14 - 7
6:39,Patty Mills enters the game for Tony Parker,14 - 7
6:20,Kawhi Leonard  misses 13-foot two point shot,14 - 7
6:18,Patrick Beverley defensive rebound,14 - 7
6:07,James Harden makes 25-foot  three point jumper,17 - 7
5:52,LaMarcus Aldridge makes 3-foot two point shot (Patty Mills assists),17 - 9
5:30,Clint Capela  misses layup,17 - 9
5:28,Dewayne Dedmon defensive rebound,17 - 9
5:20,Kawhi Leonard makes 23-foot  three point jumper  (Patty Mills assists),17 - 12
4:58,Dewayne Dedmon shooting foul  (James Harden draws the foul),17 - 12
4:58,James Harden makes free throw 1 of 3,18 - 12
4:58,James Harden makes free throw 2 of 3,19 - 12
4:58,Pau Gasol enters the game for Dewayne Dedmon,19 - 12
4:58,Manu Ginobili enters the game for Danny Green,19 - 12
4:58,Eric Gordon enters the game for Patrick Beverley,19 - 12
4:58,James Harden makes free throw 3 of 3,20 - 12
4:37,LaMarcus Aldridge  lost ball turnover (Clint Capela steals),20 - 12
4:28,Clint Capela offensive foul  (Manu Ginobili draws the foul),20 - 12
4:28,Clint Capela  turnover,20 - 12
