time,play,score
12:00,Dewayne Dedmon vs. Jahlil Okafor (Tony Parker gains possession),0 - 0
11:37,LaMarcus Aldridge makes 18-foot two point shot,2 - 0
11:15,Ersan Ilyasova  misses 19-foot jumper,2 - 0
11:14,LaMarcus Aldridge defensive rebound,2 - 0
10:53,Dewayne Dedmon makes dunk (Tony Parker assists),4 - 0
10:37,back court turnover,4 - 0
10:29,Danny Green  bad pass (Ersan Ilyasova steals),4 - 0
10:18,Jahlil Okafor makes jumper (Robert Covington assists),4 - 2
9:55,Jahlil Okafor shooting foul  (Dewayne Dedmon draws the foul),4 - 2
9:55,Dewayne Dedmon makes free throw 1 of 2,5 - 2
9:55,Dewayne Dedmon makes free throw 2 of 2,6 - 2
9:37,TJ McConnell  misses 10-foot jumper,6 - 2
9:34,Jahlil Okafor offensive rebound,6 - 2
9:34,Jahlil Okafor  misses tip-in layup,6 - 2
9:33,Dewayne Dedmon defensive rebound,6 - 2
9:19,Kawhi Leonard  misses 26-foot three point jumper,6 - 2
9:18,Gerald Henderson defensive rebound,6 - 2
9:11,Gerald Henderson  lost ball turnover (Danny Green steals),6 - 2
9:04,Danny Green  misses 24-foot three point jumper,6 - 2
9:00,Robert Covington defensive rebound,6 - 2
8:57,Gerald Henderson  misses 24-foot three point jumper,6 - 2
8:55,Dewayne Dedmon defensive rebound,6 - 2
8:41,LaMarcus Aldridge  lost ball turnover (TJ McConnell steals),6 - 2
8:26,Jahlil Okafor  misses 5-foot hook shot,6 - 2
8:26,76ers offensive team rebound,6 - 2
8:11,TJ McConnell makes 15-foot two point shot,6 - 4
8:10,Spurs Full timeout,6 - 4
7:52,Tony Parker makes 8-foot two point shot,8 - 4
7:39,Ersan Ilyasova  misses 26-foot three point jumper,8 - 4
7:37,LaMarcus Aldridge defensive rebound,8 - 4
7:28,LaMarcus Aldridge  misses 25-foot three point jumper,8 - 4
7:26,Ersan Ilyasova defensive rebound,8 - 4
7:16,Robert Covington  misses 29-foot three point jumper,8 - 4
7:15,LaMarcus Aldridge defensive rebound,8 - 4
7:00,Tony Parker makes 14-foot two point shot,10 - 4
6:45,Dewayne Dedmon shooting foul  (Jahlil Okafor draws the foul),10 - 4
6:45,Jahlil Okafor makes free throw 1 of 2,10 - 5
6:45,Nik Stauskas enters the game for Gerald Henderson,10 - 5
6:45,Jahlil Okafor makes free throw 2 of 2,10 - 6
6:28,Danny Green makes 8-foot Driving Floating Jump Shot,12 - 6
6:09,Robert Covington makes driving layup (TJ McConnell assists),12 - 8
5:56,Tony Parker makes 18-foot two point shot,14 - 8
5:37,Dewayne Dedmon shooting foul  (Jahlil Okafor draws the foul),14 - 8
5:37,Jahlil Okafor makes free throw 1 of 2,14 - 9
5:37,Patty Mills enters the game for Dewayne Dedmon,14 - 9
5:37,David Lee enters the game for Danny Green,14 - 9
5:37,Manu Ginobili enters the game for Tony Parker,14 - 9
5:37,Dario Saric enters the game for Ersan Ilyasova,14 - 9
5:37,Jahlil Okafor misses free throw 2 of 2,14 - 9
5:37,Spurs defensive team rebound,14 - 9
5:37,Dario Saric loose ball foul  (David Lee draws the foul),14 - 9
5:37,Nerlens Noel enters the game for Jahlil Okafor,14 - 9
5:15,Dario Saric shooting block foul  (LaMarcus Aldridge draws the foul),14 - 9
5:15,LaMarcus Aldridge misses free throw 1 of 2,14 - 9
5:15,Spurs offensive team rebound,14 - 9
5:15,LaMarcus Aldridge makes free throw 2 of 2,15 - 9
4:54,Nerlens Noel  misses 5-foot hook shot,15 - 9
4:54,LaMarcus Aldridge defensive rebound,15 - 9
4:31,LaMarcus Aldridge makes 6-foot two point shot,17 - 9
4:22,LaMarcus Aldridge blocks Nerlens Noel 's 8-foot  jumper,17 - 9
4:22,Spurs defensive team rebound,17 - 9
4:11,LaMarcus Aldridge  misses 17-foot jumper,17 - 9
4:07,Nerlens Noel defensive rebound,17 - 9
3:58,Manu Ginobili personal block  (Nik Stauskas draws the foul),17 - 9
3:49,Nik Stauskas  misses 27-foot three point jumper,17 - 9
3:48,Patty Mills defensive rebound,17 - 9
3:41,David Lee  bad pass (Robert Covington steals),17 - 9
3:35,David Lee shooting foul  (Robert Covington draws the foul),17 - 9
3:35,Robert Covington makes free throw 1 of 2,17 - 10
3:35,Davis Bertans enters the game for LaMarcus Aldridge,17 - 10
3:35,Robert Covington makes free throw 2 of 2,17 - 11
3:26,Manu Ginobili Out-of-Bounds Bad Pass Turnover,17 - 11
3:26,76ers Full timeout,17 - 11
2:59,TJ McConnell  misses 19-foot jumper,17 - 11
2:57,Nerlens Noel offensive rebound,17 - 11
2:50,TJ McConnell makes 4-foot two point shot (Nik Stauskas assists),17 - 13
2:40,Kawhi Leonard makes 6-foot two point shot,19 - 13
2:20,Dario Saric makes  three point jumper  (Nik Stauskas assists),19 - 16
2:06,Patty Mills makes 15-foot jumper (Davis Bertans assists),21 - 16
