time,play,score
12:00,Pau Gasol vs. John Henson (Matthew Dellavedova gains possession),0 - 0
11:37,Giannis Antetokounmpo  misses 8-foot two point shot,0 - 0
11:36,Pau Gasol defensive rebound,0 - 0
11:17,Kawhi Leonard  misses 7-foot jumper,0 - 0
11:15,Tony Snell defensive rebound,0 - 0
11:07,Matthew Dellavedova  misses driving layup,0 - 0
11:06,Pau Gasol defensive rebound,0 - 0
10:56,Danny Green  out of bounds lost ball turnover,0 - 0
10:37,Giannis Antetokounmpo makes 18-foot two point shot,0 - 2
10:15,Kawhi Leonard makes 13-foot jumper (Tony Parker assists),2 - 2
10:03,Tony Snell  misses 25-foot three point jumper,2 - 2
10:02,LaMarcus Aldridge defensive rebound,2 - 2
9:52,Tony Parker  misses 7-foot two point shot,2 - 2
9:51,Giannis Antetokounmpo defensive rebound,2 - 2
9:45,LaMarcus Aldridge shooting foul  (Jabari Parker draws the foul),2 - 2
9:45,Jabari Parker makes free throw 1 of 2,2 - 3
9:45,Jabari Parker makes free throw 2 of 2,2 - 4
9:32,Pau Gasol makes 24-foot  three point jumper  (LaMarcus Aldridge assists),5 - 4
9:21,Kawhi Leonard shooting foul  (John Henson draws the foul),5 - 4
9:21,John Henson makes free throw 1 of 2,5 - 5
9:21,John Henson makes free throw 2 of 2,5 - 6
8:53,Danny Green makes 25-foot  three point jumper  (Tony Parker assists),8 - 6
8:32,John Henson makes 2-foot two point shot (Jabari Parker assists),8 - 8
8:15,Kawhi Leonard makes 26-foot  three point jumper  (LaMarcus Aldridge assists),11 - 8
8:03,Giannis Antetokounmpo makes driving dunk,11 - 10
7:46,Pau Gasol  bad pass (Giannis Antetokounmpo steals),11 - 10
7:41,Giannis Antetokounmpo  misses layup,11 - 10
7:39,Jabari Parker offensive rebound,11 - 10
7:39,Jabari Parker makes two point shot,11 - 12
7:39,Spurs Full timeout,11 - 12
7:18,Pau Gasol makes 17-foot jumper (Tony Parker assists),13 - 12
7:03,Matthew Dellavedova makes 5-foot two point shot,13 - 14
