time,play,score
12:00,Pau Gasol vs. Amir Johnson (LaMarcus Aldridge gains possession),0 - 0
11:37,LaMarcus Aldridge  misses 16-foot,0 - 0
11:37,Avery Bradley defensive rebound,0 - 0
11:11,Amir Johnson  misses two-point shot,0 - 0
11:10,Danny Green defensive rebound,0 - 0
10:53,Al Horford blocks Pau Gasol 's 16-foot  jumper,0 - 0
10:52,Avery Bradley defensive rebound,0 - 0
10:45,Al Horford  misses 25-foot three point jumper,0 - 0
10:44,Tony Parker defensive rebound,0 - 0
10:33,Al Horford blocks Pau Gasol 's 21-foot  jumper,0 - 0
10:30,Avery Bradley defensive rebound,0 - 0
10:22,Avery Bradley makes two point shot,0 - 2
9:59,Kawhi Leonard makes 26-foot  three point jumper  (Tony Parker assists),3 - 2
9:34,Al Horford makes driving dunk (Jae Crowder assists),3 - 4
9:11,Danny Green makes 25-foot  three point jumper  (Kawhi Leonard assists),6 - 4
8:52,Isaiah Thomas makes two point shot (Al Horford assists),6 - 6
8:33,Tony Parker makes 6-foot two point shot,8 - 6
8:18,Al Horford  misses 25-foot three point jumper,8 - 6
8:17,Pau Gasol defensive rebound,8 - 6
8:12,Kawhi Leonard  lost ball turnover (Jae Crowder steals),8 - 6
7:58,Avery Bradley makes 23-foot  step back jumpshot,8 - 9
7:41,LaMarcus Aldridge  misses 6-foot two point shot,8 - 9
7:41,Al Horford defensive rebound,8 - 9
7:33,Danny Green blocks Avery Bradley 's 2-foot  layup,8 - 9
7:33,Avery Bradley offensive rebound,8 - 9
7:28,Jae Crowder makes 25-foot  three point jumper  (Avery Bradley assists),8 - 12
7:13,Tony Parker  misses 19-foot two point jumper,8 - 12
7:11,Isaiah Thomas defensive rebound,8 - 12
7:05,Kawhi Leonard shooting foul  (Isaiah Thomas draws the foul),8 - 12
7:05,Isaiah Thomas misses free throw 1 of 2,8 - 12
7:05,Celtics offensive team rebound,8 - 12
7:05,Isaiah Thomas makes free throw 2 of 2,8 - 13
6:50,Tony Parker traveling turnover,8 - 13
6:39,Avery Bradley makes two point shot (Isaiah Thomas assists),8 - 15
6:39,Spurs Full timeout,8 - 15
6:39,Patty Mills enters the game for LaMarcus Aldridge,8 - 15
6:39,David Lee enters the game for Pau Gasol,8 - 15
6:39,Davis Bertans enters the game for Tony Parker,8 - 15
6:24,Patty Mills makes 21-foot jumper (David Lee assists),10 - 15
6:09,Jae Crowder makes 26-foot  step back jumpshot  (Isaiah Thomas assists),10 - 18
5:54,Kawhi Leonard  misses 11-foot hook shot,10 - 18
5:52,Kawhi Leonard offensive rebound,10 - 18
5:48,Kawhi Leonard  misses 7-foot,10 - 18
5:47,Al Horford defensive rebound,10 - 18
5:35,Jae Crowder makes 16-foot two point shot (Al Horford assists),10 - 20
5:18,Amir Johnson blocks David Lee's  layup,10 - 20
5:16,Avery Bradley defensive rebound,10 - 20
5:07,Jae Crowder makes layup (Al Horford assists),10 - 22
4:50,Patty Mills  bad pass (Amir Johnson steals),10 - 22
4:45,Danny Green blocks Avery Bradley 's 5-foot  jumper,10 - 22
4:45,Celtics offensive team rebound,10 - 22
4:45,Jonas Jerebko enters the game for Amir Johnson,10 - 22
4:45,Marcus Smart enters the game for Jae Crowder,10 - 22
4:45,Jonathon Simmons enters the game for Danny Green,10 - 22
4:45,Manu Ginobili enters the game for Kawhi Leonard,10 - 22
4:41,Avery Bradley makes layup (Marcus Smart assists),10 - 24
4:24,Patty Mills Out-of-Bounds Bad Pass Turnover,10 - 24
4:11,Isaiah Thomas double-dribble turnover,10 - 24
3:59,David Lee  out of bounds lost ball turnover,10 - 24
3:49,Isaiah Thomas  misses driving layup,10 - 24
3:49,David Lee defensive rebound,10 - 24
3:39,David Lee makes dunk (Jonathon Simmons assists),12 - 24
3:21,Al Horford  bad pass (Patty Mills steals),12 - 24
3:15,Manu Ginobili  misses 26-foot three point pullup jump shot,12 - 24
3:15,David Lee offensive rebound,12 - 24
3:13,David Lee makes two point shot,14 - 24
3:11,Celtics Full timeout,14 - 24
3:11,Terry Rozier enters the game for Al Horford,14 - 24
3:11,Kelly Olynyk enters the game for Avery Bradley,14 - 24
2:49,Isaiah Thomas  misses 25-foot three point jumper,14 - 24
2:48,Marcus Smart offensive rebound,14 - 24
2:44,Marcus Smart makes 5-foot two point shot,14 - 26
2:44,Patty Mills  misses 25-foot Regular Jump Shot,14 - 26
2:44,Spurs offensive team rebound,14 - 26
2:36,Marcus Smart personal foul  (Manu Ginobili draws the foul),14 - 26
2:30,Manu Ginobili  misses 12-foot jumper,14 - 26
2:28,David Lee offensive rebound,14 - 26
2:27,David Lee  misses layup,14 - 26
2:25,Jonas Jerebko defensive rebound,14 - 26
2:10,Jonas Jerebko makes 22-foot jumper (Isaiah Thomas assists),14 - 28
1:54,Davis Bertans makes 21-foot two point shot (Manu Ginobili assists),16 - 28
1:44,Marcus Smart  bad pass (Davis Bertans steals),16 - 28
1:40,Davis Bertans makes two point shot,18 - 28
1:15,Terry Rozier  bad pass (Jonathon Simmons steals),18 - 28
1:08,Jonathon Simmons  misses layup,18 - 28
1:07,David Lee makes two point shot,20 - 28
