time,play,score
12:00,Dewayne Dedmon vs. Rudy Gobert (George Hill gains possession),0 - 0
11:37,Danny Green blocks Rudy Gobert 's 2-foot  layup,0 - 0
11:37,Jazz offensive team rebound,0 - 0
11:34,George Hill makes 25-foot  three point jumper  (Gordon Hayward assists),0 - 3
11:22,Dewayne Dedmon  lost ball turnover (George Hill steals),0 - 3
11:15,Rudy Gobert makes two point shot (George Hill assists),0 - 5
11:15,Spurs 20 Sec. timeout,0 - 5
10:57,Tony Parker makes 19-foot two point shot,2 - 5
10:45,Kawhi Leonard personal foul  (Gordon Hayward draws the foul),2 - 5
10:38,Joe Ingles  misses 24-foot three point jumper,2 - 5
10:37,Spurs defensive team rebound,2 - 5
10:18,Kawhi Leonard  misses 20-foot jumper,2 - 5
10:17,Rudy Gobert defensive rebound,2 - 5
9:52,Boris Diaw  misses 18-foot step back jumpshot,2 - 5
9:52,Kawhi Leonard defensive rebound,2 - 5
9:40,LaMarcus Aldridge makes jumper (Kawhi Leonard assists),4 - 5
9:15,George Hill  misses 4-foot jumper,4 - 5
9:14,Jazz offensive team rebound,4 - 5
9:07,Rudy Gobert  misses,4 - 5
9:07,Danny Green defensive rebound,4 - 5
9:00,Tony Parker makes driving layup,6 - 5
8:52,Rudy Gobert  bad pass (Danny Green steals),6 - 5
8:48,Gordon Hayward blocks Danny Green's  shot,6 - 5
8:47,George Hill defensive rebound,6 - 5
8:33,Joe Ingles  misses driving layup,6 - 5
8:33,George Hill offensive rebound,6 - 5
8:22,Rudy Gobert makes dunk (Joe Ingles assists),6 - 7
8:06,Danny Green  misses 25-foot three point jumper,6 - 7
8:04,Boris Diaw defensive rebound,6 - 7
7:52,Boris Diaw makes driving layup,6 - 9
7:31,Dewayne Dedmon Out-of-Bounds Bad Pass Turnover,6 - 9
7:22,George Hill makes layup (Boris Diaw assists),6 - 11
7:03,Pau Gasol enters the game for Dewayne Dedmon,6 - 11
7:03,Shelvin Mack enters the game for George Hill,6 - 11
6:58,Kawhi Leonard  misses 18-foot jumper,6 - 11
6:58,Rudy Gobert defensive rebound,6 - 11
6:50,Joe Ingles  bad pass (LaMarcus Aldridge steals),6 - 11
6:39,Tony Parker makes two point shot,8 - 11
6:22,Rudy Gobert  misses alley oop dunk shot,8 - 11
6:20,Tony Parker defensive rebound,8 - 11
6:11,Danny Green  misses Driving Floating Jump Shot,8 - 11
6:09,Rudy Gobert defensive rebound,8 - 11
5:54,Shelvin Mack  misses Driving Floating Jump Shot,8 - 11
5:54,Pau Gasol defensive rebound,8 - 11
5:48,Spurs Full timeout,8 - 11
5:48,Rodney Hood enters the game for Joe Ingles,8 - 11
5:48,Joe Johnson enters the game for Boris Diaw,8 - 11
5:41,Kawhi Leonard makes 8-foot jumper,10 - 11
