time,play,score
12:00,Pau Gasol vs. Nene  (Kawhi Leonard gains possession),0 - 0
11:41,LaMarcus Aldridge  misses 20-foot jumper,0 - 0
11:41,Trevor Ariza defensive rebound,0 - 0
11:27,James Harden  misses 11-foot two point shot,0 - 0
11:26,Nene  offensive rebound,0 - 0
11:21,Patrick Beverley  misses 25-foot three point jumper,0 - 0
11:19,Pau Gasol defensive rebound,0 - 0
11:07,Tony Parker makes 18-foot two point shot,2 - 0
10:52,Trevor Ariza  misses driving layup,2 - 0
10:52,Pau Gasol defensive rebound,2 - 0
10:44,Tony Parker  misses 21-foot two point jumper,2 - 0
10:42,Nene  defensive rebound,2 - 0
10:34,Danny Green blocks James Harden 's 12-foot  jumper,2 - 0
10:33,Pau Gasol defensive rebound,2 - 0
10:22,Trevor Ariza personal foul  (LaMarcus Aldridge draws the foul),2 - 0
10:08,Kawhi Leonard  misses 12-foot Running Jumper,2 - 0
10:07,Ryan Anderson defensive rebound,2 - 0
10:00,Trevor Ariza  misses 26-foot three point jumper,2 - 0
10:00,Nene  offensive rebound,2 - 0
9:56,Trevor Ariza makes layup (Nene  assists),2 - 2
9:37,Pau Gasol makes 19-foot jumper (Tony Parker assists),4 - 2
9:26,Ryan Anderson  misses 18-foot step back jumpshot,4 - 2
9:25,LaMarcus Aldridge defensive rebound,4 - 2
9:06,Kawhi Leonard  misses 7-foot two point shot,4 - 2
9:04,Pau Gasol offensive rebound,4 - 2
9:03,Pau Gasol makes layup,6 - 2
8:48,James Harden makes 9-foot Driving Floating Jump Shot,6 - 4
8:30,Danny Green  misses three point jumper,6 - 4
8:29,Trevor Ariza defensive rebound,6 - 4
8:18,James Harden makes dunk (Ryan Anderson assists),6 - 6
7:58,Pau Gasol  misses 20-foot jumper,6 - 6
7:56,Patrick Beverley defensive rebound,6 - 6
7:48,Nene  makes layup (James Harden assists),6 - 8
7:35,Nene  personal block  (Pau Gasol draws the foul),6 - 8
7:22,Kawhi Leonard makes jumper,8 - 8
7:16,LaMarcus Aldridge shooting foul  (Trevor Ariza draws the foul),8 - 8
7:16,Trevor Ariza makes free throw 1 of 2,8 - 9
7:16,Montrezl Harrell enters the game for Nene,8 - 9
7:16,Trevor Ariza misses free throw 2 of 2,8 - 9
7:16,Pau Gasol defensive rebound,8 - 9
7:01,Patrick Beverley defensive 3-seconds (Technical Foul),8 - 9
7:01,Kawhi Leonard makes technical free throw,9 - 9
6:50,Danny Green offensive Charge  (Montrezl Harrell draws the foul),9 - 9
6:50,Danny Green  turnover,9 - 9
6:39,James Harden makes driving dunk (Montrezl Harrell assists),9 - 11
6:39,Spurs Full timeout,9 - 11
6:39,Eric Gordon enters the game for Patrick Beverley,9 - 11
6:28,Pau Gasol  bad pass (Montrezl Harrell steals),9 - 11
6:24,Montrezl Harrell makes 2-foot layup (James Harden assists),9 - 13
6:05,Tony Parker makes 20-foot two point shot,11 - 13
5:43,Eric Gordon  bad pass (Kawhi Leonard steals),11 - 13
5:33,LaMarcus Aldridge makes layup (Pau Gasol assists),13 - 13
5:13,Ryan Anderson  misses 22-foot step back jumpshot,13 - 13
5:13,Pau Gasol defensive rebound,13 - 13
4:58,LaMarcus Aldridge  misses two point shot,13 - 13
4:56,James Harden defensive rebound,13 - 13
4:48,Ryan Anderson  misses 27-foot three point jumper,13 - 13
4:48,Danny Green defensive rebound,13 - 13
4:39,Eric Gordon blocks Tony Parker 's 4-foot  layup,13 - 13
4:37,Tony Parker offensive rebound,13 - 13
4:22,Danny Green  misses 26-foot three point jumper,13 - 13
4:20,James Harden defensive rebound,13 - 13
4:13,Trevor Ariza  misses 24-foot three point jumper,13 - 13
4:11,Pau Gasol defensive rebound,13 - 13
4:09,Sam Dekker enters the game for Ryan Anderson,13 - 13
4:09,Patty Mills enters the game for Pau Gasol,13 - 13
4:09,David Lee enters the game for Danny Green,13 - 13
4:09,Manu Ginobili enters the game for Tony Parker,13 - 13
4:01,Montrezl Harrell shooting foul  (LaMarcus Aldridge draws the foul),13 - 13
4:01,LaMarcus Aldridge misses free throw 1 of 2,13 - 13
4:01,Spurs offensive team rebound,13 - 13
4:01,LaMarcus Aldridge makes free throw 2 of 2,14 - 13
3:46,David Lee blocks Eric Gordon's  layup,14 - 13
3:45,David Lee defensive rebound,14 - 13
3:40,Kawhi Leonard makes 5-foot two point shot,16 - 13
3:29,James Harden makes driving layup,16 - 15
3:16,Manu Ginobili  misses 25-foot three point jumper,16 - 15
3:16,James Harden defensive rebound,16 - 15
3:10,Manu Ginobili shooting foul  (James Harden draws the foul),16 - 15
3:10,James Harden makes free throw 1 of 3,16 - 16
3:10,James Harden makes free throw 2 of 3,16 - 17
3:10,James Harden makes free throw 3 of 3,16 - 18
2:47,LaMarcus Aldridge  misses layup,16 - 18
2:47,LaMarcus Aldridge makes tip shot,18 - 18
2:47,LaMarcus Aldridge offensive rebound,16 - 18
2:31,Montrezl Harrell  misses,18 - 18
2:31,James Harden offensive rebound,18 - 18
2:28,Sam Dekker  misses 25-foot three point jumper,18 - 18
2:27,Kawhi Leonard defensive rebound,18 - 18
2:20,Patty Mills makes two point shot (Kawhi Leonard assists),20 - 18
2:00,Sam Dekker makes driving dunk (Eric Gordon assists),20 - 20
1:35,Patty Mills makes 19-foot two point shot (LaMarcus Aldridge assists),22 - 20
1:21,Sam Dekker  misses 6-foot jumper,22 - 20
1:20,Montrezl Harrell  misses 1-foot,22 - 20
1:20,Montrezl Harrell offensive rebound,22 - 20
1:19,Sam Dekker offensive rebound,22 - 20
1:15,Montrezl Harrell makes dunk (Sam Dekker assists),22 - 22
48.0,Kawhi Leonard  misses driving layup,22 - 22
47.0,LaMarcus Aldridge offensive rebound,22 - 22
46.0,LaMarcus Aldridge makes layup,24 - 22
