time,play,score
12:00,Pau Gasol vs. Karl-Anthony Towns (LaMarcus Aldridge gains possession),0 - 0
11:45,LaMarcus Aldridge  misses 21-foot jumper,0 - 0
11:45,Karl-Anthony Towns defensive rebound,0 - 0
11:22,Ricky Rubio makes 14-foot two point shot,0 - 2
10:56,LaMarcus Aldridge  misses 23-foot three point jumper,0 - 2
10:55,Gorgui Dieng defensive rebound,0 - 2
10:41,Karl-Anthony Towns  misses 8-foot two point shot,0 - 2
10:41,LaMarcus Aldridge defensive rebound,0 - 2
10:26,Pau Gasol  misses 8-foot two point shot,0 - 2
10:25,Ricky Rubio defensive rebound,0 - 2
10:21,Andrew Wiggins  misses 20-foot two point jumper,0 - 2
10:19,Danny Green defensive rebound,0 - 2
10:10,Ricky Rubio blocks Nicolas Laprovittola 's 25-foot   three point jumper,0 - 2
10:08,Zach LaVine defensive rebound,0 - 2
10:00,Karl-Anthony Towns makes 24-foot  three point jumper  (Zach LaVine assists),0 - 5
9:47,Karl-Anthony Towns blocks Pau Gasol 's 7-foot  shot,0 - 5
9:45,Spurs offensive team rebound,0 - 5
9:36,Kawhi Leonard  misses jumper,0 - 5
9:34,Andrew Wiggins defensive rebound,0 - 5
9:29,Zach LaVine makes 24-foot  three point jumper  (Andrew Wiggins assists),0 - 8
9:11,Karl-Anthony Towns shooting foul  (Pau Gasol draws the foul),0 - 8
9:11,Pau Gasol misses free throw 1 of 2,0 - 8
9:11,Spurs offensive team rebound,0 - 8
9:11,Pau Gasol makes free throw 2 of 2,1 - 8
9:07,Andrew Wiggins makes 2-foot dunk (Ricky Rubio assists),1 - 10
8:41,Nicolas Laprovittola makes 11-foot two point shot,3 - 10
8:26,Karl-Anthony Towns makes two point shot (Zach LaVine assists),3 - 12
8:03,Danny Green  misses 23-foot three point jumper,3 - 12
8:02,Karl-Anthony Towns defensive rebound,3 - 12
7:52,Ricky Rubio  misses 24-foot three point jumper,3 - 12
7:50,Pau Gasol defensive rebound,3 - 12
