time,play,score
12:00,Alex Len vs. Joel Embiid (Marquese Chriss gains possession),0 - 0
11:36,Devin Booker  misses 27-foot three point jumper,0 - 0
11:34,Robert Covington defensive rebound,0 - 0
11:30,Ersan Ilyasova  misses 18-foot jumper,0 - 0
11:29,76ers offensive team rebound,0 - 0
11:29,P.J. Tucker loose ball foul  (Joel Embiid draws the foul),0 - 0
11:18,Joel Embiid makes layup (Sergio Rodriguez assists),0 - 2
11:00,Devin Booker  misses two point shot,0 - 2
11:00,Alex Len offensive rebound,0 - 2
10:55,Alex Len makes 4-foot two point shot,2 - 2
10:38,Joel Embiid makes 24-foot  three point jumper  (Sergio Rodriguez assists),2 - 5
10:21,Ersan Ilyasova shooting foul  (Eric Bledsoe draws the foul),5 - 5
10:21,Eric Bledsoe makes driving layup,5 - 5
10:21,Eric Bledsoe makes free throw 1 of 1,4 - 5
10:08,Joel Embiid makes 26-foot  three point jumper  (Sergio Rodriguez assists),4 - 8
9:59,Eric Bledsoe Out-of-Bounds Bad Pass Turnover,4 - 8
9:56,Robert Covington  misses 7-foot jumper,4 - 8
9:55,P.J. Tucker defensive rebound,4 - 8
9:48,Alex Len makes 16-foot jumper (Eric Bledsoe assists),6 - 8
9:33,Ersan Ilyasova makes two point shot (Robert Covington assists),6 - 10
9:11,P.J. Tucker  misses driving layup,6 - 10
9:11,76ers defensive team rebound,6 - 10
9:03,Joel Embiid makes two point shot (Sergio Rodriguez assists),7 - 12
9:03,Suns Full timeout,6 - 12
8:52,Devin Booker makes 19-foot two point shot (P.J. Tucker assists),9 - 12
8:41,Joel Embiid  lost ball turnover (Alex Len steals),9 - 12
8:37,Gerald Henderson in bound foul  (Devin Booker draws the foul),10 - 12
8:37,Devin Booker makes free throw 1 of 1,10 - 12
8:34,Devin Booker makes two point shot (Eric Bledsoe assists),12 - 12
8:19,Sergio Rodriguez  out of bounds lost ball turnover,12 - 12
8:07,Robert Covington blocks Devin Booker 's 14-foot  jumper,12 - 12
8:07,Robert Covington defensive rebound,12 - 12
8:02,Marquese Chriss personal block  (Ersan Ilyasova draws the foul),12 - 12
8:02,Jahlil Okafor enters the game for Joel Embiid,12 - 12
7:52,Sergio Rodriguez  misses three point jumper,12 - 12
7:52,Alex Len defensive rebound,12 - 12
7:41,Eric Bledsoe  misses 16-foot step back jumpshot,12 - 12
7:39,Alex Len offensive rebound,12 - 12
7:37,Jahlil Okafor blocks Alex Len 's 1-foot  layup,12 - 12
7:37,Robert Covington defensive rebound,12 - 12
7:28,Eric Bledsoe shooting foul  (Gerald Henderson draws the foul),12 - 12
7:28,Gerald Henderson misses free throw 1 of 2,12 - 12
7:28,76ers offensive team rebound,12 - 12
7:28,Gerald Henderson makes free throw 2 of 2,12 - 13
7:18,Eric Bledsoe  misses 16-foot step back jumpshot,12 - 13
7:16,Sergio Rodriguez defensive rebound,12 - 13
7:11,Gerald Henderson makes two point shot (Sergio Rodriguez assists),12 - 15
7:00,Devin Booker makes driving layup,14 - 15
6:47,Robert Covington  misses 24-foot three point jumper,14 - 15
6:46,Alex Len defensive rebound,14 - 15
6:33,Marquese Chriss  lost ball turnover (Gerald Henderson steals),14 - 15
6:28,Robert Covington  misses three point jumper,14 - 15
6:26,P.J. Tucker defensive rebound,14 - 15
6:16,Eric Bledsoe  misses 19-foot jumper,14 - 15
6:16,Sergio Rodriguez defensive rebound,14 - 15
6:03,Jahlil Okafor makes layup,14 - 17
6:03,Marquese Chriss defensive goaltending violation,14 - 17
5:48,Devin Booker  bad pass (Sergio Rodriguez steals),14 - 17
5:41,Ersan Ilyasova  misses three point jumper,14 - 17
5:39,Alex Len defensive rebound,14 - 17
5:30,Eric Bledsoe makes 18-foot two point shot (Alex Len assists),16 - 17
5:28,76ers Full timeout,16 - 17
5:28,Nik Stauskas enters the game for Ersan Ilyasova,16 - 17
5:28,Dario Saric enters the game for Robert Covington,16 - 17
5:28,Jared Dudley enters the game for Eric Bledsoe,16 - 17
5:28,Brandon Knight enters the game for Marquese Chriss,16 - 17
5:13,Nik Stauskas makes two point shot,16 - 19
4:58,Devin Booker  lost ball turnover (Sergio Rodriguez steals),16 - 19
4:52,Gerald Henderson makes 6-foot two point shot (Sergio Rodriguez assists),16 - 21
4:33,Alex Len  misses 16-foot jumper,16 - 21
4:31,Dario Saric defensive rebound,16 - 21
4:22,Alex Len blocks Dario Saric 's 2-foot  shot,16 - 21
4:20,Gerald Henderson offensive rebound,16 - 21
4:07,Sergio Rodriguez  misses 25-foot three point jumper,16 - 21
4:07,Devin Booker defensive rebound,16 - 21
4:03,Nik Stauskas shooting foul  (Devin Booker draws the foul),16 - 21
4:03,Devin Booker misses free throw 1 of 2,16 - 21
4:03,Suns offensive team rebound,16 - 21
4:03,T.J. McConnell enters the game for Sergio Rodriguez,16 - 21
4:03,Joel Embiid enters the game for Jahlil Okafor,16 - 21
4:03,Hollis Thompson enters the game for Gerald Henderson,16 - 21
4:03,Alan Williams enters the game for Alex Len,16 - 21
4:03,Devin Booker makes free throw 2 of 2,17 - 21
3:47,Alan Williams blocks Joel Embiid 's 10-foot  jumper,17 - 21
3:46,76ers offensive team rebound,17 - 21
3:46,Leandro Barbosa enters the game for Devin Booker,17 - 21
3:42,Dario Saric  misses 21-foot jumper,17 - 21
3:41,Brandon Knight defensive rebound,17 - 21
3:33,Brandon Knight  misses 22-foot two point jumper,17 - 21
3:32,Joel Embiid defensive rebound,17 - 21
3:27,Joel Embiid  misses three point jumper,17 - 21
3:25,76ers offensive team rebound,17 - 21
3:23,Alan Williams personal foul  (Joel Embiid draws the foul),17 - 21
3:08,Hollis Thompson  misses 24-foot three point jumper,17 - 21
3:06,Alan Williams defensive rebound,17 - 21
2:58,Leandro Barbosa  misses jumper,17 - 21
2:57,P.J. Tucker offensive rebound,17 - 21
2:46,Joel Embiid blocks Brandon Knight's  layup,17 - 21
2:45,Jared Dudley offensive rebound,17 - 21
2:44,Dario Saric blocks Jared Dudley 's 1-foot  layup,17 - 21
2:43,Brandon Knight offensive rebound,17 - 21
2:42,Suns 20 Sec. timeout,17 - 21
