time,play,score
12:00,Alex Len vs. Marc Gasol (Mike Conley gains possession),0 - 0
11:37,Mike Conley makes 25-foot  three point jumper  (Chandler Parsons assists),0 - 3
11:21,Eric Bledsoe  misses jumper,0 - 3
11:21,Mike Conley defensive rebound,0 - 3
11:15,Marc Gasol Out-of-Bounds Bad Pass Turnover,0 - 3
11:00,TJ Warren makes 7-foot two point shot (Eric Bledsoe assists),2 - 3
10:40,Tony Allen  misses 23-foot three point jumper,2 - 3
10:40,TJ Warren defensive rebound,2 - 3
10:26,Devin Booker  misses 26-foot three point pullup jump shot,2 - 3
10:22,Mike Conley defensive rebound,2 - 3
10:04,Marquese Chriss blocks Marc Gasol's  shot,2 - 3
10:00,Eric Bledsoe defensive rebound,2 - 3
9:56,TJ Warren makes two point shot (Eric Bledsoe assists),4 - 3
9:45,Marc Gasol makes 24-foot  three point jumper  (Mike Conley assists),4 - 6
9:33,Alex Len makes dunk,6 - 6
9:14,TJ Warren personal foul  (Marc Gasol draws the foul),6 - 6
9:00,Mike Conley  misses 26-foot jumper,6 - 6
8:57,TJ Warren defensive rebound,6 - 6
8:51,Eric Bledsoe makes 25-foot  three point jumper  (Alex Len assists),9 - 6
8:30,Tony Allen  traveling,9 - 6
8:17,TJ Warren  misses 11-foot two point shot,9 - 6
8:15,Marc Gasol defensive rebound,9 - 6
7:52,Mike Conley  misses 6-foot two point shot,9 - 6
7:50,Mike Conley offensive rebound,9 - 6
7:48,Mike Conley  misses 4-foot two point shot,9 - 6
7:45,Marquese Chriss defensive rebound,9 - 6
7:31,Eric Bledsoe makes 21-foot jumper (TJ Warren assists),11 - 6
7:13,Chandler Parsons  bad pass (Alex Len steals),11 - 6
7:07,TJ Warren  misses 26-foot three point running jumper,11 - 6
7:05,Alex Len offensive rebound,11 - 6
7:03,Alex Len makes 4-foot two point shot,13 - 6
7:03,Grizzlies Full timeout,13 - 6
6:45,Marc Gasol makes 15-foot two point shot,13 - 8
6:33,Devin Booker  misses 25-foot three point jumper,13 - 8
6:33,JaMychal Green defensive rebound,13 - 8
6:18,Marc Gasol  misses 12-foot two point shot,13 - 8
6:16,Eric Bledsoe defensive rebound,13 - 8
6:11,TJ Warren makes layup (Devin Booker assists),15 - 8
5:54,Alex Len shooting foul  (Chandler Parsons draws the foul),15 - 8
5:54,Chandler Parsons misses free throw 1 of 2,15 - 8
5:54,Grizzlies offensive team rebound,15 - 8
5:54,Vince Carter enters the game for Tony Allen,15 - 8
5:54,Zach Randolph enters the game for JaMychal Green,15 - 8
5:54,Toney Douglas enters the game for Mike Conley,15 - 8
5:54,Chandler Parsons makes free throw 2 of 2,15 - 9
5:39,Marc Gasol blocks Alex Len 's 5-foot  jumper,15 - 9
5:39,Toney Douglas defensive rebound,15 - 9
5:30,Toney Douglas  lost ball turnover (Eric Bledsoe steals),15 - 9
5:28,Toney Douglas personal take foul  (Eric Bledsoe draws the foul),15 - 9
5:20,Devin Booker makes 23-foot  three point jumper  (Eric Bledsoe assists),18 - 9
5:00,Vince Carter  misses driving layup,18 - 9
4:58,Marc Gasol offensive rebound,18 - 9
4:52,Chandler Parsons  misses 25-foot three point jumper,18 - 9
4:52,Eric Bledsoe defensive rebound,18 - 9
4:45,Eric Bledsoe  misses 21-foot Running Jumper,18 - 9
4:41,Zach Randolph defensive rebound,18 - 9
4:24,Zach Randolph makes 6-foot two point shot,18 - 11
4:03,Devin Booker  misses 13-foot step back jumpshot,18 - 11
