time,play,score
12:00,Tyson Chandler vs. Rudy Gobert (P.J. Tucker gains possession),0 - 0
11:45,Eric Bledsoe  bad pass (Gordon Hayward steals),0 - 0
11:21,Rudy Gobert  misses 3-foot two point shot,0 - 0
11:21,Rudy Gobert offensive rebound,0 - 0
11:12,Rudy Gobert makes layup (Dante Exum assists),0 - 2
11:12,Tyson Chandler shooting foul  (Rudy Gobert draws the foul),0 - 2
11:12,Rudy Gobert makes free throw 1 of 1,0 - 3
10:56,Rudy Gobert blocks Marquese Chriss's  jumper,0 - 3
10:55,Marquese Chriss offensive rebound,0 - 3
10:52,Rudy Gobert blocks Marquese Chriss's  layup,0 - 3
10:51,Dante Exum defensive rebound,0 - 3
10:44,Tyson Chandler shooting foul  (Rudy Gobert draws the foul),0 - 3
10:44,Rudy Gobert misses free throw 1 of 2,0 - 3
10:44,Jazz offensive team rebound,0 - 3
10:44,Rudy Gobert makes free throw 2 of 2,0 - 4
10:33,P.J. Tucker  traveling,0 - 4
10:18,Rodney Hood makes 25-foot  three point jumper  (Boris Diaw assists),0 - 7
9:56,Marquese Chriss  misses three point jumper,0 - 7
9:55,Tyson Chandler offensive rebound,0 - 7
9:25,Rodney Hood  misses 22-foot jumper,2 - 7
9:23,Eric Bledsoe defensive rebound,2 - 7
9:17,Eric Bledsoe  misses two point jumper,2 - 7
9:15,Gordon Hayward defensive rebound,2 - 7
9:04,Marquese Chriss personal foul  (Boris Diaw draws the foul),2 - 7
8:52,Rodney Hood  misses jumper,2 - 7
8:52,Marquese Chriss defensive rebound,2 - 7
8:42,Marquese Chriss makes 13-foot jumper,4 - 7
8:22,Devin Booker shooting foul  (Boris Diaw draws the foul),4 - 7
8:22,Boris Diaw makes free throw 1 of 2,4 - 8
8:22,Boris Diaw makes free throw 2 of 2,4 - 9
8:06,Eric Bledsoe  misses two point shot,4 - 9
8:04,Tyson Chandler  misses 2-foot,4 - 9
8:04,Tyson Chandler offensive rebound,4 - 9
8:02,Dante Exum defensive rebound,4 - 9
7:56,Dante Exum  misses two point shot,4 - 9
7:56,Devin Booker defensive rebound,4 - 9
7:52,Devin Booker Out-of-Bounds Bad Pass Turnover,4 - 9
7:31,Boris Diaw  misses 25-foot three point jumper,4 - 9
7:30,Eric Bledsoe defensive rebound,4 - 9
7:18,Eric Bledsoe  disc dribble turnover,4 - 9
7:09,Dante Exum makes 25-foot  three point jumper  (Rodney Hood assists),4 - 12
7:01,Dante Exum shooting block foul  (Eric Bledsoe draws the foul),4 - 12
7:01,Eric Bledsoe makes free throw 1 of 2,5 - 12
7:01,Alex Len enters the game for Marquese Chriss,5 - 12
7:01,Eric Bledsoe makes free throw 2 of 2,6 - 12
6:52,Gordon Hayward makes 7-foot two point shot (Boris Diaw assists),6 - 14
6:37,Dante Exum blocks Alex Len's  jumper,6 - 14
6:37,Dante Exum defensive rebound,6 - 14
6:28,Rodney Hood makes 24-foot  three point jumper  (Gordon Hayward assists),6 - 17
6:28,Suns Full timeout,6 - 17
6:28,Joe Johnson enters the game for Gordon Hayward,6 - 17
6:13,Alex Len makes jumper (Eric Bledsoe assists),8 - 17
6:03,Dante Exum offensive foul  (Devin Booker draws the foul),8 - 17
6:03,Dante Exum  turnover,8 - 17
6:03,Brandon Knight enters the game for Eric Bledsoe,8 - 17
6:03,Jared Dudley enters the game for Tyson Chandler,8 - 17
6:03,Shelvin Mack enters the game for Dante Exum,8 - 17
5:48,Rudy Gobert shooting foul  (Alex Len draws the foul),8 - 17
5:48,Alex Len makes free throw 1 of 2,9 - 17
5:48,Trey Lyles enters the game for Boris Diaw,9 - 17
5:48,Alex Len makes free throw 2 of 2,10 - 17
5:31,Joe Johnson makes 18-foot two point shot,10 - 19
5:22,Brandon Knight  misses driving layup,10 - 19
5:22,Jazz defensive team rebound,10 - 19
5:09,Shelvin Mack makes driving layup,10 - 21
4:54,Devin Booker  misses 12-foot jumper,10 - 21
4:52,Trey Lyles defensive rebound,10 - 21
4:43,Rodney Hood makes 6-foot two point shot,10 - 23
4:22,Devin Booker  lost ball turnover (Rodney Hood steals),10 - 23
4:16,Rodney Hood  misses two point shot,10 - 23
4:15,Alex Len defensive rebound,10 - 23
4:00,Devin Booker  misses 24-foot,10 - 23
3:59,Jazz defensive team rebound,10 - 23
3:59,Alex Len loose ball foul  (Rudy Gobert draws the foul),10 - 23
3:59,Joe Ingles enters the game for Rodney Hood,10 - 23
3:59,Eric Bledsoe enters the game for Devin Booker,10 - 23
3:59,Rudy Gobert makes free throw 1 of 2,10 - 24
3:59,Dragan Bender enters the game for P.J. Tucker,10 - 24
3:59,Rudy Gobert makes free throw 2 of 2,10 - 25
3:46,Brandon Knight  misses driving layup,10 - 25
3:46,Rudy Gobert defensive rebound,10 - 25
3:45,Shelvin Mack  out of bounds lost ball turnover,10 - 25
3:40,Eric Bledsoe makes layup,12 - 25
3:40,Trey Lyles shooting foul  (Eric Bledsoe draws the foul),12 - 25
3:40,Eric Bledsoe makes free throw 1 of 1,13 - 25
3:25,Joe Johnson  misses 24-foot three point jumper,13 - 25
3:23,Jared Dudley defensive rebound,13 - 25
3:15,Alex Len makes two point shot (Jared Dudley assists),15 - 25
3:13,Jazz Full timeout,15 - 25
2:48,Joe Johnson makes 26-foot  three point jumper  (Trey Lyles assists),15 - 28
2:24,Brandon Knight  misses 22-foot two point jumper,15 - 28
2:24,Trey Lyles defensive rebound,15 - 28
2:12,Eric Bledsoe shooting foul  (Shelvin Mack draws the foul),15 - 28
2:12,Shelvin Mack makes free throw 1 of 2,15 - 29
2:12,Jeff Withey enters the game for Rudy Gobert,15 - 29
2:12,Shelvin Mack makes free throw 2 of 2,15 - 30
1:55,Dragan Bender  misses 25-foot three point jumper,15 - 30
1:54,Shelvin Mack defensive rebound,15 - 30
1:31,Shelvin Mack  out of bounds lost ball turnover,15 - 30
1:07,Jared Dudley makes driving layup,17 - 30
47.0,Trey Lyles  misses 25-foot three point jumper,17 - 30
47.0,Eric Bledsoe defensive rebound,17 - 30
38.0,Jared Dudley  bad pass (Jeff Withey steals),17 - 30
30.0,Joe Johnson makes 25-foot  three point jumper  (Shelvin Mack assists),17 - 33
7.0,Jeff Withey shooting foul  (Alex Len draws the foul),17 - 33
7.0,Alex Len makes free throw 1 of 2,18 - 33
7.0,Alex Len makes free throw 2 of 2,19 - 33
1.0,Joe Johnson  misses two point shot,19 - 33
0.0,Trey Lyles offensive rebound,19 - 33
0.0,Trey Lyles  misses,19 - 33
0.0,Jazz offensive team rebound,19 - 33
0.0,End of the 1st Quarter,19 - 33
11:37,Shelvin Mack  misses jumper,19 - 33
11:36,Jared Dudley defensive rebound,19 - 33
11:30,Jeff Withey blocks Brandon Knight's  layup,19 - 33
11:30,Alex Len offensive rebound,19 - 33
11:26,Joe Johnson blocks Alex Len 's 2-foot  layup,19 - 33
11:23,Brandon Knight offensive rebound,19 - 33
11:17,Leandro Barbosa makes 25-foot  three point jumper  (Jared Dudley assists),22 - 33
10:56,Shelvin Mack  misses 24-foot,22 - 33
10:56,Leandro Barbosa defensive rebound,22 - 33
10:49,Leandro Barbosa makes two point shot,24 - 33
10:49,Jeff Withey shooting foul  (Leandro Barbosa draws the foul),24 - 33
10:49,Dante Exum enters the game for Shelvin Mack,24 - 33
10:49,Leandro Barbosa makes free throw 1 of 1,25 - 33
10:26,Jeff Withey makes jumper (Gordon Hayward assists),25 - 35
10:07,Leandro Barbosa  misses 24-foot three point jumper,25 - 35
10:07,Jeff Withey defensive rebound,25 - 35
9:59,Dante Exum makes driving layup,25 - 37
9:33,Leandro Barbosa  out of bounds lost ball turnover,25 - 37
9:22,Gordon Hayward  misses 25-foot three point jumper,25 - 37
9:22,Jared Dudley defensive rebound,25 - 37
9:11,Brandon Knight makes 19-foot two point shot,27 - 37
