time,play,score
12:00,Tyson Chandler vs. Kosta Koufos (Matt Barnes gains possession),0 - 0
11:37,Kosta Koufos  misses 9-foot jumper,0 - 0
11:37,Kings offensive team rebound,0 - 0
11:32,Darren Collison steps out of bounds turnover,0 - 0
11:06,Eric Bledsoe  misses 26-foot three point jumper,0 - 0
11:03,Kosta Koufos defensive rebound,0 - 0
10:56,Ben McLemore  misses 8-foot jumper,0 - 0
10:56,Tyson Chandler defensive rebound,0 - 0
10:52,TJ Warren makes driving layup (Eric Bledsoe assists),2 - 0
10:33,Ben McLemore  misses 24-foot three point jumper,2 - 0
10:30,Marquese Chriss defensive rebound,2 - 0
10:14,Devin Booker  misses 18-foot two point jumper,2 - 0
10:12,Matt Barnes defensive rebound,2 - 0
9:56,Darren Collison  misses 23-foot three point jumper,2 - 0
9:56,Suns defensive team rebound,2 - 0
9:56,DeMarcus Cousins personal foul  (Tyson Chandler draws the foul),2 - 0
9:38,Darren Collison shooting foul  (TJ Warren draws the foul),2 - 0
9:38,TJ Warren makes free throw 1 of 2,3 - 0
9:38,TJ Warren makes free throw 2 of 2,4 - 0
9:15,DeMarcus Cousins makes 17-foot two point shot,4 - 2
9:15,Marquese Chriss shooting foul  (DeMarcus Cousins draws the foul),4 - 2
9:15,DeMarcus Cousins misses free throw 1 of 1,4 - 2
9:15,Marquese Chriss defensive rebound,4 - 2
9:07,TJ Warren  misses 26-foot three point jumper,4 - 2
9:04,Matt Barnes defensive rebound,4 - 2
8:52,Ben McLemore  misses 8-foot jumper,4 - 2
8:49,Tyson Chandler defensive rebound,4 - 2
8:44,DeMarcus Cousins blocks TJ Warren 's 2-foot  layup,4 - 2
8:41,TJ Warren offensive rebound,4 - 2
8:41,TJ Warren  misses layup,4 - 2
8:38,DeMarcus Cousins defensive rebound,4 - 2
8:29,Darren Collison  misses 13-foot jumper,4 - 2
8:27,Tyson Chandler defensive rebound,4 - 2
8:17,Marquese Chriss  misses 24-foot three point jumper,4 - 2
8:15,Matt Barnes defensive rebound,4 - 2
8:07,Kosta Koufos makes 4-foot jumper (DeMarcus Cousins assists),4 - 4
8:07,Eric Bledsoe shooting foul  (Kosta Koufos draws the foul),4 - 4
8:07,Kosta Koufos makes free throw 1 of 1,4 - 5
7:45,Devin Booker  misses 15-foot jumper,4 - 5
7:43,DeMarcus Cousins defensive rebound,4 - 5
7:41,Marquese Chriss personal block  (DeMarcus Cousins draws the foul),4 - 5
7:26,Ben McLemore  misses 7-foot jumper,4 - 5
7:24,Devin Booker defensive rebound,4 - 5
7:18,Marquese Chriss steps out of bounds turnover,4 - 5
7:07,Matt Barnes  misses 23-foot three point jumper,4 - 5
7:05,Tyson Chandler defensive rebound,4 - 5
6:56,Marquese Chriss  misses 23-foot three point jumper,4 - 5
6:56,Matt Barnes defensive rebound,4 - 5
6:33,Matt Barnes  misses 16-foot two point jumper,4 - 5
6:31,Suns defensive team rebound,4 - 5
6:18,Eric Bledsoe  bad pass (DeMarcus Cousins steals),4 - 5
6:13,Ben McLemore makes two point shot (DeMarcus Cousins assists),4 - 7
6:11,Suns Full timeout,4 - 7
6:11,P.J. Tucker enters the game for Marquese Chriss,4 - 7
5:58,Eric Bledsoe makes 18-foot two point shot,6 - 7
5:35,Ben McLemore makes 25-foot  three point jumper  (Darren Collison assists),6 - 10
5:24,P.J. Tucker makes  three point jumper  (Eric Bledsoe assists),9 - 10
5:00,Kosta Koufos  misses 9-foot jumper,9 - 10
4:56,Tyson Chandler defensive rebound,9 - 10
4:52,Matt Barnes shooting foul  (TJ Warren draws the foul),9 - 10
4:52,TJ Warren makes free throw 1 of 2,10 - 10
4:52,TJ Warren makes free throw 2 of 2,11 - 10
4:37,Ben McLemore makes 25-foot  three point jumper  (DeMarcus Cousins assists),11 - 13
4:22,Devin Booker  misses 18-foot jumper,11 - 13
4:20,Matt Barnes defensive rebound,11 - 13
4:07,Darren Collison  misses 12-foot jumper,11 - 13
4:07,P.J. Tucker defensive rebound,11 - 13
4:00,P.J. Tucker  misses 3-foot jumper,11 - 13
3:59,Kosta Koufos defensive rebound,11 - 13
3:51,DeMarcus Cousins  misses 25-foot three point jumper,11 - 13
3:50,TJ Warren defensive rebound,11 - 13
3:41,Devin Booker  misses 25-foot three point jumper,11 - 13
3:40,Kosta Koufos defensive rebound,11 - 13
3:32,Ben McLemore makes driving layup,11 - 15
3:11,P.J. Tucker  misses 23-foot three point jumper,11 - 15
3:10,DeMarcus Cousins defensive rebound,11 - 15
3:02,DeMarcus Cousins  misses layup,11 - 15
3:00,Kosta Koufos offensive rebound,11 - 15
3:00,Kosta Koufos makes tip shot,11 - 17
2:48,Kings Full timeout,11 - 17
2:48,Brandon Knight enters the game for Tyson Chandler,11 - 17
2:48,Alex Len enters the game for Devin Booker,11 - 17
2:48,Malachi Richardson enters the game for Kosta Koufos,11 - 17
2:48,Anthony Tolliver enters the game for Ben McLemore,11 - 17
2:43,TJ Warren makes 13-foot two point shot (P.J. Tucker assists),13 - 17
2:19,Matt Barnes makes 2-foot layup (DeMarcus Cousins assists),13 - 19
2:02,Eric Bledsoe  misses 17-foot jumper,13 - 19
2:01,Matt Barnes defensive rebound,13 - 19
1:51,DeMarcus Cousins  misses 5-foot jumper,13 - 19
1:51,Kings offensive team rebound,13 - 19
1:51,Ty Lawson enters the game for Darren Collison,13 - 19
1:51,Willie Cauley-Stein enters the game for DeMarcus Cousins,13 - 19
1:44,Ty Lawson makes 21-foot jumper,13 - 21
1:32,Brandon Knight  misses 26-foot three point jumper,13 - 21
1:32,Ty Lawson defensive rebound,13 - 21
1:28,Willie Cauley-Stein offensive foul  (Eric Bledsoe draws the foul),13 - 21
1:28,Willie Cauley-Stein  turnover,13 - 21
1:15,TJ Warren makes 19-foot two point shot,15 - 21
59.0,Anthony Tolliver Out-of-Bounds Bad Pass Turnover,15 - 21
43.0,P.J. Tucker  misses 6-foot hook shot,15 - 21
42.0,Willie Cauley-Stein defensive rebound,15 - 21
32.0,Willie Cauley-Stein  misses 3-foot jumper,15 - 21
31.0,Alex Len defensive rebound,15 - 21
21.0,Eric Bledsoe  misses 26-foot three point jumper,15 - 21
21.0,Kings defensive team rebound,15 - 21
0.0,Malachi Richardson  misses 21-foot jumper,15 - 21
