time,play,score
12:00,Tyson Chandler vs. Steven Adams (Marquese Chriss gains possession),0 - 0
11:42,Devin Booker makes two point shot,2 - 0
11:21,Steven Adams makes two point shot (Russell Westbrook assists),2 - 2
10:53,P.J. Tucker  misses 23-foot three point jumper,2 - 2
10:53,Steven Adams defensive rebound,2 - 2
10:48,Anthony Morrow makes 22-foot  three point jumper  (Russell Westbrook assists),2 - 5
10:33,Devin Booker  misses 13-foot two point jumper,2 - 5
10:33,Russell Westbrook defensive rebound,2 - 5
10:29,Steven Adams makes two point shot (Russell Westbrook assists),2 - 7
10:29,Eric Bledsoe shooting foul  (Steven Adams draws the foul),2 - 7
10:29,Steven Adams misses free throw 1 of 1,2 - 7
10:27,Marquese Chriss defensive rebound,2 - 7
10:10,Marquese Chriss  misses 4-foot two point shot,2 - 7
10:10,Marquese Chriss  misses jumper,2 - 7
10:10,Marquese Chriss offensive rebound,2 - 7
10:07,Marquese Chriss offensive rebound,2 - 7
10:04,Marquese Chriss  lost ball turnover (Anthony Morrow steals),2 - 7
9:44,Steven Adams  misses 3-foot jumper,2 - 7
9:42,Steven Adams offensive rebound,2 - 7
9:42,Steven Adams  misses layup,2 - 7
9:40,Steven Adams offensive rebound,2 - 7
9:40,Tyson Chandler vs. Steven Adams (Marquese Chriss gains possession),2 - 7
9:40,Steven Adams  lost ball turnover (Tyson Chandler steals),2 - 7
9:29,Russell Westbrook personal foul  (Marquese Chriss draws the foul),2 - 7
9:17,Eric Bledsoe makes 25-foot  three point jumper  (Marquese Chriss assists),5 - 7
9:00,Domantas Sabonis  misses driving layup,5 - 7
9:00,Tyson Chandler defensive rebound,5 - 7
8:48,Devin Booker  misses step back jumpshot,5 - 7
8:48,P.J. Tucker offensive rebound,5 - 7
8:42,P.J. Tucker  misses 15-foot two point shot,5 - 7
8:42,Domantas Sabonis defensive rebound,5 - 7
8:38,Tyson Chandler personal foul  (Steven Adams draws the foul),5 - 7
8:33,Russell Westbrook  misses 18-foot jumper,5 - 7
8:32,Tyson Chandler defensive rebound,5 - 7
8:15,Eric Bledsoe makes 5-foot two point shot,7 - 7
8:07,Anthony Morrow makes two point shot (Russell Westbrook assists),7 - 9
7:43,shot clock turnover,7 - 9
7:30,Russell Westbrook makes 17-foot two point shot,7 - 11
7:00,Marquese Chriss  misses 7-foot jumper,7 - 11
6:58,Tyson Chandler makes tip shot,9 - 11
6:58,Tyson Chandler offensive rebound,7 - 11
6:37,Domantas Sabonis makes driving layup,9 - 13
6:18,Devin Booker  misses layup,9 - 13
6:18,Suns offensive team rebound,9 - 13
6:18,Domantas Sabonis loose ball foul  (Tyson Chandler draws the foul),9 - 13
6:13,Eric Bledsoe  misses 24-foot three point jumper,9 - 13
6:13,Russell Westbrook defensive rebound,9 - 13
6:03,Domantas Sabonis makes 25-foot  three point jumper  (Russell Westbrook assists),9 - 16
5:48,P.J. Tucker makes  three point jumper  (Eric Bledsoe assists),12 - 16
5:24,Marquese Chriss blocks Domantas Sabonis 's 2-foot  shot,12 - 16
5:24,Suns defensive team rebound,12 - 16
5:24,Thunder Full timeout,12 - 16
5:24,Jerami Grant enters the game for Anthony Morrow,12 - 16
5:07,Eric Bledsoe  misses 10-foot jumper,12 - 16
5:07,Domantas Sabonis defensive rebound,12 - 16
5:03,Domantas Sabonis Out-of-Bounds Bad Pass Turnover,12 - 16
4:46,Devin Booker  bad pass (Russell Westbrook steals),12 - 16
4:41,Andre Roberson makes two point shot (Russell Westbrook assists),12 - 18
4:13,Eric Bledsoe  misses 18-foot jumper,12 - 18
4:13,Suns offensive team rebound,12 - 18
4:13,shot clock turnover,12 - 18
4:13,Alex Len enters the game for Marquese Chriss,12 - 18
4:13,Brandon Knight enters the game for Eric Bledsoe,12 - 18
4:00,Andre Roberson makes 24-foot  three point jumper  (Russell Westbrook assists),12 - 21
3:44,Devin Booker  bad pass (Domantas Sabonis steals),12 - 21
3:41,P.J. Tucker shooting foul  (Andre Roberson draws the foul),12 - 21
3:41,Andre Roberson misses free throw 1 of 2,12 - 21
3:41,Thunder offensive team rebound,12 - 21
3:41,TJ Warren enters the game for Devin Booker,12 - 21
3:41,Enes Kanter enters the game for Domantas Sabonis,12 - 21
3:41,Andre Roberson misses free throw 2 of 2,12 - 21
3:40,Thunder offensive team rebound,12 - 21
3:35,Russell Westbrook  bad pass (P.J. Tucker steals),12 - 21
3:21,Steven Adams kicked ball violation,12 - 21
3:11,Brandon Knight  misses 25-foot three point pullup jump shot,12 - 21
3:11,Alex Len offensive rebound,14 - 21
3:11,Steven Adams shooting foul  (Alex Len draws the foul),14 - 21
3:11,Alex Len makes free throw 1 of 2,13 - 21
3:11,Nick Collison enters the game for Steven Adams,13 - 21
3:11,Alex Len makes free throw 2 of 2,14 - 21
3:00,Russell Westbrook makes 19-foot two point shot,14 - 23
2:45,Suns Full timeout,14 - 23
2:45,Eric Bledsoe enters the game for P.J. Tucker,14 - 23
2:45,Jared Dudley enters the game for Tyson Chandler,14 - 23
2:45,Semaj Christon enters the game for Russell Westbrook,14 - 23
2:45,Alex Len vs. Jerami Grant,14 - 23
2:45,Alex Len  lost ball turnover (Jerami Grant steals),14 - 23
2:27,Enes Kanter  misses layup,14 - 23
2:26,Enes Kanter offensive rebound,14 - 23
2:24,Enes Kanter  misses 8-foot jumper,14 - 23
2:23,Jared Dudley defensive rebound,14 - 23
2:08,Alex Len makes layup (Eric Bledsoe assists),16 - 23
