time,play,score
12:00,Alex Len vs. Meyers Leonard (TJ Warren gains possession),0 - 0
11:44,Devin Booker makes two point shot,2 - 0
11:25,Noah Vonleh makes 3-foot two point shot (CJ McCollum assists),2 - 2
11:18,Marquese Chriss  misses alley oop dunk shot,2 - 2
11:18,Damian Lillard defensive rebound,2 - 2
11:10,Meyers Leonard  misses 25-foot three point jumper,2 - 2
11:07,Noah Vonleh offensive rebound,2 - 2
11:02,CJ McCollum  misses 20-foot two point jumper,2 - 2
11:00,TJ Warren defensive rebound,2 - 2
10:52,TJ Warren makes 8-foot two point shot,4 - 2
10:27,Alex Len shooting foul  (Meyers Leonard draws the foul),4 - 4
10:27,Meyers Leonard makes free throw 1 of 2,4 - 3
10:27,Meyers Leonard makes free throw 2 of 2,4 - 4
10:12,Devin Booker  misses,4 - 4
10:11,Noah Vonleh defensive rebound,4 - 4
10:00,Maurice Harkless  misses 23-foot three point jumper,4 - 4
10:00,Alex Len defensive rebound,4 - 4
9:52,TJ Warren  misses 22-foot two point jumper,4 - 4
9:51,Meyers Leonard defensive rebound,4 - 4
9:37,Damian Lillard  bad pass (Marquese Chriss steals),4 - 4
9:30,Devin Booker  misses 25-foot three point pullup jump shot,4 - 4
9:30,Noah Vonleh defensive rebound,4 - 4
9:26,Maurice Harkless makes driving layup (Damian Lillard assists),4 - 6
9:26,Alex Len shooting foul  (Maurice Harkless draws the foul),4 - 6
9:26,Maurice Harkless makes free throw 1 of 1,4 - 7
9:08,TJ Warren  misses 21-foot two point jumper,4 - 7
9:07,Alex Len offensive rebound,4 - 7
9:04,Tyler Ulis  misses 18-foot jumper,4 - 7
9:04,Damian Lillard defensive rebound,4 - 7
8:55,Damian Lillard makes two point shot,4 - 9
8:55,Suns Full timeout,4 - 9
8:55,Alan Williams enters the game for Alex Len,4 - 9
8:40,TJ Warren makes two point shot (Marquese Chriss assists),6 - 9
8:22,Noah Vonleh  misses layup,6 - 9
8:22,Maurice Harkless offensive rebound,6 - 9
8:17,Maurice Harkless makes two point shot,6 - 11
8:04,Devin Booker  misses 20-foot two point jumper,6 - 11
8:03,Damian Lillard defensive rebound,6 - 11
7:54,CJ McCollum makes 13-foot two point shot,6 - 13
7:47,Devin Booker  misses,6 - 13
7:47,Noah Vonleh defensive rebound,6 - 13
7:35,Noah Vonleh makes two point shot (Damian Lillard assists),6 - 15
7:22,Marquese Chriss  bad pass (CJ McCollum steals),6 - 15
7:18,CJ McCollum makes two point shot,6 - 17
7:18,Suns 20 Sec. timeout,6 - 17
7:03,TJ Warren  misses Driving Floating Jump Shot,6 - 17
7:01,Noah Vonleh defensive rebound,6 - 17
6:54,CJ McCollum makes 25-foot  three pointer,6 - 20
6:45,Tyler Ulis  misses 13-foot two point jumper,6 - 20
6:41,Meyers Leonard defensive rebound,6 - 20
6:41,Alan Williams  misses,6 - 20
6:41,Alan Williams offensive rebound,6 - 20
6:33,Noah Vonleh makes dunk (CJ McCollum assists),6 - 22
6:20,CJ McCollum personal foul  (Devin Booker draws the foul),6 - 22
6:20,Jared Dudley enters the game for Marquese Chriss,6 - 22
6:09,Jared Dudley  lost ball turnover (Meyers Leonard steals),6 - 22
6:01,Maurice Harkless makes layup (Damian Lillard assists),6 - 24
5:52,Tyler Ulis makes 18-foot two point shot,8 - 24
5:31,Noah Vonleh steps out of bounds turnover,8 - 24
5:31,Allen Crabbe enters the game for CJ McCollum,8 - 24
5:31,Al-Farouq Aminu enters the game for Noah Vonleh,8 - 24
5:15,Devin Booker  misses 15-foot jumper,8 - 24
5:13,Maurice Harkless defensive rebound,8 - 24
5:03,Damian Lillard makes 27-foot  three point jumper  (Allen Crabbe assists),8 - 27
4:48,TJ Warren  misses 21-foot jumper,8 - 27
4:47,Alan Williams offensive rebound,8 - 27
4:46,Alan Williams makes jumper,10 - 27
4:46,Meyers Leonard shooting foul  (Alan Williams draws the foul),10 - 27
4:46,Evan Turner enters the game for Maurice Harkless,10 - 27
4:46,Alan Williams makes free throw 1 of 1,11 - 27
4:30,Al-Farouq Aminu  misses 4-foot,11 - 27
4:30,Alan Williams defensive rebound,11 - 27
4:16,Tyler Ulis  bad pass (Damian Lillard steals),11 - 27
4:07,Allen Crabbe  misses 26-foot three point jumper,11 - 27
4:07,Suns defensive team rebound,11 - 27
4:07,Al-Farouq Aminu loose ball foul  (Alan Williams draws the foul),11 - 27
3:58,Alan Williams makes 5-foot two point shot (Devin Booker assists),13 - 27
3:38,Al-Farouq Aminu makes driving dunk,13 - 29
3:27,Damian Lillard shooting foul  (Jared Dudley draws the foul),13 - 29
3:27,Jared Dudley makes free throw 1 of 2,14 - 29
3:27,Noah Vonleh enters the game for Meyers Leonard,14 - 29
3:27,Derrick Jones Jr. enters the game for Tyler Ulis,14 - 29
3:27,Jared Dudley makes free throw 2 of 2,15 - 29
3:12,Al-Farouq Aminu makes 25-foot  three point jumper  (Damian Lillard assists),15 - 32
2:53,Alan Williams makes jumper (Jared Dudley assists),17 - 32
2:53,Noah Vonleh shooting foul  (Alan Williams draws the foul),17 - 32
2:53,Trail Blazers Full timeout,17 - 32
2:53,CJ McCollum enters the game for Damian Lillard,17 - 32
2:53,Alan Williams misses free throw 1 of 1,17 - 32
2:50,Noah Vonleh defensive rebound,17 - 32
2:30,Al-Farouq Aminu makes jumper (CJ McCollum assists),17 - 34
