time,play,score
12:00,Alex Len vs. Marcin Gortat (Markieff Morris gains possession),0 - 0
11:37,John Wall  bad pass (Eric Bledsoe steals),0 - 0
11:30,Devin Booker  misses 22-foot jumper,0 - 0
11:29,Marquese Chriss offensive rebound,0 - 0
11:26,Marquese Chriss  misses layup,0 - 0
11:26,John Wall defensive rebound,0 - 0
11:18,Markieff Morris  misses 26-foot three point jumper,0 - 0
11:18,Eric Bledsoe defensive rebound,0 - 0
11:10,Brandon Knight  misses 18-foot jumper,0 - 0
11:08,John Wall defensive rebound,0 - 0
10:57,John Wall  misses 21-foot jumper,0 - 0
10:56,Markieff Morris offensive rebound,0 - 0
10:52,Otto Porter Jr. makes layup (John Wall assists),0 - 2
10:34,Alex Len  traveling,0 - 2
10:23,Markieff Morris  disc dribble turnover,0 - 2
10:03,Marquese Chriss  lost ball turnover (John Wall steals),0 - 2
9:47,Marcin Gortat makes 14-foot two point shot,0 - 4
9:26,Devin Booker makes 28-foot  three point jumper  (Eric Bledsoe assists),3 - 4
9:14,Markieff Morris  misses jumper,3 - 4
9:12,Alex Len defensive rebound,3 - 4
8:53,Alex Len makes 9-foot two point shot,5 - 4
8:41,Bradley Beal makes 7-foot two point shot (John Wall assists),5 - 6
8:40,Wizards delay of game violation,5 - 6
8:29,Devin Booker makes 19-foot two point shot,7 - 6
8:00,Alex Len blocks Markieff Morris 's 5-foot  jumper,7 - 6
8:00,Wizards offensive team rebound,7 - 6
7:58,shot clock turnover,7 - 6
7:50,Marcin Gortat shooting foul  (Alex Len draws the foul),7 - 6
7:50,Alex Len makes free throw 1 of 2,8 - 6
7:50,Alex Len makes free throw 2 of 2,9 - 6
7:33,Bradley Beal  misses 12-foot jumper,9 - 6
7:31,Brandon Knight defensive rebound,9 - 6
7:31,Bradley Beal personal foul  (Brandon Knight draws the foul),9 - 6
7:16,Marquese Chriss makes dunk (Alex Len assists),11 - 6
7:01,Marquese Chriss shooting foul  (Otto Porter Jr. draws the foul),11 - 6
7:01,Otto Porter Jr. makes free throw 1 of 2,11 - 7
7:01,Otto Porter Jr. makes free throw 2 of 2,11 - 8
6:39,Brandon Knight  misses 26-foot three point jumper,11 - 8
6:39,Otto Porter Jr. defensive rebound,11 - 8
6:33,John Wall  misses 27-foot three point jumper,11 - 8
6:31,Brandon Knight defensive rebound,11 - 8
6:28,John Wall blocks Devin Booker's  layup,11 - 8
6:24,Marcin Gortat defensive rebound,11 - 8
6:20,Otto Porter Jr.  misses 25-foot three point jumper,11 - 8
6:18,Brandon Knight defensive rebound,11 - 8
6:15,Brandon Knight  lost ball turnover (Otto Porter Jr. steals),11 - 8
6:09,Bradley Beal makes 24-foot  three point jumper  (Otto Porter Jr. assists),11 - 11
5:56,Wizards Full timeout,11 - 11
5:50,Eric Bledsoe makes 25-foot  three point jumper  (Devin Booker assists),14 - 11
5:39,Alex Len shooting foul  (Otto Porter Jr. draws the foul),14 - 11
5:39,Otto Porter Jr. makes free throw 1 of 2,14 - 12
5:39,Otto Porter Jr. misses free throw 2 of 2,14 - 12
5:37,Alex Len defensive rebound,14 - 12
5:24,Alex Len  bad pass (Markieff Morris steals),14 - 12
5:18,John Wall makes two point shot (Markieff Morris assists),14 - 14
5:09,Marquese Chriss makes 7-foot two point shot (Brandon Knight assists),16 - 14
4:56,Marcin Gortat makes layup (John Wall assists),16 - 16
4:43,Marquese Chriss  misses layup,16 - 16
4:43,Suns offensive team rebound,16 - 16
4:37,Devin Booker Out-of-Bounds Bad Pass Turnover,16 - 16
4:24,Alex Len defensive 3-seconds (Technical Foul),16 - 16
4:24,Bradley Beal makes technical free throw,16 - 17
4:24,Kelly Oubre Jr. enters the game for Markieff Morris,16 - 17
