time,play,score
12:00,Steven Adams vs. DeMarcus Cousins (Victor Oladipo gains possession),0 - 0
11:37,Victor Oladipo makes layup (Domantas Sabonis assists),2 - 0
11:18,DeMarcus Cousins  misses 19-foot jumper,2 - 0
11:17,Steven Adams defensive rebound,2 - 0
11:03,Domantas Sabonis  misses 18-foot jumper,2 - 0
11:02,Rudy Gay defensive rebound,2 - 0
11:02,Domantas Sabonis personal foul  (DeMarcus Cousins draws the foul),2 - 0
10:41,DeMarcus Cousins makes 20-foot jumper (Darren Collison assists),2 - 2
10:25,Steven Adams  misses 4-foot jumper,2 - 2
10:25,DeMarcus Cousins defensive rebound,2 - 2
10:12,DeMarcus Cousins makes 24-foot  three point jumper  (Darren Collison assists),2 - 5
9:52,Rudy Gay shooting foul  (Russell Westbrook draws the foul),2 - 5
9:52,Russell Westbrook makes free throw 1 of 2,3 - 5
9:52,Russell Westbrook makes free throw 2 of 2,4 - 5
9:37,Arron Afflalo makes 17-foot two point shot,4 - 7
9:37,Victor Oladipo shooting foul  (Arron Afflalo draws the foul),4 - 7
9:37,Arron Afflalo makes free throw 1 of 1,4 - 8
9:17,Steven Adams makes dunk (Russell Westbrook assists),6 - 8
8:59,Andre Roberson shooting foul  (Rudy Gay draws the foul),6 - 8
8:59,Rudy Gay makes free throw 1 of 2,6 - 9
8:59,Rudy Gay makes free throw 2 of 2,6 - 10
8:52,Steven Adams makes dunk (Russell Westbrook assists),8 - 10
8:36,DeMarcus Cousins makes 25-foot  three point jumper  (Matt Barnes assists),8 - 13
8:30,Thunder Full timeout,8 - 13
8:21,Victor Oladipo  misses 25-foot three point jumper,8 - 13
8:21,Rudy Gay defensive rebound,8 - 13
8:03,Matt Barnes  misses 21-foot jumper,8 - 13
8:00,Rudy Gay offensive rebound,8 - 13
7:58,Rudy Gay  bad pass (Victor Oladipo steals),8 - 13
7:54,Russell Westbrook makes 15-foot jumper (Victor Oladipo assists),10 - 13
7:37,DeMarcus Cousins makes dunk (Darren Collison assists),10 - 15
7:20,Andre Roberson  misses 23-foot three point jumper,10 - 15
7:18,DeMarcus Cousins defensive rebound,10 - 15
7:11,Darren Collison Out-of-Bounds Bad Pass Turnover,10 - 15
7:11,Jerami Grant enters the game for Steven Adams,10 - 15
6:54,Victor Oladipo  misses 25-foot three point jumper,10 - 15
