time,play,score
12:00,Steven Adams vs. Joakim Noah (Andre Roberson gains possession),0 - 0
11:41,Steven Adams  misses 7-foot hook shot,0 - 0
11:41,Carmelo Anthony defensive rebound,0 - 0
11:25,Carmelo Anthony  misses two point shot,0 - 0
11:22,Russell Westbrook defensive rebound,0 - 0
11:15,Russell Westbrook  bad pass (Courtney Lee steals),0 - 0
11:03,Kristaps Porzingis  misses 7-foot two point shot,0 - 0
11:02,Steven Adams defensive rebound,0 - 0
10:49,Domantas Sabonis  misses 6-foot jumper,0 - 0
10:48,Kristaps Porzingis defensive rebound,0 - 0
10:26,Victor Oladipo shooting foul  (Carmelo Anthony draws the foul),0 - 0
10:26,Carmelo Anthony makes free throw 1 of 2,0 - 1
10:26,Carmelo Anthony makes free throw 2 of 2,0 - 2
10:14,Domantas Sabonis makes 23-foot  three point jumper  (Russell Westbrook assists),3 - 2
9:56,Carmelo Anthony  bad pass (Victor Oladipo steals),3 - 2
9:51,Russell Westbrook makes layup (Victor Oladipo assists),5 - 2
9:32,Derrick Rose makes driving layup,5 - 4
9:15,Victor Oladipo  misses 23-foot three point jumper,5 - 4
9:15,Kristaps Porzingis defensive rebound,5 - 4
8:57,Kristaps Porzingis makes 25-foot  three point jumper  (Derrick Rose assists),5 - 7
8:44,Domantas Sabonis offensive foul  (Derrick Rose draws the foul),5 - 7
8:44,Domantas Sabonis  turnover,5 - 7
8:32,Derrick Rose  misses three point jumper,5 - 7
8:30,Joakim Noah offensive rebound,5 - 7
8:19,Kristaps Porzingis  misses 26-foot three point jumper,5 - 7
8:19,Russell Westbrook defensive rebound,5 - 7
8:12,Joakim Noah blocks Domantas Sabonis 's 3-foot  layup,5 - 7
8:11,Steven Adams makes two point shot,7 - 7
8:11,Steven Adams offensive rebound,5 - 7
7:56,Courtney Lee makes 24-foot  three point jumper  (Kristaps Porzingis assists),7 - 10
7:39,Russell Westbrook makes driving layup,9 - 10
7:26,Carmelo Anthony makes 20-foot jumper (Derrick Rose assists),9 - 12
7:07,Victor Oladipo  misses 25-foot three point jumper,9 - 12
7:07,Derrick Rose defensive rebound,9 - 12
6:54,Kristaps Porzingis makes layup (Derrick Rose assists),9 - 14
6:39,Domantas Sabonis  misses 17-foot jumper,9 - 14
6:39,Carmelo Anthony defensive rebound,9 - 14
6:26,Derrick Rose  misses jumper,9 - 14
6:24,Thunder defensive team rebound,9 - 14
6:24,Joffrey Lauvergne enters the game for Domantas Sabonis,9 - 14
6:11,Steven Adams  misses 10-foot jumper,9 - 14
6:11,Kristaps Porzingis defensive rebound,9 - 14
5:52,Kristaps Porzingis  misses jumper,9 - 14
5:52,Joakim Noah makes tip shot,9 - 16
5:52,Joakim Noah offensive rebound,9 - 14
5:41,Russell Westbrook makes 25-foot  three point jumper,12 - 16
5:33,Steven Adams shooting foul  (Derrick Rose draws the foul),12 - 16
5:33,Knicks Full timeout,12 - 16
5:33,Anthony Morrow enters the game for Victor Oladipo,12 - 16
