time,play,score
12:00,Steven Adams vs. Nikola Vucevic (Victor Oladipo gains possession),0 - 0
11:45,Taj Gibson  misses 4-foot two point shot,0 - 0
11:44,Evan Fournier defensive rebound,0 - 0
11:21,Elfrid Payton  misses finger roll layup,0 - 0
11:19,Taj Gibson defensive rebound,0 - 0
11:11,Victor Oladipo makes layup (Russell Westbrook assists),2 - 0
10:59,Aaron Gordon  misses hook shot,2 - 0
10:57,Russell Westbrook defensive rebound,2 - 0
10:52,Russell Westbrook  bad pass (Nikola Vucevic steals),2 - 0
10:40,Nikola Vucevic  misses 17-foot jumper,2 - 0
10:38,Taj Gibson defensive rebound,2 - 0
10:22,Steven Adams  misses 10-foot hook shot,2 - 0
10:21,Nikola Vucevic defensive rebound,2 - 0
10:06,Evan Fournier  misses 6-foot jumper,2 - 0
10:04,Steven Adams defensive rebound,2 - 0
9:49,Terrence Ross blocks Victor Oladipo 's 14-foot  shot,2 - 0
9:48,Nikola Vucevic defensive rebound,2 - 0
9:41,Steven Adams blocks Nikola Vucevic 's 8-foot  shot,2 - 0
9:40,Steven Adams defensive rebound,2 - 0
9:32,Nikola Vucevic blocks Steven Adams 's 7-foot  jumper,2 - 0
9:30,Elfrid Payton defensive rebound,2 - 0
9:26,Andre Roberson blocks Elfrid Payton 's 3-foot  shot,2 - 0
9:22,Victor Oladipo defensive rebound,2 - 0
9:12,Taj Gibson makes 2-foot two point shot,4 - 0
8:48,Evan Fournier makes two point shot,4 - 2
8:33,Victor Oladipo makes 18-foot jumper (Russell Westbrook assists),6 - 2
8:27,Elfrid Payton  bad pass (Taj Gibson steals),6 - 2
8:21,Russell Westbrook makes driving layup,8 - 2
8:07,Evan Fournier  lost ball turnover (Russell Westbrook steals),8 - 2
8:00,Russell Westbrook makes two point shot (Victor Oladipo assists),10 - 2
7:52,Magic Full timeout,10 - 2
7:43,Terrence Ross  lost ball turnover (Victor Oladipo steals),10 - 2
7:33,Russell Westbrook  bad pass (Terrence Ross steals),10 - 2
7:20,Aaron Gordon  misses 19-foot step back jumpshot,10 - 2
7:20,Russell Westbrook defensive rebound,10 - 2
7:15,Russell Westbrook  bad pass (Aaron Gordon steals),10 - 2
7:09,Evan Fournier makes two point shot (Elfrid Payton assists),10 - 4
6:54,Victor Oladipo  misses 25-foot three point jumper,10 - 4
6:52,Russell Westbrook offensive rebound,10 - 4
6:48,Russell Westbrook makes layup,12 - 4
6:35,Evan Fournier  misses 20-foot two point jumper,12 - 4
6:35,Thunder defensive team rebound,12 - 4
6:22,Russell Westbrook  bad pass (Aaron Gordon steals),12 - 4
6:13,Nikola Vucevic  misses 20-foot jumper,12 - 4
6:13,Taj Gibson defensive rebound,12 - 4
6:05,Thunder Full timeout,12 - 4
5:56,Russell Westbrook  bad pass (Aaron Gordon steals),12 - 4
5:50,Evan Fournier makes 24-foot  three point jumper  (Terrence Ross assists),12 - 7
5:39,Elfrid Payton shooting foul  (Russell Westbrook draws the foul),12 - 7
5:39,Russell Westbrook misses free throw 1 of 2,12 - 7
5:39,Thunder offensive team rebound,12 - 7
5:39,Alex Abrines enters the game for Victor Oladipo,12 - 7
5:39,Russell Westbrook makes free throw 2 of 2,13 - 7
5:28,Elfrid Payton makes 8-foot Driving Floating Jump Shot,13 - 9
5:05,Alex Abrines  misses 26-foot three point jumper,13 - 9
5:05,Thunder offensive team rebound,13 - 9
5:05,Nikola Vucevic loose ball foul  (Steven Adams draws the foul),13 - 9
4:46,Andre Roberson  misses,13 - 9
4:43,Nikola Vucevic defensive rebound,13 - 9
4:33,Aaron Gordon  misses 26-foot three point jumper,13 - 9
4:31,Elfrid Payton offensive rebound,13 - 9
4:26,Terrence Ross makes 25-foot  three point jumper  (Elfrid Payton assists),13 - 12
4:11,Russell Westbrook makes 19-foot two point shot,15 - 12
3:59,Aaron Gordon makes 15-foot jumper (Elfrid Payton assists),15 - 14
3:46,Elfrid Payton blocks Russell Westbrook 's 11-foot  shot,15 - 14
3:44,Russell Westbrook offensive rebound,15 - 14
3:42,Elfrid Payton personal foul  (Russell Westbrook draws the foul),15 - 14
3:42,Domantas Sabonis enters the game for Taj Gibson,15 - 14
3:42,D.J. Augustin enters the game for Elfrid Payton,15 - 14
3:29,Russell Westbrook  misses 21-foot jumper,15 - 14
3:27,Evan Fournier defensive rebound,15 - 14
3:12,Steven Adams blocks Nikola Vucevic's  jumper,15 - 14
3:10,Domantas Sabonis defensive rebound,15 - 14
3:00,Alex Abrines  misses 26-foot three point jumper,15 - 14
3:00,Steven Adams offensive rebound,15 - 14
3:00,Nikola Vucevic shooting foul  (Steven Adams draws the foul),15 - 14
3:00,Steven Adams misses free throw 1 of 2,15 - 14
3:00,Thunder offensive team rebound,15 - 14
3:00,Semaj Christon enters the game for Russell Westbrook,15 - 14
3:00,Bismack Biyombo enters the game for Nikola Vucevic,15 - 14
3:00,Mario Hezonja enters the game for Evan Fournier,15 - 14
3:00,Steven Adams misses free throw 2 of 2,15 - 14
3:00,Magic defensive team rebound,15 - 14
2:47,Terrence Ross  misses 25-foot three point jumper,15 - 14
2:46,Semaj Christon defensive rebound,15 - 14
2:26,Semaj Christon  misses 26-foot three point jumper,15 - 14
2:25,Bismack Biyombo defensive rebound,15 - 14
2:12,Bismack Biyombo makes 8-foot two point shot,15 - 16
1:52,Steven Adams makes 9-foot two point shot,17 - 16
1:52,Bismack Biyombo shooting foul  (Steven Adams draws the foul),17 - 16
1:52,Victor Oladipo enters the game for Andre Roberson,17 - 16
1:52,Steven Adams makes free throw 1 of 1,18 - 16
1:32,Terrence Ross  bad pass (Semaj Christon steals),18 - 16
1:23,Domantas Sabonis  misses 14-foot jumper,18 - 16
1:23,Mario Hezonja defensive rebound,18 - 16
1:14,Aaron Gordon makes dunk (Mario Hezonja assists),18 - 18
1:00,Victor Oladipo makes 18-foot two point shot,20 - 18
41.0,D.J. Augustin  misses 25-foot three point jumper,20 - 18
39.0,Domantas Sabonis defensive rebound,20 - 18
26.0,Victor Oladipo  bad pass (Aaron Gordon steals),20 - 18
4.0,Domantas Sabonis personal foul  (D.J. Augustin draws the foul),20 - 18
0.0,Terrence Ross  misses 25-foot three point jumper,20 - 18
0.0,Magic offensive team rebound,20 - 18
0.0,End of the 1st Quarter,20 - 18
11:45,Mario Hezonja  misses 26-foot three point jumper,20 - 18
11:42,Enes Kanter defensive rebound,20 - 18
11:29,Enes Kanter makes 7-foot two point shot,22 - 18
11:12,Evan Fournier  misses driving layup,22 - 18
11:11,Enes Kanter defensive rebound,22 - 18
11:06,Victor Oladipo  misses 21-foot two point jumper,22 - 18
11:04,Bismack Biyombo defensive rebound,22 - 18
10:56,D.J. Augustin Out-of-Bounds Bad Pass Turnover,22 - 18
10:41,Enes Kanter  lost ball turnover (Jodie Meeks steals),22 - 18
10:26,D.J. Augustin makes two point shot (Bismack Biyombo assists),22 - 20
10:08,Victor Oladipo  misses 11-foot two point jumper,22 - 20
10:07,Mario Hezonja defensive rebound,22 - 20
10:00,Mario Hezonja  misses 6-foot hook shot,22 - 20
9:57,Enes Kanter defensive rebound,22 - 20
9:48,Semaj Christon makes 18-foot two point shot,24 - 20
9:32,Semaj Christon shooting foul  (D.J. Augustin draws the foul),24 - 20
9:32,D.J. Augustin makes free throw 1 of 2,24 - 21
9:32,D.J. Augustin makes free throw 2 of 2,24 - 22
9:08,Enes Kanter  misses 12-foot two point shot,24 - 22
9:07,Bismack Biyombo defensive rebound,24 - 22
8:52,Evan Fournier makes 10-foot two point shot (D.J. Augustin assists),24 - 24
8:33,Enes Kanter  misses 10-foot hook shot,24 - 24
8:30,Mario Hezonja defensive rebound,24 - 24
8:19,Evan Fournier  misses 24-foot three point jumper,24 - 24
8:18,Bismack Biyombo offensive rebound,24 - 24
8:07,D.J. Augustin  bad pass (Alex Abrines steals),24 - 24
8:03,Evan Fournier shooting foul  (Domantas Sabonis draws the foul),24 - 24
8:03,Official timeout,24 - 24
8:03,Russell Westbrook enters the game for Victor Oladipo,24 - 24
8:03,Doug McDermott enters the game for Alex Abrines,24 - 24
8:03,Terrence Ross enters the game for Evan Fournier,24 - 24
8:03,Domantas Sabonis misses free throw 1 of 2,24 - 24
8:03,Thunder offensive team rebound,24 - 24
8:03,Domantas Sabonis makes free throw 2 of 2,25 - 24
7:41,Bismack Biyombo makes two point shot (Mario Hezonja assists),25 - 26
7:31,Russell Westbrook Out-of-Bounds Bad Pass Turnover,25 - 26
7:18,Mario Hezonja makes driving dunk,25 - 28
