time,play,score
12:00,Steven Adams vs. Karl-Anthony Towns (Domantas Sabonis gains possession),0 - 0
11:47,Victor Oladipo  misses 13-foot two point shot,0 - 0
11:45,Steven Adams makes tip shot,2 - 0
11:45,Steven Adams offensive rebound,0 - 0
11:30,Andrew Wiggins  bad pass (Semaj Christon steals),2 - 0
11:14,Victor Oladipo makes 25-foot  three point jumper  (Steven Adams assists),5 - 0
10:59,Karl-Anthony Towns makes two point shot (Ricky Rubio assists),5 - 2
10:42,Semaj Christon  misses 20-foot jumper,5 - 2
10:41,Thunder offensive team rebound,5 - 2
10:26,Domantas Sabonis  misses 25-foot three point jumper,5 - 2
10:26,Brandon Rush defensive rebound,5 - 2
10:17,Domantas Sabonis shooting foul  (Brandon Rush draws the foul),5 - 2
10:17,Brandon Rush makes free throw 1 of 2,5 - 3
10:17,Brandon Rush misses free throw 2 of 2,5 - 3
10:17,Domantas Sabonis defensive rebound,5 - 3
10:04,Victor Oladipo makes driving layup,7 - 3
9:48,Karl-Anthony Towns  misses 24-foot three point jumper,7 - 3
9:47,Gorgui Dieng offensive rebound,7 - 3
9:38,Ricky Rubio  misses 20-foot two point jumper,7 - 3
9:37,Gorgui Dieng offensive rebound,7 - 3
9:29,Steven Adams personal foul  (Karl-Anthony Towns draws the foul),7 - 3
9:21,Ricky Rubio makes 24-foot  three point jumper  (Gorgui Dieng assists),7 - 6
9:06,Victor Oladipo offensive Charge  (Gorgui Dieng draws the foul),7 - 6
9:06,Victor Oladipo  turnover,7 - 6
8:51,Gorgui Dieng makes dunk (Andrew Wiggins assists),7 - 8
8:37,Steven Adams makes 6-foot two point shot (Domantas Sabonis assists),9 - 8
8:14,Kyle Singler personal foul  (Andrew Wiggins draws the foul),9 - 8
8:02,Brandon Rush  misses layup,9 - 8
8:00,Semaj Christon defensive rebound,9 - 8
7:54,Domantas Sabonis  misses three point jumper,9 - 8
7:52,Ricky Rubio defensive rebound,9 - 8
7:46,Karl-Anthony Towns makes driving layup (Ricky Rubio assists),9 - 10
7:24,Domantas Sabonis makes layup (Victor Oladipo assists),11 - 10
7:13,Timberwolves Full timeout,11 - 10
7:00,Andrew Wiggins  misses 22-foot jumper,11 - 10
6:58,Victor Oladipo defensive rebound,11 - 10
6:48,Gorgui Dieng blocks Kyle Singler's  layup,11 - 10
6:47,Karl-Anthony Towns defensive rebound,11 - 10
6:35,Gorgui Dieng 3 second turnover,11 - 10
6:20,Domantas Sabonis makes two point shot,13 - 10
6:00,Steven Adams blocks Andrew Wiggins's  layup,13 - 10
5:58,Karl-Anthony Towns offensive rebound,13 - 10
5:54,Gorgui Dieng  misses 16-foot jumper,13 - 10
5:54,Timberwolves offensive team rebound,13 - 10
5:43,Andrew Wiggins  misses two point jumper,13 - 10
5:41,Victor Oladipo defensive rebound,13 - 10
5:31,Karl-Anthony Towns kicked ball violation,13 - 10
5:31,Alex Abrines enters the game for Victor Oladipo,13 - 10
5:20,Andrew Wiggins personal foul  (Kyle Singler draws the foul),13 - 10
5:15,Domantas Sabonis  misses 14-foot jumper,13 - 10
5:13,Steven Adams makes two point shot,15 - 10
5:13,Steven Adams offensive rebound,13 - 10
4:58,Andrew Wiggins  out of bounds lost ball turnover,15 - 10
4:58,Omri Casspi enters the game for Karl-Anthony Towns,15 - 10
4:37,Andrew Wiggins shooting foul  (Domantas Sabonis draws the foul),15 - 10
4:37,Domantas Sabonis makes free throw 1 of 2,16 - 10
4:37,Domantas Sabonis makes free throw 2 of 2,17 - 10
4:26,Gorgui Dieng  bad pass (Alex Abrines steals),17 - 10
4:20,Kyle Singler makes 15-foot two point shot (Semaj Christon assists),19 - 10
4:03,Andrew Wiggins makes layup (Ricky Rubio assists),19 - 12
3:49,Domantas Sabonis  misses 15-foot jumper,19 - 12
3:48,Steven Adams offensive rebound,19 - 12
3:41,Kyle Singler makes 24-foot  three point jumper  (Domantas Sabonis assists),22 - 12
3:25,Gorgui Dieng  misses 19-foot jumper,22 - 12
3:23,Domantas Sabonis defensive rebound,22 - 12
3:15,Semaj Christon  misses two point shot,22 - 12
3:14,Semaj Christon offensive rebound,22 - 12
3:11,Domantas Sabonis  misses 24-foot three point jumper,22 - 12
3:10,Ricky Rubio defensive rebound,22 - 12
3:00,Ricky Rubio  misses 20-foot jumper,22 - 12
2:58,Domantas Sabonis defensive rebound,22 - 12
2:51,Domantas Sabonis  bad pass (Gorgui Dieng steals),22 - 12
2:44,Ricky Rubio  bad pass (Steven Adams steals),22 - 12
2:36,Alex Abrines makes 25-foot  three point jumper  (Semaj Christon assists),25 - 12
2:14,Andrew Wiggins  misses 19-foot step back jumpshot,25 - 12
2:13,Semaj Christon defensive rebound,25 - 12
1:53,Kyle Singler  misses 25-foot three point jumper,25 - 12
1:51,Thunder offensive team rebound,25 - 12
1:51,Thunder Full timeout,25 - 12
1:51,Kris Dunn enters the game for Ricky Rubio,25 - 12
1:51,Shabazz Muhammad enters the game for Brandon Rush,25 - 12
1:51,Enes Kanter enters the game for Domantas Sabonis,25 - 12
1:51,Norris Cole enters the game for Steven Adams,25 - 12
1:51,Jerami Grant enters the game for Semaj Christon,25 - 12
1:42,Gorgui Dieng shooting foul  (Enes Kanter draws the foul),25 - 12
1:42,Enes Kanter misses free throw 1 of 2,25 - 12
1:42,Thunder offensive team rebound,25 - 12
1:42,Enes Kanter makes free throw 2 of 2,26 - 12
1:29,Andrew Wiggins  misses 5-foot jump bank shot,26 - 12
1:28,Jerami Grant defensive rebound,26 - 12
1:22,Kyle Singler makes two point shot (Jerami Grant assists),28 - 12
1:09,Shabazz Muhammad makes layup (Omri Casspi assists),28 - 14
1:09,Jerami Grant shooting foul  (Shabazz Muhammad draws the foul),28 - 14
1:09,Shabazz Muhammad makes free throw 1 of 1,28 - 15
54.0,Alex Abrines makes 25-foot  three point jumper  (Enes Kanter assists),31 - 15
38.0,Alex Abrines blocks Andrew Wiggins 's 3-foot  layup,31 - 15
36.0,Andrew Wiggins offensive rebound,31 - 15
31.0,Andrew Wiggins  misses 24-foot three point jumper,31 - 15
30.0,Enes Kanter defensive rebound,31 - 15
20.0,Gorgui Dieng shooting foul  (Kyle Singler draws the foul),31 - 15
20.0,Kyle Singler makes free throw 1 of 2,32 - 15
20.0,Kyle Singler makes free throw 2 of 2,33 - 15
4.0,Kyle Singler personal foul  (Andrew Wiggins draws the foul),33 - 15
4.0,Andrew Wiggins misses free throw 1 of 2,33 - 15
4.0,Timberwolves offensive team rebound,33 - 15
4.0,Andrew Wiggins makes free throw 2 of 2,33 - 16
0.0,Norris Cole  misses 26-foot three point jumper,33 - 16
0.0,Thunder offensive team rebound,33 - 16
0.0,End of the 1st Quarter,33 - 16
11:45,Karl-Anthony Towns  misses 23-foot three point jumper,33 - 16
11:44,Victor Oladipo defensive rebound,33 - 16
11:38,Kris Dunn shooting foul  (Enes Kanter draws the foul),33 - 16
11:38,Enes Kanter makes free throw 1 of 2,34 - 16
11:38,Enes Kanter misses free throw 2 of 2,34 - 16
11:37,Tyus Jones defensive rebound,34 - 16
11:32,Shabazz Muhammad offensive Charge  (Victor Oladipo draws the foul),34 - 16
11:32,Shabazz Muhammad  turnover,34 - 16
11:21,Enes Kanter  misses layup,34 - 16
11:18,Tyus Jones defensive rebound,34 - 16
11:11,Omri Casspi  misses 4-foot two point shot,34 - 16
11:11,Jerami Grant defensive rebound,34 - 16
11:03,Victor Oladipo makes driving layup,36 - 16
10:48,Norris Cole personal foul  (Tyus Jones draws the foul),36 - 16
10:45,Shabazz Muhammad  misses 4-foot jumper,36 - 16
10:44,Jerami Grant defensive rebound,36 - 16
10:36,Jerami Grant makes driving dunk (Victor Oladipo assists),38 - 16
10:26,Timberwolves Full timeout,38 - 16
10:26,Semaj Christon enters the game for Alex Abrines,38 - 16
10:11,Shabazz Muhammad makes 8-foot two point shot,38 - 18
9:56,Enes Kanter makes layup (Norris Cole assists),40 - 18
9:47,Karl-Anthony Towns makes dunk (Tyus Jones assists),40 - 21
9:47,Jerami Grant shooting foul  (Karl-Anthony Towns draws the foul),40 - 20
9:47,Karl-Anthony Towns makes free throw 1 of 1,40 - 21
9:34,Norris Cole  misses 13-foot jumper,40 - 21
9:33,Omri Casspi defensive rebound,40 - 21
9:26,Kris Dunn  misses 13-foot two point shot,40 - 21
9:26,Thunder defensive team rebound,40 - 21
9:15,Victor Oladipo  lost ball turnover (Kris Dunn steals),40 - 21
9:11,Kris Dunn makes layup (Karl-Anthony Towns assists),40 - 23
8:57,Karl-Anthony Towns shooting foul  (Enes Kanter draws the foul),40 - 23
8:57,Enes Kanter makes free throw 1 of 2,41 - 23
8:57,Enes Kanter misses free throw 2 of 2,41 - 23
8:56,Shabazz Muhammad defensive rebound,41 - 23
8:38,Karl-Anthony Towns  misses 26-foot three point jumper,41 - 23
8:37,Norris Cole defensive rebound,41 - 23
8:30,Semaj Christon makes layup (Victor Oladipo assists),43 - 23
8:22,Enes Kanter shooting foul  (Karl-Anthony Towns draws the foul),43 - 23
8:22,Karl-Anthony Towns makes free throw 1 of 2,43 - 24
8:22,Karl-Anthony Towns makes free throw 2 of 2,43 - 25
8:08,Enes Kanter  lost ball turnover (Omri Casspi steals),43 - 25
7:56,Shabazz Muhammad  misses 24-foot three point jumper,43 - 25
7:54,Enes Kanter defensive rebound,43 - 25
7:47,Victor Oladipo  misses 25-foot three point jumper,43 - 25
7:46,Omri Casspi defensive rebound,43 - 25
7:43,Victor Oladipo shooting foul  (Shabazz Muhammad draws the foul),43 - 25
7:43,Shabazz Muhammad makes free throw 1 of 2,43 - 26
7:43,Shabazz Muhammad makes free throw 2 of 2,43 - 27
7:26,Enes Kanter  bad pass (Omri Casspi steals),43 - 27
7:22,Omri Casspi makes 5-foot two point shot (Tyus Jones assists),43 - 29
7:20,Thunder Full timeout,43 - 29
6:58,Norris Cole makes 20-foot jumper (Victor Oladipo assists),45 - 29
6:43,Kris Dunn  misses 5-foot jumper,45 - 29
6:41,Omri Casspi offensive rebound,45 - 29
6:41,Jerami Grant shooting foul  (Omri Casspi draws the foul),45 - 29
6:41,Omri Casspi misses free throw 1 of 2,45 - 29
6:41,Timberwolves offensive team rebound,45 - 29
6:41,Omri Casspi misses free throw 2 of 2,45 - 29
6:41,Jerami Grant defensive rebound,45 - 29
6:30,Enes Kanter makes layup (Semaj Christon assists),47 - 29
6:05,Tyus Jones  misses 9-foot jumper,47 - 29
6:05,Karl-Anthony Towns offensive rebound,47 - 29
6:05,Karl-Anthony Towns makes two point shot,47 - 31
6:05,Norris Cole shooting foul  (Karl-Anthony Towns draws the foul),47 - 31
6:05,Kyle Singler enters the game for Victor Oladipo,47 - 31
6:05,Domantas Sabonis enters the game for Jerami Grant,47 - 31
6:05,Gorgui Dieng enters the game for Omri Casspi,47 - 31
