time,play,score
12:00,Karl-Anthony Towns vs. Thon Maker (Khris Middleton gains possession),0 - 0
11:37,Tony Snell offensive Charge  (Brandon Rush draws the foul),0 - 0
11:37,Tony Snell  turnover,0 - 0
11:29,Andrew Wiggins Out-of-Bounds Bad Pass Turnover,0 - 0
11:21,Ricky Rubio personal foul  (Giannis Antetokounmpo draws the foul),0 - 0
11:15,Gorgui Dieng blocks Matthew Dellavedova 's 1-foot  layup,0 - 0
11:12,Gorgui Dieng defensive rebound,0 - 0
10:59,Karl-Anthony Towns makes 2-foot two point shot,2 - 0
10:40,Matthew Dellavedova  misses layup,2 - 0
10:37,Thon Maker offensive rebound,2 - 0
10:37,Thon Maker  misses tip layup shot,2 - 0
10:36,Andrew Wiggins defensive rebound,2 - 0
10:34,Gorgui Dieng makes two point shot (Ricky Rubio assists),4 - 0
10:34,Khris Middleton shooting foul  (Gorgui Dieng draws the foul),5 - 0
10:34,Gorgui Dieng makes free throw 1 of 1,5 - 0
10:11,Karl-Anthony Towns vs. Thon Maker (Brandon Rush gains possession),5 - 0
10:11,Giannis Antetokounmpo  bad pass,5 - 0
10:02,Karl-Anthony Towns Out-of-Bounds Bad Pass Turnover,5 - 0
9:52,Khris Middleton  misses 24-foot three point jumper,5 - 0
9:51,Karl-Anthony Towns defensive rebound,5 - 0
9:44,Gorgui Dieng  misses layup,5 - 0
9:42,Thon Maker defensive rebound,5 - 0
9:37,Giannis Antetokounmpo makes two point shot,5 - 2
9:37,Andrew Wiggins shooting foul  (Giannis Antetokounmpo draws the foul),5 - 3
9:37,Giannis Antetokounmpo makes free throw 1 of 1,5 - 3
9:33,Matthew Dellavedova personal block  (Ricky Rubio draws the foul),5 - 3
9:26,Karl-Anthony Towns Out-of-Bounds Bad Pass Turnover,5 - 3
9:18,Matthew Dellavedova  misses 25-foot three point jumper,5 - 3
9:15,Gorgui Dieng defensive rebound,5 - 3
9:06,Karl-Anthony Towns makes two point shot (Brandon Rush assists),7 - 3
8:45,Giannis Antetokounmpo  misses 11-foot two point shot,7 - 3
8:45,Karl-Anthony Towns defensive rebound,7 - 3
8:26,Andrew Wiggins  misses layup,7 - 3
8:26,Andrew Wiggins offensive rebound,7 - 3
8:26,Andrew Wiggins  misses 3-foot tip layup shot,7 - 3
8:23,Gorgui Dieng offensive rebound,7 - 3
8:17,Brandon Rush  misses driving layup,7 - 3
8:15,Thon Maker defensive rebound,7 - 3
8:03,Khris Middleton  misses 17-foot jumper,7 - 3
8:03,Tony Snell offensive rebound,7 - 3
7:56,Tony Snell makes 20-foot two point shot,7 - 5
7:41,Thon Maker blocks Brandon Rush's  layup,7 - 5
7:39,Giannis Antetokounmpo defensive rebound,7 - 5
7:37,Gorgui Dieng shooting block foul  (Giannis Antetokounmpo draws the foul),7 - 5
7:37,Giannis Antetokounmpo misses free throw 1 of 2,7 - 5
7:37,Bucks offensive team rebound,7 - 5
7:37,Jason Terry enters the game for Khris Middleton,7 - 5
7:37,Giannis Antetokounmpo makes free throw 2 of 2,7 - 6
7:24,Brandon Rush  misses 15-foot jumper,7 - 6
7:22,Tony Snell defensive rebound,7 - 6
7:05,Matthew Dellavedova makes 25-foot  three point jumper  (Giannis Antetokounmpo assists),7 - 9
6:52,Tony Snell personal foul  (Andrew Wiggins draws the foul),7 - 9
6:52,Greg Monroe enters the game for Thon Maker,7 - 9
6:41,Ricky Rubio  misses 9-foot jumper,7 - 9
6:41,Bucks defensive team rebound,7 - 9
6:41,Ricky Rubio loose ball foul  (Giannis Antetokounmpo draws the foul),7 - 9
