time,play,score
12:00,Karl-Anthony Towns vs. Marc Gasol (JaMychal Green gains possession),0 - 0
11:38,JaMychal Green  traveling,0 - 0
11:23,Gorgui Dieng  misses 18-foot jumper,0 - 0
11:22,James Ennis defensive rebound,0 - 0
11:14,Marc Gasol  misses 20-foot jumper,0 - 0
11:11,James Ennis  misses,0 - 0
11:11,James Ennis offensive rebound,0 - 0
11:11,Andrew Wiggins defensive rebound,0 - 0
11:03,Andrew Wiggins  out of bounds lost ball turnover,0 - 0
10:52,Tony Allen makes 21-foot jumper (Mike Conley assists),0 - 2
10:30,Karl-Anthony Towns makes  three point jumper  (Ricky Rubio assists),3 - 2
10:08,Mike Conley  misses 26-foot three point jumper,3 - 2
10:08,Gorgui Dieng defensive rebound,3 - 2
9:53,Tony Allen blocks Andrew Wiggins 's 26-foot   three point jumper,3 - 2
9:52,JaMychal Green defensive rebound,3 - 2
9:37,Gorgui Dieng defensive 3-seconds (Technical Foul),3 - 2
9:37,Mike Conley makes technical free throw,3 - 3
9:33,Mike Conley  misses 12-foot two point shot,3 - 3
9:30,JaMychal Green makes tip shot,3 - 5
9:30,JaMychal Green offensive rebound,3 - 3
9:15,Zach LaVine  misses 19-foot jumper,3 - 5
9:15,Gorgui Dieng offensive rebound,3 - 5
9:12,Gorgui Dieng makes two point shot,5 - 5
8:56,Karl-Anthony Towns blocks JaMychal Green 's 7-foot  shot,5 - 5
8:55,Karl-Anthony Towns defensive rebound,5 - 5
8:52,Mike Conley blocks Andrew Wiggins's  layup,5 - 5
8:52,Timberwolves offensive team rebound,5 - 5
8:37,JaMychal Green shooting foul  (Karl-Anthony Towns draws the foul),5 - 5
8:37,Karl-Anthony Towns makes free throw 1 of 2,6 - 5
8:37,Karl-Anthony Towns misses free throw 2 of 2,6 - 5
8:33,James Ennis defensive rebound,6 - 5
8:18,Tony Allen makes 6-foot two point shot,6 - 7
7:54,Karl-Anthony Towns makes  three point jumper  (Gorgui Dieng assists),9 - 7
7:28,Tony Allen  misses 22-foot jumper,9 - 7
7:28,Karl-Anthony Towns defensive rebound,9 - 7
7:16,Gorgui Dieng  lost ball turnover (James Ennis steals),9 - 7
7:13,Zach LaVine shooting foul  (Mike Conley draws the foul),9 - 7
7:13,Mike Conley makes free throw 1 of 2,9 - 8
7:13,Mike Conley makes free throw 2 of 2,9 - 9
7:00,Karl-Anthony Towns  out of bounds lost ball turnover,9 - 9
6:37,Tony Allen  bad pass (Zach LaVine steals),9 - 9
6:35,Ricky Rubio  traveling,9 - 9
6:26,James Ennis makes dunk (Marc Gasol assists),9 - 11
6:18,Timberwolves Full timeout,9 - 11
6:18,Vince Carter enters the game for Tony Allen,9 - 11
6:03,Vince Carter personal foul  (Ricky Rubio draws the foul),9 - 11
5:48,Marc Gasol blocks Gorgui Dieng's  layup,9 - 11
5:48,Mike Conley defensive rebound,9 - 11
5:28,JaMychal Green  misses 26-foot three point jumper,9 - 11
5:26,James Ennis  misses,9 - 11
5:26,James Ennis offensive rebound,9 - 11
5:24,Gorgui Dieng defensive rebound,9 - 11
5:18,Zach LaVine  misses 25-foot three point jumper,9 - 11
5:16,Ricky Rubio offensive rebound,9 - 11
5:11,Zach LaVine makes two point shot (Ricky Rubio assists),11 - 11
4:48,Karl-Anthony Towns kicked ball violation,11 - 11
4:48,Shabazz Muhammad enters the game for Zach LaVine,11 - 11
4:48,Kris Dunn enters the game for Ricky Rubio,11 - 11
4:48,Andrew Harrison enters the game for Mike Conley,11 - 11
4:39,Vince Carter  misses 24-foot three point jumper,11 - 11
4:39,Karl-Anthony Towns defensive rebound,11 - 11
4:26,Andrew Wiggins makes 19-foot two point shot,13 - 11
4:09,Marc Gasol  misses 5-foot jumper,13 - 11
4:09,Andrew Wiggins defensive rebound,13 - 11
4:00,Andrew Harrison shooting foul  (Gorgui Dieng draws the foul),13 - 11
4:00,Gorgui Dieng makes free throw 1 of 2,14 - 11
4:00,Gorgui Dieng misses free throw 2 of 2,14 - 11
3:59,Vince Carter defensive rebound,14 - 11
3:41,James Ennis  misses 25-foot three point jumper,14 - 11
3:41,Timberwolves defensive team rebound,14 - 11
3:23,Andrew Wiggins  misses 21-foot two point jumper,14 - 11
3:20,Grizzlies defensive team rebound,14 - 11
3:20,Zach Randolph enters the game for Marc Gasol,14 - 11
3:09,Kris Dunn personal foul  (Andrew Harrison draws the foul),14 - 11
3:09,Nemanja Bjelica enters the game for Karl-Anthony Towns,14 - 11
3:04,JaMychal Green offensive foul  (Kris Dunn draws the foul),14 - 11
3:04,JaMychal Green  turnover,14 - 11
3:04,Deyonta Davis enters the game for JaMychal Green,14 - 11
2:54,Andrew Wiggins  misses driving layup,14 - 11
2:51,Andrew Harrison defensive rebound,14 - 11
2:38,Andrew Harrison makes driving layup,14 - 13
2:38,Kris Dunn shooting foul  (Andrew Harrison draws the foul),14 - 13
2:38,Grizzlies Full timeout,14 - 13
2:38,Andrew Harrison makes free throw 1 of 1,14 - 14
2:21,Andrew Wiggins  traveling,14 - 14
2:16,Kris Dunn kicked ball violation,14 - 14
2:16,Mike Conley enters the game for James Ennis,14 - 14
2:10,Gorgui Dieng personal foul  (Zach Randolph draws the foul),14 - 14
2:05,Shabazz Muhammad personal foul  (Andrew Harrison draws the foul),14 - 14
2:05,Andrew Harrison makes free throw 1 of 2,14 - 15
2:05,Ricky Rubio enters the game for Shabazz Muhammad,14 - 15
2:05,Andrew Harrison makes free throw 2 of 2,14 - 16
1:53,Deyonta Davis shooting foul  (Andrew Wiggins draws the foul),14 - 16
1:53,Andrew Wiggins makes free throw 1 of 2,15 - 16
1:53,Andrew Wiggins makes free throw 2 of 2,16 - 16
1:35,Zach Randolph makes 19-foot jumper (Mike Conley assists),16 - 18
1:09,Ricky Rubio  misses 24-foot three point jumper,16 - 18
1:09,Deyonta Davis defensive rebound,16 - 18
53.0,Zach Randolph  misses 7-foot two point jumper,16 - 18
51.0,Gorgui Dieng defensive rebound,16 - 18
44.0,Andrew Wiggins  misses 25-foot three point running jumper,16 - 18
43.0,Deyonta Davis defensive rebound,16 - 18
22.0,Andrew Harrison  misses 26-foot three point jumper,16 - 18
21.0,Andrew Wiggins defensive rebound,16 - 18
0.0,Andrew Wiggins  misses finger roll layup,16 - 18
0.0,Zach Randolph defensive rebound,16 - 18
0.0,End of the 1st Quarter,16 - 18
11:45,Karl-Anthony Towns makes 15-foot jumper (Zach LaVine assists),18 - 18
11:27,Cole Aldrich vs. Mike Conley (Zach LaVine gains possession),18 - 18
11:27,Mike Conley  lost ball turnover,18 - 18
11:07,Zach LaVine makes 25-foot  three point jumper  (Kris Dunn assists),21 - 18
10:55,Grizzlies 20 Sec. timeout,21 - 18
10:55,James Ennis enters the game for Andrew Harrison,21 - 18
10:49,Vince Carter  misses 25-foot three point jumper,21 - 18
10:49,Cole Aldrich defensive rebound,21 - 18
10:36,Karl-Anthony Towns  out of bounds lost ball turnover,21 - 18
10:21,Zach Randolph  misses layup,21 - 18
10:19,Deyonta Davis makes two point shot,21 - 20
10:19,Deyonta Davis offensive rebound,21 - 18
10:11,Ricky Rubio  misses 20-foot Running Jumper,21 - 20
10:07,Zach Randolph defensive rebound,21 - 20
9:52,Deyonta Davis  misses 21-foot jumper,21 - 20
9:52,Grizzlies offensive team rebound,21 - 20
9:45,Zach LaVine personal foul  (Vince Carter draws the foul),21 - 20
9:34,Kris Dunn shooting foul  (Vince Carter draws the foul),21 - 20
9:34,Vince Carter makes free throw 1 of 2,21 - 21
9:34,Andrew Wiggins enters the game for Kris Dunn,21 - 21
9:34,Vince Carter makes free throw 2 of 2,21 - 22
9:23,Zach LaVine makes 1-foot two point shot,23 - 22
9:23,Deyonta Davis defensive goaltending violation,23 - 22
9:07,Zach Randolph makes two point shot,23 - 24
8:57,Ricky Rubio  misses driving layup,23 - 24
8:56,Zach Randolph defensive rebound,23 - 24
8:38,Karl-Anthony Towns shooting foul  (Zach Randolph draws the foul),23 - 24
8:38,Official timeout,23 - 24
8:38,Andrew Harrison enters the game for Mike Conley,23 - 24
8:38,Zach Randolph makes free throw 1 of 2,23 - 25
8:38,Zach Randolph makes free throw 2 of 2,23 - 26
8:38,Tony Allen enters the game for Vince Carter,23 - 26
8:14,shot clock turnover,23 - 26
8:00,Karl-Anthony Towns personal foul  (Zach Randolph draws the foul),23 - 26
8:00,Gorgui Dieng enters the game for Cole Aldrich,23 - 26
8:00,Marc Gasol enters the game for Deyonta Davis,23 - 26
7:45,Zach Randolph makes 14-foot jumper (James Ennis assists),23 - 28
7:28,Karl-Anthony Towns  misses 4-foot hook shot,23 - 28
7:26,Marc Gasol defensive rebound,23 - 28
7:07,Andrew Harrison makes driving layup,23 - 30
6:50,Andrew Wiggins makes driving dunk,25 - 30
6:26,Marc Gasol  misses 19-foot jumper,25 - 30
6:26,Gorgui Dieng defensive rebound,25 - 30
6:15,Andrew Harrison personal foul  (Andrew Wiggins draws the foul),25 - 30
6:15,JaMychal Green enters the game for Zach Randolph,25 - 30
6:07,Marc Gasol personal foul  (Karl-Anthony Towns draws the foul),25 - 30
5:56,Karl-Anthony Towns makes driving layup,27 - 30
5:41,Marc Gasol  misses three point jumper,27 - 30
5:41,Timberwolves defensive team rebound,27 - 30
5:39,Grizzlies Full timeout,27 - 30
5:24,Karl-Anthony Towns  misses 7-foot two point shot,27 - 30
5:22,JaMychal Green defensive rebound,27 - 30
5:03,Tony Allen  misses 23-foot jumper,27 - 30
5:03,Ricky Rubio defensive rebound,27 - 30
4:50,James Ennis shooting foul  (Gorgui Dieng draws the foul),27 - 30
4:50,Gorgui Dieng misses free throw 1 of 2,27 - 30
4:50,Timberwolves offensive team rebound,27 - 30
4:50,Gorgui Dieng makes free throw 2 of 2,28 - 30
4:35,Tony Allen  misses layup,28 - 30
4:33,JaMychal Green offensive rebound,28 - 30
4:33,JaMychal Green makes two point shot,28 - 32
4:33,Karl-Anthony Towns shooting foul  (JaMychal Green draws the foul),28 - 32
4:33,JaMychal Green makes free throw 1 of 1,28 - 33
4:33,Adreian Payne enters the game for Karl-Anthony Towns,28 - 32
4:20,Zach LaVine makes 23-foot  three point jumper  (Ricky Rubio assists),31 - 33
4:09,Andrew Harrison makes 15-foot two point shot,31 - 35
3:48,Andrew Harrison shooting foul  (Ricky Rubio draws the foul),31 - 35
3:48,Ricky Rubio misses free throw 1 of 2,31 - 35
3:48,Mike Conley enters the game for Andrew Harrison,32 - 35
3:48,Ricky Rubio makes free throw 2 of 2,32 - 35
3:48,Timberwolves offensive team rebound,32 - 35
3:30,Mike Conley  misses 11-foot two point shot,32 - 35
3:28,James Ennis offensive rebound,32 - 35
3:27,James Ennis makes two point shot,32 - 37
3:18,Gorgui Dieng makes dunk (Ricky Rubio assists),34 - 37
2:59,Marc Gasol makes layup (Mike Conley assists),34 - 39
2:41,Andrew Wiggins  misses 4-foot two point shot,34 - 39
2:39,Marc Gasol defensive rebound,34 - 39
2:27,Tony Allen  misses,34 - 39
2:24,Andrew Wiggins defensive rebound,34 - 39
2:24,Andrew Wiggins  lost ball turnover (Tony Allen steals),34 - 39
2:16,Adreian Payne shooting block foul  (James Ennis draws the foul),34 - 39
2:16,Timberwolves Full timeout,34 - 39
2:16,James Ennis makes free throw 1 of 2,34 - 40
2:16,James Ennis makes free throw 2 of 2,34 - 41
1:58,Adreian Payne  misses three point jumper,34 - 41
1:55,Tony Allen defensive rebound,34 - 41
1:37,Gorgui Dieng blocks Mike Conley 's 2-foot  layup,34 - 41
1:35,Gorgui Dieng defensive rebound,34 - 41
1:24,Adreian Payne makes two point shot,36 - 41
1:17,Grizzlies Full timeout,36 - 41
1:17,Vince Carter enters the game for JaMychal Green,36 - 41
1:17,Zach Randolph enters the game for Tony Allen,36 - 41
1:17,Shabazz Muhammad enters the game for Andrew Wiggins,36 - 41
1:07,Vince Carter  misses 12-foot two point shot,36 - 41
1:06,Vince Carter offensive rebound,36 - 41
55.0,Marc Gasol  bad pass (Adreian Payne steals),36 - 41
55.0,Zach Randolph personal take foul  (Ricky Rubio draws the foul),36 - 41
55.0,Ricky Rubio makes free throw 1 of 2,37 - 41
55.0,Ricky Rubio misses free throw 2 of 2,37 - 41
54.0,James Ennis defensive rebound,37 - 41
41.0,Vince Carter  misses 25-foot three point jumper,37 - 41
40.0,Mike Conley offensive rebound,37 - 41
25.0,Marc Gasol  misses 6-foot two point shot,37 - 41
24.0,Zach Randolph makes two point shot,37 - 43
24.0,Zach Randolph offensive rebound,37 - 41
0.0,Adreian Payne makes 1-foot layup (Ricky Rubio assists),39 - 43
0.0,End of the 2nd Quarter,39 - 43
11:38,Zach LaVine makes 23-foot   (Andrew Wiggins assists),42 - 43
11:22,Karl-Anthony Towns shooting foul  (James Ennis draws the foul),42 - 43
11:22,James Ennis misses free throw 1 of 2,42 - 43
11:22,Grizzlies offensive team rebound,42 - 43
11:22,James Ennis makes free throw 2 of 2,42 - 44
11:04,Nemanja Bjelica enters the game for Karl-Anthony Towns,42 - 44
11:04,Andrew Wiggins vs. James Ennis (Ricky Rubio gains possession),42 - 44
10:59,Mike Conley blocks Ricky Rubio 's 5-foot  shot,42 - 44
10:59,Ricky Rubio offensive rebound,42 - 44
10:59,shot clock turnover,42 - 44
10:42,JaMychal Green makes 18-foot jumper (Marc Gasol assists),42 - 46
10:22,Gorgui Dieng  traveling,42 - 46
10:07,JaMychal Green makes 16-foot jumper,42 - 48
9:52,Marc Gasol personal foul  (Gorgui Dieng draws the foul),42 - 48
9:44,Zach LaVine makes 24-foot  three point jumper  (Ricky Rubio assists),45 - 48
9:25,Marc Gasol  bad pass (Zach LaVine steals),45 - 48
9:19,Ricky Rubio Out-of-Bounds Bad Pass Turnover,45 - 48
8:59,Marc Gasol  misses 9-foot,45 - 48
8:56,Nemanja Bjelica defensive rebound,45 - 48
8:45,Zach LaVine  misses 25-foot three point jumper,45 - 48
8:45,Marc Gasol defensive rebound,45 - 48
8:37,Andrew Wiggins blocks Tony Allen 's 2-foot  layup,45 - 48
8:37,Gorgui Dieng defensive rebound,45 - 48
8:30,Nemanja Bjelica  lost ball turnover (James Ennis steals),45 - 48
8:15,Tony Allen  misses layup,45 - 48
8:14,Gorgui Dieng defensive rebound,45 - 48
8:06,Zach LaVine makes two point shot,47 - 48
8:06,Grizzlies Full timeout,47 - 48
7:43,Nemanja Bjelica blocks Marc Gasol 's 1-foot  layup,47 - 48
7:43,Nemanja Bjelica defensive rebound,47 - 48
7:43,Marc Gasol personal foul  (Nemanja Bjelica draws the foul),47 - 48
7:26,Marc Gasol blocks Gorgui Dieng's  shot,47 - 48
7:24,Gorgui Dieng offensive rebound,47 - 48
7:22,JaMychal Green shooting foul  (Andrew Wiggins draws the foul),47 - 48
7:22,Andrew Wiggins makes free throw 1 of 2,48 - 48
7:22,Vince Carter enters the game for Tony Allen,48 - 48
7:22,Andrew Wiggins misses free throw 2 of 2,48 - 48
7:20,Marc Gasol defensive rebound,48 - 48
7:00,Nemanja Bjelica shooting foul  (Mike Conley draws the foul),48 - 48
7:00,Mike Conley makes free throw 1 of 2,48 - 49
7:00,Mike Conley makes free throw 2 of 2,48 - 50
6:43,JaMychal Green blocks Zach LaVine 's 4-foot  jumper,48 - 50
6:41,JaMychal Green defensive rebound,48 - 50
6:41,Nemanja Bjelica shooting foul  (JaMychal Green draws the foul),48 - 50
6:41,JaMychal Green makes free throw 1 of 2,48 - 51
6:41,JaMychal Green makes free throw 2 of 2,48 - 52
6:26,Nemanja Bjelica  misses 25-foot three point jumper,48 - 52
6:26,Mike Conley defensive rebound,48 - 52
6:13,Andrew Wiggins shooting block foul  (Vince Carter draws the foul),48 - 52
6:13,Vince Carter makes free throw 1 of 2,48 - 53
6:13,Vince Carter misses free throw 2 of 2,48 - 53
6:11,Nemanja Bjelica defensive rebound,48 - 53
5:58,Andrew Wiggins  misses 13-foot two point jumper,48 - 53
5:56,JaMychal Green defensive rebound,48 - 53
5:50,Vince Carter  misses 25-foot three point running jumper,48 - 53
5:48,Timberwolves defensive team rebound,48 - 53
5:35,Andrew Wiggins  bad pass (Marc Gasol steals),48 - 53
5:30,James Ennis makes two point shot,48 - 55
5:30,Timberwolves Full timeout,48 - 55
5:13,Ricky Rubio  misses 26-foot three point jumper,48 - 55
5:13,JaMychal Green defensive rebound,48 - 55
4:52,Marc Gasol  misses 5-foot,48 - 55
4:52,Grizzlies offensive team rebound,48 - 55
4:52,Nemanja Bjelica loose ball foul  (JaMychal Green draws the foul),48 - 55
4:52,JaMychal Green makes free throw 1 of 2,48 - 56
4:52,JaMychal Green misses free throw 2 of 2,48 - 56
4:52,Andrew Harrison enters the game for Mike Conley,48 - 56
4:50,Nemanja Bjelica defensive rebound,48 - 56
4:39,Zach LaVine  misses three point jumper,48 - 56
4:39,Vince Carter defensive rebound,48 - 56
4:28,James Ennis  misses,48 - 56
4:26,Gorgui Dieng defensive rebound,48 - 56
4:11,Zach LaVine  bad pass (Andrew Harrison steals),48 - 56
4:11,Gorgui Dieng personal take foul  (Andrew Harrison draws the foul),48 - 56
4:11,Andrew Harrison makes free throw 1 of 2,48 - 57
4:11,Kris Dunn enters the game for Ricky Rubio,48 - 57
4:11,Andrew Harrison makes free throw 2 of 2,48 - 58
4:00,Nemanja Bjelica  misses 29-foot three point jumper,48 - 58
4:00,Marc Gasol defensive rebound,48 - 58
3:49,Marc Gasol makes two point shot (Andrew Harrison assists),48 - 60
3:49,Timberwolves Full timeout,48 - 60
3:49,Shabazz Muhammad enters the game for Zach LaVine,48 - 60
3:32,Nemanja Bjelica  misses 27-foot three point jumper,48 - 60
3:32,James Ennis defensive rebound,48 - 60
3:11,James Ennis  misses 28-foot three point jumper,48 - 60
3:10,Gorgui Dieng defensive rebound,48 - 60
2:51,Andrew Wiggins  misses 26-foot three point jumper,48 - 60
2:51,Grizzlies defensive team rebound,48 - 60
2:51,Adreian Payne enters the game for Nemanja Bjelica,48 - 60
2:51,Zach Randolph enters the game for Marc Gasol,48 - 60
2:31,Zach Randolph makes 15-foot two point shot (Vince Carter assists),48 - 62
2:15,Kris Dunn  misses 25-foot three point jumper,48 - 62
2:14,Vince Carter defensive rebound,48 - 62
2:03,Zach Randolph  misses 25-foot three point jumper,48 - 62
2:02,Andrew Harrison offensive rebound,48 - 62
1:53,JaMychal Green  bad pass,48 - 62
1:28,Gorgui Dieng makes driving layup,50 - 62
1:23,Kris Dunn in bound foul  (Andrew Harrison draws the foul),50 - 62
1:23,Vince Carter makes free throw 1 of 1,50 - 63
1:23,Karl-Anthony Towns enters the game for Gorgui Dieng,50 - 63
1:05,James Ennis makes driving layup,50 - 65
54.0,Karl-Anthony Towns  misses 21-foot jumper,50 - 65
54.0,Andrew Harrison defensive rebound,50 - 65
36.0,Adreian Payne blocks James Ennis's  shot,50 - 65
34.0,Kris Dunn defensive rebound,50 - 65
28.0,Andrew Wiggins  bad pass (JaMychal Green steals),50 - 65
24.0,Andrew Harrison  bad pass (Shabazz Muhammad steals),50 - 65
15.0,Shabazz Muhammad makes dunk (Adreian Payne assists),52 - 65
2.0,Andrew Harrison  misses 25-foot three point jumper,52 - 65
1.0,JaMychal Green  misses,52 - 65
1.0,JaMychal Green offensive rebound,52 - 65
0.0,Grizzlies offensive team rebound,52 - 65
0.0,End of the 3rd Quarter,52 - 65
11:38,Vince Carter  misses 25-foot three point jumper,52 - 65
11:38,Adreian Payne defensive rebound,52 - 65
11:21,Kris Dunn  misses,52 - 65
11:21,Grizzlies defensive team rebound,52 - 65
11:03,Mike Conley makes 9-foot two point shot (Marc Gasol assists),52 - 67
