time,play,score
12:00,Karl-Anthony Towns vs. Paul Millsap (Gorgui Dieng gains possession),0 - 0
11:45,Karl-Anthony Towns makes dunk (Andrew Wiggins assists),2 - 0
11:23,Dennis Schroder  bad pass,2 - 0
11:15,Andrew Wiggins makes 20-foot jumper (Ricky Rubio assists),4 - 0
11:02,Kyle Korver  misses 26-foot three point pullup jump shot,4 - 0
11:00,Karl-Anthony Towns defensive rebound,4 - 0
10:47,Andrew Wiggins  misses 23-foot three point jumper,4 - 0
10:45,Thabo Sefolosha defensive rebound,4 - 0
10:30,Dennis Schroder  misses 25-foot three point jumper,4 - 0
10:29,Karl-Anthony Towns defensive rebound,4 - 0
10:23,Andrew Wiggins makes two point shot (Karl-Anthony Towns assists),6 - 0
10:10,Paul Millsap makes 8-foot two point shot (Dennis Schroder assists),6 - 2
9:52,Karl-Anthony Towns  misses 26-foot three point jumper,6 - 2
9:52,Kent Bazemore defensive rebound,6 - 2
9:45,Kent Bazemore  misses 10-foot Running Jumper,6 - 2
9:42,Andrew Wiggins defensive rebound,6 - 2
9:36,Ricky Rubio  misses 5-foot jumper,6 - 2
9:34,Ricky Rubio offensive rebound,6 - 2
9:30,Gorgui Dieng makes 13-foot jumper (Ricky Rubio assists),8 - 2
9:12,Dennis Schroder  misses 15-foot jumper,8 - 2
9:11,Gorgui Dieng defensive rebound,8 - 2
9:00,Gorgui Dieng makes 7-foot two point shot (Ricky Rubio assists),10 - 2
8:45,Paul Millsap  misses 25-foot three point jumper,10 - 2
8:45,Timberwolves defensive team rebound,10 - 2
8:33,Gorgui Dieng makes dunk (Ricky Rubio assists),12 - 2
8:33,Hawks Full timeout,12 - 2
8:33,Mike Muscala enters the game for Kyle Korver,12 - 2
8:12,Gorgui Dieng blocks Paul Millsap's  jumper,12 - 2
8:10,Paul Millsap offensive rebound,12 - 2
8:07,Paul Millsap makes two point shot,12 - 4
7:48,Ricky Rubio makes 25-foot  three point jumper  (Karl-Anthony Towns assists),15 - 4
7:28,Mike Muscala makes 23-foot  three point jumper  (Paul Millsap assists),15 - 7
7:13,Gorgui Dieng  misses layup,15 - 7
7:11,Thabo Sefolosha defensive rebound,15 - 7
6:50,Kent Bazemore  misses 9-foot jumper,15 - 7
6:50,Mike Muscala offensive rebound,15 - 7
6:43,Mike Muscala makes tip shot,15 - 9
6:31,Zach LaVine  misses 16-foot two point jumper,15 - 9
6:31,Andrew Wiggins offensive rebound,15 - 9
6:26,Zach LaVine  misses 25-foot three point jumper,15 - 9
6:26,Paul Millsap defensive rebound,15 - 9
6:16,Andrew Wiggins blocks Thabo Sefolosha 's 3-foot  layup,15 - 9
6:13,Gorgui Dieng defensive rebound,15 - 9
6:03,Karl-Anthony Towns offensive foul  (Kent Bazemore draws the foul),15 - 9
6:03,Karl-Anthony Towns  turnover,15 - 9
6:03,Tim Hardaway Jr. enters the game for Thabo Sefolosha,15 - 9
5:52,Dennis Schroder makes driving layup,15 - 11
5:41,Gorgui Dieng  bad pass (Mike Muscala steals),15 - 11
5:35,Kent Bazemore makes 23-foot  three point jumper  (Dennis Schroder assists),15 - 14
5:18,Karl-Anthony Towns  misses 4-foot two point jumper,15 - 14
5:16,Paul Millsap defensive rebound,15 - 14
5:07,Tim Hardaway Jr. makes two point shot (Dennis Schroder assists),15 - 16
5:01,Timberwolves Full timeout,15 - 16
5:01,Thabo Sefolosha enters the game for Kent Bazemore,15 - 16
5:01,Kyle Korver enters the game for Tim Hardaway Jr.,15 - 16
5:01,Shabazz Muhammad enters the game for Zach LaVine,15 - 16
4:54,Gorgui Dieng  misses 23-foot three point jumper,15 - 16
4:52,Paul Millsap defensive rebound,15 - 16
4:41,Paul Millsap makes 7-foot two point shot,15 - 18
4:18,Karl-Anthony Towns makes layup,17 - 18
3:59,Dennis Schroder makes driving layup,17 - 20
3:47,Andrew Wiggins makes 10-foot two point shot,19 - 20
3:33,Karl-Anthony Towns personal foul  (Paul Millsap draws the foul),19 - 20
3:33,Paul Millsap makes free throw 1 of 2,19 - 21
3:33,Nemanja Bjelica enters the game for Karl-Anthony Towns,19 - 21
3:33,Mike Scott enters the game for Mike Muscala,19 - 21
3:33,Paul Millsap makes free throw 2 of 2,19 - 22
3:31,Dennis Schroder personal foul  (Ricky Rubio draws the foul),19 - 22
3:31,Mike Muscala enters the game for Paul Millsap,19 - 22
3:17,Ricky Rubio  out of bounds lost ball turnover,19 - 22
3:05,Mike Scott makes 6-foot jumper (Dennis Schroder assists),19 - 24
2:51,Shabazz Muhammad  misses 23-foot three point jumper,19 - 24
2:50,Shabazz Muhammad offensive rebound,19 - 24
2:42,Nemanja Bjelica  misses 25-foot three point jumper,19 - 24
2:41,Andrew Wiggins offensive rebound,19 - 24
2:36,Andrew Wiggins makes two point shot,21 - 24
2:25,Dennis Schroder  misses 12-foot jumper,21 - 24
2:23,Ricky Rubio defensive rebound,21 - 24
2:12,Shabazz Muhammad makes 7-foot two point shot,23 - 24
1:58,Dennis Schroder makes driving layup,23 - 26
1:39,Shabazz Muhammad makes 23-foot  three point jumper  (Nemanja Bjelica assists),26 - 26
1:17,Mike Scott  misses 6-foot hook shot,26 - 26
1:17,Shabazz Muhammad defensive rebound,26 - 26
1:02,Andrew Wiggins makes 19-foot two point shot,28 - 26
39.0,Dennis Schroder  misses 25-foot three point jumper,28 - 26
37.0,Andrew Wiggins defensive rebound,28 - 26
24.0,Gorgui Dieng  misses 7-foot,28 - 26
24.0,Timberwolves offensive team rebound,28 - 26
24.0,Kent Bazemore enters the game for Dennis Schroder,28 - 26
3.0,Kent Bazemore blocks Andrew Wiggins's  jumper,28 - 26
0.0,Thabo Sefolosha defensive rebound,28 - 26
0.0,Kyle Korver  misses layup,28 - 26
0.0,Hawks offensive team rebound,28 - 26
0.0,End of the 1st Quarter,28 - 26
11:34,Paul Millsap makes 6-foot jumper,28 - 28
11:07,Gorgui Dieng  misses 13-foot hook shot,28 - 28
11:06,Mike Scott defensive rebound,28 - 28
10:56,Paul Millsap  misses 24-foot three point jumper,28 - 28
10:55,Kris Dunn defensive rebound,28 - 28
10:45,Zach LaVine makes 25-foot  three point jumper  (Nemanja Bjelica assists),31 - 28
10:33,Kyle Korver  misses 25-foot three point jumper,31 - 28
10:30,Gorgui Dieng defensive rebound,31 - 28
10:19,Nemanja Bjelica  misses 24-foot three point jumper,31 - 28
10:18,Kent Bazemore defensive rebound,31 - 28
10:11,Kent Bazemore makes 21-foot two point shot,31 - 30
9:59,Kris Dunn makes driving layup,34 - 30
9:59,Mike Scott shooting foul  (Kris Dunn draws the foul),34 - 30
9:59,Karl-Anthony Towns enters the game for Gorgui Dieng,33 - 30
9:59,Kris Dunn makes free throw 1 of 1,34 - 30
9:44,Kyle Korver makes 24-foot  three point jumper  (Paul Millsap assists),34 - 33
9:26,Shabazz Muhammad  misses 25-foot three point jumper,34 - 33
9:26,Karl-Anthony Towns offensive rebound,34 - 33
9:21,Kyle Korver blocks Shabazz Muhammad's  jumper,34 - 33
9:18,Karl-Anthony Towns offensive rebound,34 - 33
9:18,Kyle Korver blocks Shabazz Muhammad's  shot,34 - 33
9:18,Shabazz Muhammad offensive rebound,34 - 33
9:18,Kyle Korver blocks Shabazz Muhammad's  shot,34 - 33
9:18,Timberwolves offensive team rebound,34 - 33
9:15,Mike Muscala enters the game for Mike Scott,34 - 33
9:15,Kent Bazemore personal foul  (Zach LaVine draws the foul),34 - 33
9:03,Kris Dunn  misses 25-foot three point jumper,34 - 33
9:03,Paul Millsap defensive rebound,34 - 33
8:56,Malcolm Delaney  misses 22-foot jumper,34 - 33
8:55,Karl-Anthony Towns defensive rebound,34 - 33
8:45,Nemanja Bjelica  misses 25-foot three point pullup jump shot,34 - 33
8:44,Kyle Korver defensive rebound,34 - 33
8:37,Malcolm Delaney  lost ball turnover (Zach LaVine steals),34 - 33
8:30,Kris Dunn  misses 25-foot three point jumper,34 - 33
8:29,Nemanja Bjelica offensive rebound,34 - 33
8:19,Mike Muscala shooting foul  (Karl-Anthony Towns draws the foul),34 - 33
8:19,Official timeout,34 - 33
8:19,Taurean Prince enters the game for Kyle Korver,34 - 33
