time,play,score
12:00,Karl-Anthony Towns vs. Hassan Whiteside (Luke Babbitt gains possession),0 - 0
11:33,Hassan Whiteside makes 5-foot two point shot (Dion Waiters assists),0 - 2
11:12,Karl-Anthony Towns makes 16-foot jumper,2 - 2
10:56,Luke Babbitt  misses 23-foot three point jumper,2 - 2
10:55,Karl-Anthony Towns defensive rebound,2 - 2
10:38,Andrew Wiggins  misses layup,2 - 2
10:37,Dion Waiters defensive rebound,2 - 2
10:25,Rodney McGruder makes two point shot (Hassan Whiteside assists),2 - 4
10:06,Andrew Wiggins  misses 17-foot jumper,2 - 4
10:03,Gorgui Dieng offensive rebound,2 - 4
10:02,Gorgui Dieng  misses 4-foot jump bank shot,2 - 4
10:00,Hassan Whiteside defensive rebound,2 - 4
9:55,Ricky Rubio personal foul  (Hassan Whiteside draws the foul),2 - 4
9:45,Dion Waiters makes 16-foot jumper (Goran Dragic assists),2 - 6
9:30,Hassan Whiteside defensive 3-seconds (Technical Foul),2 - 6
9:30,Ricky Rubio makes technical free throw,3 - 6
9:30,Andrew Wiggins makes dunk (Ricky Rubio assists),5 - 6
9:14,Goran Dragic  misses 24-foot three point jumper,5 - 6
9:12,Gorgui Dieng defensive rebound,5 - 6
9:04,Ricky Rubio  misses 17-foot jumper,5 - 6
9:03,Hassan Whiteside defensive rebound,5 - 6
8:56,Goran Dragic makes driving layup,5 - 8
8:38,Karl-Anthony Towns makes dunk (Ricky Rubio assists),7 - 8
8:14,Luke Babbitt makes 12-foot jumper (Rodney McGruder assists),7 - 10
8:00,Brandon Rush  misses three point jumper,7 - 10
8:00,Hassan Whiteside defensive rebound,7 - 10
7:52,Ricky Rubio blocks Goran Dragic 's 2-foot  layup,7 - 10
7:50,Heat offensive team rebound,7 - 10
7:43,Rodney McGruder  misses 23-foot three point jumper,7 - 10
7:41,Hassan Whiteside offensive rebound,7 - 10
7:37,Hassan Whiteside makes 6-foot two point shot,7 - 12
7:20,Gorgui Dieng  misses 10-foot jumper,7 - 12
7:18,Luke Babbitt defensive rebound,7 - 12
7:13,Rodney McGruder makes two point shot (Dion Waiters assists),7 - 14
6:52,Gorgui Dieng  misses jumper,7 - 14
6:50,Hassan Whiteside defensive rebound,7 - 14
6:41,Dion Waiters  lost ball turnover (Brandon Rush steals),7 - 14
6:33,Ricky Rubio  misses 8-foot jumper,7 - 14
6:33,Dion Waiters defensive rebound,7 - 14
6:28,Gorgui Dieng blocks Goran Dragic 's 2-foot  layup,7 - 14
6:28,Brandon Rush defensive rebound,7 - 14
6:20,Andrew Wiggins makes 23-foot  three point jumper  (Brandon Rush assists),10 - 14
6:07,Dion Waiters makes driving layup,10 - 16
5:41,Andrew Wiggins makes 16-foot two point shot,12 - 16
5:31,Heat Full timeout,12 - 16
5:24,Goran Dragic  misses Driving Floating Jump Shot,12 - 16
5:22,Karl-Anthony Towns defensive rebound,12 - 16
5:13,Rodney McGruder shooting foul  (Brandon Rush draws the foul),12 - 16
5:13,Brandon Rush makes free throw 1 of 2,13 - 16
