time,play,score
12:00,Karl-Anthony Towns vs. Kosta Koufos (DeMarcus Cousins gains possession),0 - 0
11:37,DeMarcus Cousins makes 22-foot jumper (Rudy Gay assists),0 - 2
11:11,Zach LaVine makes 25-foot  three pointer,3 - 2
10:48,Rudy Gay makes 19-foot two point shot,3 - 4
10:36,Andrew Wiggins  misses 4-foot jumper,3 - 4
10:34,Gorgui Dieng offensive rebound,3 - 4
10:30,Zach LaVine  misses 26-foot three point jumper,3 - 4
10:29,Kosta Koufos defensive rebound,3 - 4
10:18,Arron Afflalo  misses 13-foot jumper,3 - 4
10:18,Gorgui Dieng defensive rebound,3 - 4
10:15,Arron Afflalo blocks Zach LaVine's  layup,3 - 4
10:15,Timberwolves offensive team rebound,3 - 4
10:07,Kosta Koufos shooting foul  (Gorgui Dieng draws the foul),3 - 4
10:07,Gorgui Dieng makes free throw 1 of 2,4 - 4
10:07,Gorgui Dieng makes free throw 2 of 2,5 - 4
9:47,Kosta Koufos makes 6-foot two point shot (Ty Lawson assists),5 - 6
9:33,Andrew Wiggins  misses 25-foot three point jumper,5 - 6
9:33,Kosta Koufos defensive rebound,5 - 6
9:26,Andrew Wiggins blocks Rudy Gay 's 4-foot  jumper,5 - 6
9:26,Kings offensive team rebound,5 - 6
9:23,Ty Lawson  misses 16-foot step back jumpshot,5 - 6
9:22,Andrew Wiggins defensive rebound,5 - 6
9:04,Karl-Anthony Towns  misses 8-foot jumper,5 - 6
9:03,Kosta Koufos defensive rebound,5 - 6
8:52,DeMarcus Cousins  misses 7-foot Running Jumper,5 - 6
8:52,Gorgui Dieng defensive rebound,5 - 6
8:49,DeMarcus Cousins personal foul  (Karl-Anthony Towns draws the foul),5 - 6
8:45,Arron Afflalo personal foul  (Zach LaVine draws the foul),5 - 6
8:37,Ricky Rubio makes 17-foot jumper (Gorgui Dieng assists),7 - 6
8:23,Karl-Anthony Towns shooting foul  (DeMarcus Cousins draws the foul),7 - 6
8:23,DeMarcus Cousins makes free throw 1 of 2,7 - 7
8:23,DeMarcus Cousins makes free throw 2 of 2,7 - 8
8:10,Karl-Anthony Towns makes 6-foot two point shot (Ricky Rubio assists),9 - 8
7:47,Ty Lawson  misses 25-foot three point jumper,9 - 8
7:46,Gorgui Dieng defensive rebound,9 - 8
7:43,Andrew Wiggins possession lost ball turnoverTy Lawson,9 - 8
7:33,DeMarcus Cousins  misses 25-foot three point jumper,9 - 8
7:31,Zach LaVine defensive rebound,9 - 8
7:18,Gorgui Dieng makes 19-foot jumper (Zach LaVine assists),11 - 8
7:11,Kings Full timeout,11 - 8
6:58,Kosta Koufos makes 6-foot two point shot (DeMarcus Cousins assists),11 - 10
6:45,Kosta Koufos personal block  (Zach LaVine draws the foul),11 - 10
6:35,Andrew Wiggins makes 15-foot two point shot (Ricky Rubio assists),13 - 10
6:16,Rudy Gay  misses 19-foot jumper,13 - 10
6:13,Kosta Koufos offensive rebound,13 - 10
6:07,DeMarcus Cousins makes driving layup,13 - 12
5:50,Zach LaVine makes 20-foot two point shot,15 - 12
5:35,Rudy Gay  misses 16-foot jumper,15 - 12
5:35,Zach LaVine defensive rebound,15 - 12
5:28,Karl-Anthony Towns  misses layup,15 - 12
5:26,Kosta Koufos defensive rebound,15 - 12
5:13,DeMarcus Cousins  lost ball turnover (Ricky Rubio steals),15 - 12
5:09,Zach LaVine makes dunk (Ricky Rubio assists),17 - 12
4:50,Arron Afflalo  misses 25-foot three point jumper,17 - 12
4:50,DeMarcus Cousins offensive rebound,17 - 12
4:41,Ty Lawson makes 23-foot  three point jumper  (Arron Afflalo assists),17 - 15
4:28,Andrew Wiggins makes 21-foot two point shot,19 - 15
4:11,Rudy Gay  misses 11-foot two point shot,19 - 15
4:11,Gorgui Dieng defensive rebound,19 - 15
