time,play,score
12:00,Karl-Anthony Towns vs. Serge Ibaka (Zach LaVine gains possession),0 - 0
11:41,Gorgui Dieng makes 20-foot jumper,2 - 0
11:18,Nikola Vucevic  misses hook shot,2 - 0
11:17,Gorgui Dieng defensive rebound,2 - 0
11:10,Karl-Anthony Towns  misses,2 - 0
11:10,Evan Fournier defensive rebound,2 - 0
11:03,Serge Ibaka makes two point shot (Elfrid Payton assists),2 - 2
10:38,Karl-Anthony Towns  misses 27-foot three point jumper,2 - 2
10:37,Aaron Gordon defensive rebound,2 - 2
10:27,Aaron Gordon  misses 24-foot three point jumper,2 - 2
10:26,Timberwolves defensive team rebound,2 - 2
10:07,Andrew Wiggins  misses 13-foot jumper,2 - 2
10:07,Karl-Anthony Towns offensive rebound,2 - 2
10:03,Serge Ibaka blocks Karl-Anthony Towns 's 2-foot  layup,2 - 2
10:03,Andrew Wiggins offensive rebound,2 - 2
9:56,Zach LaVine makes 25-foot  three point jumper  (Andrew Wiggins assists),5 - 2
9:48,Nikola Vucevic  misses 5-foot,5 - 2
9:48,Gorgui Dieng defensive rebound,5 - 2
9:37,Serge Ibaka shooting foul  (Karl-Anthony Towns draws the foul),7 - 2
9:37,Karl-Anthony Towns makes free throw 1 of 2,6 - 2
9:37,Karl-Anthony Towns makes free throw 2 of 2,7 - 2
9:26,Serge Ibaka  misses 6-foot hook shot,7 - 2
9:26,Karl-Anthony Towns defensive rebound,7 - 2
9:12,Zach LaVine makes driving layup,9 - 2
9:06,Elfrid Payton makes two point shot,9 - 4
8:55,Aaron Gordon shooting foul  (Andrew Wiggins draws the foul),11 - 4
8:55,Andrew Wiggins makes free throw 1 of 2,10 - 4
8:55,Andrew Wiggins makes free throw 2 of 2,11 - 4
8:42,Kris Dunn blocks Elfrid Payton 's 6-foot  jumper,11 - 4
8:41,Kris Dunn defensive rebound,11 - 4
8:38,Kris Dunn makes two point shot,13 - 4
8:38,Magic Full timeout,13 - 4
8:26,Gorgui Dieng defensive 3-seconds (Technical Foul),13 - 5
8:26,Evan Fournier makes technical free throw,13 - 5
8:14,Serge Ibaka makes layup (Nikola Vucevic assists),13 - 7
7:50,Zach LaVine  misses three point jumper,13 - 7
7:48,Gorgui Dieng offensive rebound,13 - 7
7:48,Gorgui Dieng makes tip shot,15 - 7
7:48,Magic 20 Sec. timeout,15 - 7
7:48,Bismack Biyombo enters the game for Serge Ibaka,15 - 7
7:48,D.J. Augustin enters the game for Nikola Vucevic,15 - 7
7:48,Jeff Green enters the game for Elfrid Payton,15 - 7
7:28,Jeff Green  misses 26-foot three point jumper,15 - 7
7:26,Zach LaVine defensive rebound,15 - 7
7:20,Zach LaVine  misses two point shot,15 - 7
7:18,Gorgui Dieng offensive rebound,15 - 7
7:05,Zach LaVine makes  three point jumper  (Kris Dunn assists),18 - 7
6:45,Jeff Green  lost ball turnover (Karl-Anthony Towns steals),18 - 7
6:37,Zach LaVine makes 18-foot two point shot,20 - 7
6:15,Evan Fournier  misses three point jumper,20 - 7
6:15,Kris Dunn defensive rebound,20 - 7
6:01,Karl-Anthony Towns  misses 5-foot jumper,20 - 7
6:00,Bismack Biyombo defensive rebound,20 - 7
5:48,Evan Fournier makes two point shot,20 - 9
5:30,Karl-Anthony Towns makes driving layup (Zach LaVine assists),22 - 9
5:30,Bismack Biyombo shooting foul  (Karl-Anthony Towns draws the foul),23 - 9
5:30,Karl-Anthony Towns makes free throw 1 of 1,23 - 9
5:07,D.J. Augustin makes two point shot,23 - 11
4:47,Kris Dunn  misses 21-foot jumper,23 - 11
4:46,Aaron Gordon defensive rebound,23 - 11
4:37,Aaron Gordon  misses 8-foot two point shot,23 - 11
4:37,Gorgui Dieng defensive rebound,23 - 11
4:30,Bismack Biyombo blocks Karl-Anthony Towns's  shot,23 - 11
4:28,Aaron Gordon defensive rebound,23 - 11
4:24,Zach LaVine shooting foul  (Aaron Gordon draws the foul),23 - 12
4:24,Aaron Gordon makes free throw 1 of 2,23 - 12
4:24,Shabazz Muhammad enters the game for Zach LaVine,23 - 12
4:24,Tyus Jones enters the game for Kris Dunn,23 - 12
4:24,Aaron Gordon misses free throw 2 of 2,23 - 12
4:22,Gorgui Dieng defensive rebound,23 - 12
4:03,Andrew Wiggins makes 19-foot two point shot (Tyus Jones assists),25 - 12
3:46,Aaron Gordon  misses 22-foot jumper,25 - 12
3:46,Karl-Anthony Towns defensive rebound,25 - 12
3:30,Andrew Wiggins makes 25-foot  three pointer,28 - 12
3:30,Magic Full timeout,28 - 12
3:30,Mario Hezonja enters the game for Aaron Gordon,28 - 12
3:09,Karl-Anthony Towns blocks Bismack Biyombo 's 1-foot  layup,28 - 13
3:09,Jeff Green offensive rebound,28 - 12
3:09,Gorgui Dieng shooting foul  (Jeff Green draws the foul),28 - 14
3:09,Jeff Green makes free throw 1 of 2,28 - 13
3:09,Jeff Green makes free throw 2 of 2,28 - 14
2:56,Mario Hezonja personal foul  (Shabazz Muhammad draws the foul),28 - 14
2:42,Tyus Jones makes 26-foot  three point jumper  (Andrew Wiggins assists),31 - 14
2:29,Evan Fournier  misses 7-foot,31 - 14
2:26,Karl-Anthony Towns defensive rebound,31 - 14
2:19,Shabazz Muhammad  out of bounds lost ball turnover,31 - 14
2:19,Serge Ibaka enters the game for Evan Fournier,31 - 14
2:19,Cole Aldrich enters the game for Gorgui Dieng,31 - 14
2:05,Jeff Green  bad pass (Karl-Anthony Towns steals),31 - 14
2:01,D.J. Augustin shooting foul  (Shabazz Muhammad draws the foul),32 - 14
2:01,Shabazz Muhammad misses free throw 1 of 2,31 - 14
2:01,Timberwolves offensive team rebound,31 - 14
2:01,Shabazz Muhammad makes free throw 2 of 2,32 - 14
1:47,Karl-Anthony Towns shooting foul  (Bismack Biyombo draws the foul),32 - 14
1:47,Bismack Biyombo misses free throw 1 of 2,32 - 14
1:47,Magic offensive team rebound,32 - 14
1:47,Nemanja Bjelica enters the game for Karl-Anthony Towns,32 - 14
1:47,Bismack Biyombo misses free throw 2 of 2,32 - 14
1:46,Tyus Jones defensive rebound,32 - 14
1:29,Serge Ibaka shooting foul  (Andrew Wiggins draws the foul),34 - 14
1:29,Frank Vogel technical foul(1st technical foul),34 - 14
1:29,Andrew Wiggins misses technical free throw,32 - 14
1:29,Timberwolves offensive team rebound,32 - 14
1:29,Andrew Wiggins makes free throw 1 of 2,33 - 14
1:29,Nikola Vucevic enters the game for Serge Ibaka,33 - 14
1:29,Andrew Wiggins makes free throw 2 of 2,34 - 14
1:10,D.J. Augustin  misses 26-foot three point jumper,34 - 14
1:10,Magic offensive team rebound,34 - 14
1:10,Nemanja Bjelica loose ball foul  (Bismack Biyombo draws the foul),34 - 15
1:10,Bismack Biyombo makes free throw 1 of 2,34 - 15
1:10,Bismack Biyombo misses free throw 2 of 2,34 - 15
1:09,Andrew Wiggins defensive rebound,34 - 15
52.0,Andrew Wiggins makes 19-foot two point shot,36 - 15
32.0,Cole Aldrich personal foul  (D.J. Augustin draws the foul),36 - 17
32.0,D.J. Augustin makes free throw 1 of 2,36 - 16
32.0,D.J. Augustin makes free throw 2 of 2,36 - 17
15.0,Andrew Wiggins makes 24-foot  three pointer,39 - 17
0.0,Mario Hezonja  misses 21-foot jumper,39 - 17
0.0,Magic offensive team rebound,39 - 17
0.0,End of the 1st Quarter,39 - 17
11:47,Nikola Vucevic makes 7-foot two point shot (Elfrid Payton assists),39 - 19
11:36,Andrew Wiggins offensive foul  (Mario Hezonja draws the foul),39 - 19
11:36,Andrew Wiggins  turnover,39 - 19
11:36,Zach LaVine enters the game for Andrew Wiggins,39 - 19
11:21,Nikola Vucevic  misses 20-foot jumper,39 - 19
11:21,Magic offensive team rebound,39 - 19
11:21,Nemanja Bjelica loose ball foul  (Bismack Biyombo draws the foul),39 - 19
11:15,Nikola Vucevic makes two point shot (Bismack Biyombo assists),39 - 21
11:15,Cole Aldrich away from play foul  (Jeff Green draws the foul),39 - 22
11:15,Jeff Green makes free throw 1 of 1,39 - 22
11:03,Shabazz Muhammad makes 23-foot  three point jumper  (Tyus Jones assists),42 - 22
10:59,Nemanja Bjelica personal foul  (Bismack Biyombo draws the foul),42 - 22
10:59,Karl-Anthony Towns enters the game for Nemanja Bjelica,42 - 22
10:48,Mario Hezonja makes 4-foot two point shot (Nikola Vucevic assists),42 - 24
10:41,Shabazz Muhammad makes dunk (Tyus Jones assists),44 - 24
10:17,Nikola Vucevic makes 11-foot jumper,44 - 26
10:03,Zach LaVine  misses 26-foot three point jumper,44 - 26
10:03,Karl-Anthony Towns offensive rebound,44 - 26
9:56,Cole Aldrich  misses 5-foot hook shot,44 - 26
9:52,Tyus Jones offensive rebound,44 - 26
9:38,Karl-Anthony Towns makes layup (Cole Aldrich assists),46 - 26
9:29,Mario Hezonja  misses 26-foot three point jumper,46 - 26
9:27,Cole Aldrich defensive rebound,46 - 26
9:22,Gorgui Dieng enters the game for Cole Aldrich,46 - 26
9:22,Aaron Gordon enters the game for Mario Hezonja,46 - 26
9:07,Gorgui Dieng makes 19-foot jumper (Zach LaVine assists),48 - 26
8:49,Elfrid Payton makes 10-foot two point shot,48 - 28
8:36,Zach LaVine  misses 18-foot two point jumper,48 - 28
8:34,Nikola Vucevic defensive rebound,48 - 28
8:23,Elfrid Payton  misses 8-foot two point jumper,48 - 28
8:23,Nikola Vucevic  misses 2-foot,48 - 28
8:23,Nikola Vucevic offensive rebound,48 - 28
8:23,Magic offensive team rebound,48 - 28
8:23,Official timeout,48 - 28
8:04,Elfrid Payton  misses 15-foot two point jumper,48 - 28
8:04,Gorgui Dieng defensive rebound,48 - 28
8:03,Gorgui Dieng  bad pass (Elfrid Payton steals),48 - 28
7:58,Elfrid Payton makes layup,48 - 30
7:54,Elfrid Payton personal foul  (Tyus Jones draws the foul),48 - 30
7:46,Zach LaVine makes 17-foot two point shot,50 - 30
7:28,Gorgui Dieng blocks Bismack Biyombo 's 1-foot  layup,50 - 30
7:28,Gorgui Dieng defensive rebound,50 - 30
7:13,Karl-Anthony Towns makes 25-foot  three point jumper  (Gorgui Dieng assists),53 - 30
6:56,Jeff Green makes driving layup,53 - 32
6:35,Gorgui Dieng  misses 15-foot jumper,53 - 32
6:35,Elfrid Payton defensive rebound,53 - 32
6:31,Elfrid Payton makes two point shot,53 - 34
6:26,Shabazz Muhammad makes two point shot (Tyus Jones assists),55 - 34
6:26,Magic Full timeout,55 - 34
6:26,Andrew Wiggins enters the game for Shabazz Muhammad,55 - 34
6:26,Serge Ibaka enters the game for Bismack Biyombo,55 - 34
6:26,Evan Fournier enters the game for Jeff Green,55 - 34
6:07,Nikola Vucevic makes 19-foot jumper,55 - 36
5:54,Nikola Vucevic shooting foul  (Karl-Anthony Towns draws the foul),57 - 36
5:54,Karl-Anthony Towns makes free throw 1 of 2,56 - 36
5:54,Karl-Anthony Towns makes free throw 2 of 2,57 - 36
5:46,Elfrid Payton  bad pass (Gorgui Dieng steals),57 - 36
5:37,Nikola Vucevic personal foul  (Gorgui Dieng draws the foul),57 - 36
5:24,Tyus Jones  misses 25-foot three point jumper,57 - 36
5:22,Nikola Vucevic defensive rebound,57 - 36
5:13,Serge Ibaka  misses 6-foot hook shot,57 - 36
5:11,Gorgui Dieng defensive rebound,57 - 36
5:01,Andrew Wiggins makes driving dunk,59 - 36
4:47,Serge Ibaka  misses 21-foot jumper,59 - 36
4:45,Andrew Wiggins defensive rebound,59 - 36
4:33,Andrew Wiggins  misses 19-foot two point jumper,59 - 36
