time,play,score
12:00,Karl-Anthony Towns vs. Dirk Nowitzki (Ricky Rubio gains possession),0 - 0
11:45,Dirk Nowitzki blocks Karl-Anthony Towns 's 3-foot  shot,0 - 0
11:45,Harrison Barnes defensive rebound,0 - 0
11:30,Dirk Nowitzki  misses jumper,0 - 0
11:30,Ricky Rubio defensive rebound,0 - 0
11:15,Gorgui Dieng makes two point shot (Karl-Anthony Towns assists),2 - 0
10:59,Harrison Barnes makes 1-foot two point shot (Deron Williams assists),2 - 2
10:44,Andrew Wiggins  misses 22-foot three point jumper,2 - 2
10:42,Wesley Matthews defensive rebound,2 - 2
10:26,Wesley Matthews  misses 18-foot step back jumpshot,2 - 2
10:26,Zach LaVine defensive rebound,2 - 2
10:02,Karl-Anthony Towns makes 11-foot two point shot,4 - 2
9:41,Dirk Nowitzki  misses 19-foot jumper,4 - 2
9:40,Andrew Wiggins defensive rebound,4 - 2
9:26,Gorgui Dieng makes 13-foot two point shot,6 - 2
9:10,Dirk Nowitzki  misses 17-foot jumper,6 - 2
9:08,Zach LaVine defensive rebound,6 - 2
8:59,Ricky Rubio  misses 22-foot two point jumper,6 - 2
8:56,Harrison Barnes defensive rebound,6 - 2
8:41,Deron Williams makes 24-foot  three point jumper  (Wesley Matthews assists),6 - 5
8:26,Andrew Wiggins offensive foul  (Wesley Matthews draws the foul),6 - 5
8:26,Andrew Wiggins  turnover,6 - 5
8:04,Wesley Matthews  misses 27-foot three point jumper,6 - 5
8:03,Karl-Anthony Towns defensive rebound,6 - 5
7:52,Andrew Wiggins makes 15-foot two point shot (Ricky Rubio assists),8 - 5
7:35,Wesley Matthews offensive foul  (Ricky Rubio draws the foul),8 - 5
7:35,Wesley Matthews  turnover,8 - 5
7:35,Salah Mejri enters the game for Dirk Nowitzki,8 - 5
7:20,Ricky Rubio  bad pass (Deron Williams steals),8 - 5
7:15,Deron Williams  misses 26-foot three point jumper,8 - 5
7:13,Andrew Wiggins defensive rebound,8 - 5
7:07,Ricky Rubio  bad pass (Seth Curry steals),8 - 5
6:58,Wesley Matthews makes 22-foot  three point jumper  (Deron Williams assists),8 - 8
6:41,Karl-Anthony Towns makes 19-foot jumper (Ricky Rubio assists),10 - 8
6:31,Harrison Barnes  misses 26-foot three point jumper,10 - 8
6:31,Karl-Anthony Towns defensive rebound,10 - 8
6:09,Zach LaVine makes 26-foot  three point jumper  (Andrew Wiggins assists),13 - 8
6:09,Mavericks Full timeout,13 - 8
5:56,Seth Curry  misses 20-foot two point jumper,13 - 8
5:54,Salah Mejri offensive rebound,13 - 8
5:52,Salah Mejri makes two point shot,13 - 10
5:31,Karl-Anthony Towns makes 24-foot  three point jumper  (Zach LaVine assists),16 - 10
5:18,Karl-Anthony Towns shooting block foul  (Harrison Barnes draws the foul),15 - 10
