time,play,score
12:00,Karl-Anthony Towns vs. Steven Adams (Victor Oladipo gains possession),0 - 0
11:37,Gorgui Dieng blocks Andre Roberson 's 4-foot  jumper,0 - 0
11:36,Domantas Sabonis offensive rebound,0 - 0
11:33,Steven Adams makes two point shot (Domantas Sabonis assists),0 - 2
11:12,Karl-Anthony Towns makes 4-foot two point shot,2 - 2
10:55,Domantas Sabonis makes 3-foot two point shot,2 - 4
10:42,Gorgui Dieng  traveling,2 - 4
10:29,Steven Adams makes 2-foot two point shot,2 - 6
10:11,Karl-Anthony Towns makes driving layup,4 - 6
9:45,Domantas Sabonis  misses 23-foot three point jumper,4 - 6
9:45,Zach LaVine defensive rebound,4 - 6
9:33,Karl-Anthony Towns  misses 5-foot jumper,4 - 6
9:33,Gorgui Dieng  misses 2-foot,4 - 6
9:33,Gorgui Dieng offensive rebound,4 - 6
9:32,Karl-Anthony Towns offensive rebound,4 - 6
9:30,Karl-Anthony Towns makes layup,6 - 6
9:18,Russell Westbrook makes 9-foot two point shot,6 - 8
9:03,Zach LaVine  misses 21-foot two point jumper,6 - 8
9:02,Russell Westbrook defensive rebound,6 - 8
8:52,Andre Roberson  misses 24-foot three point jumper,6 - 8
8:51,Gorgui Dieng defensive rebound,6 - 8
8:42,Andrew Wiggins makes 14-foot two point shot,8 - 8
8:33,Kris Dunn personal foul  (Russell Westbrook draws the foul),8 - 8
8:18,Andre Roberson makes 24-foot  three point jumper  (Domantas Sabonis assists),8 - 11
8:03,Andrew Wiggins  misses 9-foot two point shot,8 - 11
8:02,Russell Westbrook defensive rebound,8 - 11
7:58,Victor Oladipo makes two point shot (Russell Westbrook assists),8 - 13
7:41,Gorgui Dieng makes 17-foot jumper,10 - 13
7:22,Gorgui Dieng shooting block foul  (Victor Oladipo draws the foul),10 - 13
7:22,Victor Oladipo misses free throw 1 of 2,10 - 13
7:22,Thunder offensive team rebound,10 - 13
7:22,Victor Oladipo misses free throw 2 of 2,10 - 13
7:22,Andrew Wiggins defensive rebound,10 - 13
7:05,Zach LaVine  misses 25-foot three point jumper,10 - 13
7:05,Russell Westbrook defensive rebound,10 - 13
6:54,Steven Adams makes two point shot (Russell Westbrook assists),10 - 15
6:43,Andre Roberson shooting foul  (Andrew Wiggins draws the foul),10 - 15
6:43,Andrew Wiggins misses free throw 1 of 2,10 - 15
6:43,Timberwolves offensive team rebound,10 - 15
6:43,Andrew Wiggins makes free throw 2 of 2,11 - 15
6:24,Victor Oladipo makes dunk (Russell Westbrook assists),11 - 17
6:09,Karl-Anthony Towns makes 24-foot  three point jumper,14 - 17
5:54,Andrew Wiggins shooting foul  (Russell Westbrook draws the foul),14 - 17
5:54,Thunder Full timeout,14 - 17
5:54,Timberwolves delay of game violation,14 - 17
5:54,Russell Westbrook makes free throw 1 of 2,14 - 18
5:54,Russell Westbrook makes free throw 2 of 2,14 - 19
5:35,Kris Dunn  misses layup,14 - 19
5:35,Victor Oladipo defensive rebound,14 - 19
5:18,Russell Westbrook  bad pass (Andrew Wiggins steals),14 - 19
5:15,Andre Roberson blocks Andrew Wiggins 's 1-foot  layup,14 - 19
5:13,Victor Oladipo defensive rebound,14 - 19
5:03,Russell Westbrook makes 14-foot two point shot,14 - 21
4:48,Gorgui Dieng  misses 17-foot jumper,14 - 21
4:48,Russell Westbrook defensive rebound,14 - 21
4:41,Domantas Sabonis  misses 22-foot three point jumper,14 - 21
4:39,Steven Adams offensive rebound,14 - 21
4:35,Domantas Sabonis makes layup (Steven Adams assists),14 - 23
4:22,Andre Roberson personal foul  (Andrew Wiggins draws the foul),14 - 23
4:22,Enes Kanter enters the game for Domantas Sabonis,14 - 23
4:13,Karl-Anthony Towns makes dunk (Andrew Wiggins assists),16 - 23
3:49,Alex Abrines enters the game for Victor Oladipo,16 - 23
3:49,Thunder Full timeout,16 - 23
3:44,Andrew Wiggins blocks Andre Roberson 's 17-foot  jumper,16 - 23
3:43,Kris Dunn defensive rebound,16 - 23
3:42,Andrew Wiggins  lost ball turnover (Alex Abrines steals),16 - 23
3:26,Steven Adams makes 5-foot jumper (Russell Westbrook assists),16 - 25
3:17,Andre Roberson kicked ball violation,16 - 25
3:10,Zach LaVine makes 25-foot  three point jumper  (Kris Dunn assists),19 - 25
2:54,Enes Kanter makes layup (Russell Westbrook assists),19 - 27
2:33,Gorgui Dieng makes 8-foot two point shot (Zach LaVine assists),21 - 27
2:19,Gorgui Dieng blocks Enes Kanter's  layup,21 - 27
2:18,Andrew Wiggins defensive rebound,21 - 27
2:00,Enes Kanter blocks Karl-Anthony Towns's  shot,21 - 27
2:00,Steven Adams defensive rebound,21 - 27
1:54,Enes Kanter makes layup (Russell Westbrook assists),21 - 29
1:46,Timberwolves Full timeout,21 - 29
1:45,Semaj Christon enters the game for Andre Roberson,21 - 29
1:45,Joffrey Lauvergne enters the game for Steven Adams,21 - 29
1:45,Jerami Grant enters the game for Russell Westbrook,21 - 29
1:45,Cole Aldrich enters the game for Gorgui Dieng,21 - 29
1:31,Karl-Anthony Towns makes 6-foot two point shot,23 - 29
1:27,Tom Thibodeau technical foul(1st technical foul),23 - 30
1:27,Alex Abrines makes technical free throw,23 - 30
1:14,Semaj Christon makes two point shot,23 - 32
53.0,Jerami Grant blocks Andrew Wiggins 's 3-foot  layup,23 - 32
52.0,Jerami Grant defensive rebound,23 - 32
47.0,Karl-Anthony Towns blocks Joffrey Lauvergne 's 2-foot  layup,23 - 32
46.0,Cole Aldrich defensive rebound,23 - 32
39.0,Jerami Grant blocks Andrew Wiggins 's 2-foot  layup,23 - 32
38.0,Zach LaVine offensive rebound,23 - 32
36.0,Jerami Grant blocks Zach LaVine's  layup,23 - 32
33.0,Karl-Anthony Towns offensive rebound,23 - 32
32.0,Karl-Anthony Towns  misses layup,23 - 32
31.0,Andrew Wiggins offensive rebound,23 - 32
25.0,Andrew Wiggins makes 5-foot two point shot,25 - 32
1.0,Semaj Christon  misses 14-foot jumper,25 - 32
0.0,Timberwolves defensive team rebound,25 - 32
0.0,End of the 1st Quarter,25 - 32
11:48,Jerami Grant personal foul  (Cole Aldrich draws the foul),25 - 32
11:37,Jerami Grant blocks Karl-Anthony Towns 's 7-foot  jumper,25 - 32
11:36,Cole Aldrich offensive rebound,25 - 32
11:36,Cole Aldrich makes layup,27 - 32
11:36,Jerami Grant defensive goaltending violation,27 - 32
