time,play,score
12:00,Karl-Anthony Towns vs. Marcin Gortat (Otto Porter Jr. gains possession),0 - 0
11:45,Markieff Morris  misses 12-foot jumper,0 - 0
11:45,Ricky Rubio defensive rebound,0 - 0
11:42,Ricky Rubio  bad pass (Otto Porter Jr. steals),0 - 0
11:26,Marcin Gortat makes 14-foot two point shot,0 - 2
11:11,Andrew Wiggins makes 12-foot two point shot,2 - 2
11:02,Marcin Gortat makes layup (John Wall assists),2 - 4
10:48,Marcin Gortat personal foul  (Zach LaVine draws the foul),2 - 4
10:42,Gorgui Dieng makes 21-foot jumper (Ricky Rubio assists),4 - 4
10:21,Markieff Morris makes 10-foot two point shot,4 - 6
10:03,Andrew Wiggins  misses 24-foot three point jumper,4 - 6
10:02,Gorgui Dieng offensive rebound,4 - 6
9:59,Marcin Gortat blocks Karl-Anthony Towns's  layup,4 - 6
9:59,Timberwolves offensive team rebound,4 - 6
9:47,Andrew Wiggins  misses 16-foot jumper,4 - 6
9:45,Marcin Gortat defensive rebound,4 - 6
9:30,Andrew Wiggins shooting foul  (Markieff Morris draws the foul),4 - 6
9:30,Markieff Morris makes free throw 1 of 2,4 - 7
9:30,Markieff Morris makes free throw 2 of 2,4 - 8
9:18,Gorgui Dieng makes 10-foot two point shot (Andrew Wiggins assists),6 - 8
9:03,Markieff Morris  misses 18-foot jumper,6 - 8
9:03,Gorgui Dieng defensive rebound,6 - 8
9:00,Karl-Anthony Towns makes driving dunk (Gorgui Dieng assists),8 - 8
8:45,Otto Porter Jr.  misses 24-foot three point jumper,8 - 8
8:45,Karl-Anthony Towns defensive rebound,8 - 8
8:33,Andrew Wiggins  misses 19-foot jumper,8 - 8
8:33,Marcin Gortat defensive rebound,8 - 8
8:25,Bradley Beal makes 24-foot  three point jumper,8 - 11
8:08,Zach LaVine  misses 26-foot three point jumper,8 - 11
8:07,Markieff Morris defensive rebound,8 - 11
7:54,John Wall  misses jumper,8 - 11
7:54,Karl-Anthony Towns defensive rebound,8 - 11
7:41,Marcin Gortat shooting foul  (Karl-Anthony Towns draws the foul),8 - 11
7:41,Karl-Anthony Towns makes free throw 1 of 2,9 - 11
7:41,Jason Smith enters the game for Marcin Gortat,9 - 11
