time,play,score
12:00,Mason Plumlee vs. Joel Embiid (Ersan Ilyasova gains possession),0 - 0
11:41,Joel Embiid  misses 18-foot jumper,0 - 0
11:38,Mason Plumlee defensive rebound,0 - 0
11:26,C.J. McCollum makes 15-foot two point shot,2 - 0
11:06,Ersan Ilyasova makes 26-foot  three point jumper  (Joel Embiid assists),2 - 3
10:41,C.J. McCollum  misses 16-foot two point shot,2 - 3
10:38,Trail Blazers offensive team rebound,2 - 3
10:34,Mason Plumlee  misses 15-foot jumper,2 - 3
10:33,Joel Embiid defensive rebound,2 - 3
10:29,Ersan Ilyasova steps out of bounds turnover,2 - 3
10:15,Damian Lillard makes 19-foot two point shot,4 - 3
9:59,Robert Covington makes driving layup (Joel Embiid assists),4 - 5
9:49,Damian Lillard  misses 25-foot three point jumper,4 - 5
9:48,Nik Stauskas defensive rebound,4 - 5
9:37,Robert Covington  misses 26-foot three point jumper,4 - 5
9:34,Ersan Ilyasova offensive rebound,4 - 5
9:25,Mason Plumlee blocks Joel Embiid's  jumper,4 - 5
9:22,C.J. McCollum defensive rebound,4 - 5
9:21,Damian Lillard makes two point shot (C.J. McCollum assists),6 - 5
8:59,Ersan Ilyasova  misses 22-foot jumper,6 - 5
8:56,Mason Plumlee defensive rebound,6 - 5
8:48,C.J. McCollum  misses 24-foot three point jumper,6 - 5
8:47,Joel Embiid defensive rebound,6 - 5
8:40,Joel Embiid  misses two point jumper,6 - 5
8:37,Noah Vonleh defensive rebound,6 - 5
8:22,Mason Plumlee makes dunk (Evan Turner assists),8 - 5
8:11,Noah Vonleh shooting foul  (Joel Embiid draws the foul),8 - 5
8:11,Joel Embiid misses free throw 1 of 2,8 - 5
8:11,76ers offensive team rebound,8 - 5
8:11,Joel Embiid makes free throw 2 of 2,8 - 6
7:58,Damian Lillard makes 18-foot two point shot (Evan Turner assists),10 - 6
7:41,T.J. McConnell  bad pass (Noah Vonleh steals),10 - 6
7:33,Damian Lillard makes 28-foot  three point jumper  (Mason Plumlee assists),13 - 6
7:33,76ers Full timeout,13 - 6
7:18,T.J. McConnell makes 16-foot jumper (Joel Embiid assists),13 - 8
7:00,Mason Plumlee offensive Charge  (Ersan Ilyasova draws the foul),13 - 8
7:00,Mason Plumlee  turnover,13 - 8
6:50,Mason Plumlee blocks Ersan Ilyasova 's 3-foot  jumper,13 - 8
6:50,76ers offensive team rebound,13 - 8
6:43,T.J. McConnell  traveling,13 - 8
6:26,Evan Turner makes 15-foot two point shot,15 - 8
6:16,Robert Covington  misses,15 - 8
6:13,Joel Embiid makes layup,15 - 10
6:13,Joel Embiid offensive rebound,15 - 8
6:00,Evan Turner  misses 24-foot three point jumper,15 - 10
5:58,Evan Turner offensive rebound,15 - 10
5:50,Joel Embiid blocks C.J. McCollum 's 2-foot  layup,15 - 10
5:50,Trail Blazers offensive team rebound,15 - 10
5:50,Nerlens Noel enters the game for Joel Embiid,15 - 10
5:50,Gerald Henderson enters the game for Nik Stauskas,15 - 10
5:50,Allen Crabbe enters the game for C.J. McCollum,15 - 10
5:35,Mason Plumlee  misses 16-foot jumper,15 - 10
5:35,Nerlens Noel defensive rebound,15 - 10
5:26,T.J. McConnell makes 16-foot two point shot,15 - 12
5:07,Robert Covington blocks Evan Turner 's 14-foot  jumper,15 - 12
5:07,Gerald Henderson defensive rebound,15 - 12
4:50,Robert Covington makes 25-foot  three point jumper  (T.J. McConnell assists),15 - 15
