time,play,score
12:00,Mason Plumlee vs. Timofey Mozgov (C.J. McCollum gains possession),0 - 0
11:38,Julius Randle shooting foul  (Al-Farouq Aminu draws the foul),0 - 0
11:38,Al-Farouq Aminu misses free throw 1 of 2,0 - 0
11:38,Trail Blazers offensive team rebound,0 - 0
11:38,Al-Farouq Aminu makes free throw 2 of 2,1 - 0
11:22,Timofey Mozgov makes two point shot (Nick Young assists),1 - 2
11:03,C.J. McCollum makes 25-foot  three point jumper  (Maurice Harkless assists),4 - 2
10:51,Julius Randle  misses 7-foot two point shot,4 - 2
10:48,Maurice Harkless defensive rebound,4 - 2
10:44,C.J. McCollum makes 19-foot Running Pullup Jump Shot,6 - 2
10:32,Luol Deng makes driving layup,6 - 4
10:17,C.J. McCollum  misses 26-foot three point jumper,6 - 4
10:15,Julius Randle defensive rebound,6 - 4
10:07,D'Angelo Russell  bad pass (Maurice Harkless steals),6 - 4
10:00,Maurice Harkless makes two point shot,8 - 4
9:37,D'Angelo Russell  misses 24-foot three point jumper,8 - 4
9:37,Al-Farouq Aminu defensive rebound,8 - 4
9:26,Damian Lillard  misses 28-foot three point jumper,8 - 4
9:25,Al-Farouq Aminu offensive rebound,8 - 4
9:22,Mason Plumlee makes layup (Al-Farouq Aminu assists),10 - 4
9:00,Luol Deng  misses 14-foot jumper,10 - 4
8:57,Al-Farouq Aminu defensive rebound,10 - 4
8:38,Damian Lillard  misses 27-foot three point jumper,10 - 4
8:37,D'Angelo Russell defensive rebound,10 - 4
8:27,Timofey Mozgov  misses 1-foot two point shot,10 - 4
8:25,Luol Deng offensive rebound,10 - 4
8:23,Luol Deng  misses layup,10 - 4
8:22,Luol Deng offensive rebound,10 - 4
8:21,Luol Deng makes two point shot,10 - 6
8:11,Mason Plumlee  misses driving layup,10 - 6
8:10,Julius Randle defensive rebound,10 - 6
8:00,Julius Randle  bad pass (Mason Plumlee steals),10 - 6
7:56,Damian Lillard  bad pass (D'Angelo Russell steals),10 - 6
7:41,D'Angelo Russell makes 9-foot two point shot,10 - 8
7:28,Mason Plumlee makes dunk (Damian Lillard assists),12 - 8
7:28,Lakers Full timeout,12 - 8
7:11,Nick Young  misses 13-foot two point jumper,12 - 8
7:05,Al-Farouq Aminu defensive rebound,12 - 8
6:56,Al-Farouq Aminu  misses 25-foot three point jumper,12 - 8
6:54,D'Angelo Russell defensive rebound,12 - 8
6:39,Damian Lillard shooting foul  (Luol Deng draws the foul),12 - 8
6:39,Luol Deng makes free throw 1 of 2,12 - 9
6:39,Luol Deng makes free throw 2 of 2,12 - 10
6:26,Timofey Mozgov personal foul  (Mason Plumlee draws the foul),12 - 10
6:20,Nick Young shooting foul  (C.J. McCollum draws the foul),12 - 10
6:20,C.J. McCollum misses free throw 1 of 2,12 - 10
6:20,Trail Blazers offensive team rebound,12 - 10
6:20,C.J. McCollum makes free throw 2 of 2,13 - 10
6:01,D'Angelo Russell  misses layup,13 - 10
6:01,Timofey Mozgov offensive rebound,13 - 10
6:00,C.J. McCollum shooting foul  (Nick Young draws the foul),13 - 10
6:00,Nick Young misses free throw 1 of 3,13 - 10
6:00,Lakers offensive team rebound,13 - 10
6:00,Nick Young makes free throw 2 of 3,13 - 11
6:00,Brandon Ingram enters the game for Julius Randle,13 - 11
6:00,Nick Young makes free throw 3 of 3,13 - 12
5:45,Damian Lillard  misses two point shot,13 - 12
5:45,Lakers defensive team rebound,13 - 12
5:37,D'Angelo Russell  misses 26-foot three point jumper,13 - 12
5:35,C.J. McCollum defensive rebound,13 - 12
5:30,C.J. McCollum makes two point shot,15 - 12
5:24,Luol Deng  misses finger roll layup,15 - 12
5:22,Luol Deng offensive rebound,15 - 12
5:07,Allen Crabbe enters the game for Maurice Harkless,15 - 12
5:07,Evan Turner enters the game for C.J. McCollum,15 - 12
5:03,Timofey Mozgov Out-of-Bounds Bad Pass Turnover,15 - 12
4:52,Damian Lillard  misses 25-foot three point jumper,15 - 12
4:48,Brandon Ingram defensive rebound,15 - 12
4:43,Al-Farouq Aminu blocks Brandon Ingram 's 7-foot  jumper,15 - 12
4:41,Damian Lillard defensive rebound,15 - 12
4:39,Evan Turner makes two point shot (Damian Lillard assists),17 - 12
4:18,Nick Young makes 24-foot   (D'Angelo Russell assists),17 - 15
4:03,Damian Lillard  misses 21-foot two point jumper,17 - 15
4:00,D'Angelo Russell defensive rebound,17 - 15
3:55,Luol Deng makes 26-foot  three point jumper  (Brandon Ingram assists),17 - 18
3:55,Trail Blazers Full timeout,17 - 17
3:55,Ed Davis enters the game for Mason Plumlee,17 - 18
3:55,Tarik Black enters the game for Timofey Mozgov,17 - 18
3:55,Jordan Clarkson enters the game for Nick Young,17 - 18
3:39,Evan Turner makes 10-foot jumper,19 - 18
3:25,Brandon Ingram  misses driving layup,19 - 18
3:21,Al-Farouq Aminu defensive rebound,19 - 18
3:11,Damian Lillard  misses Driving Floating Jump Shot,19 - 18
3:09,Luol Deng defensive rebound,19 - 18
2:57,Ed Davis defensive 3-seconds (Technical Foul),19 - 18
2:57,Jordan Clarkson makes technical free throw,19 - 19
2:57,Louis Williams enters the game for D'Angelo Russell,19 - 19
2:45,Louis Williams makes two point shot,19 - 21
2:26,Ed Davis makes dunk (Al-Farouq Aminu assists),21 - 21
2:01,Louis Williams  misses 14-foot jumper,21 - 21
2:00,Al-Farouq Aminu defensive rebound,21 - 21
1:54,Al-Farouq Aminu makes two point shot,23 - 21
1:39,Ed Davis shooting foul  (Tarik Black draws the foul),23 - 21
1:39,Tarik Black makes free throw 1 of 2,23 - 22
1:39,C.J. McCollum enters the game for Damian Lillard,23 - 22
1:39,Noah Vonleh enters the game for Al-Farouq Aminu,23 - 22
1:39,Thomas Robinson enters the game for Luol Deng,23 - 22
1:39,Tarik Black misses free throw 2 of 2,23 - 22
1:37,Ed Davis defensive rebound,23 - 22
1:21,Evan Turner  misses 10-foot jumper,23 - 22
1:19,Tarik Black defensive rebound,23 - 22
1:09,Allen Crabbe personal foul  (Brandon Ingram draws the foul),23 - 22
1:09,Brandon Ingram misses free throw 1 of 2,23 - 22
1:09,Lakers offensive team rebound,23 - 22
1:09,Brandon Ingram makes free throw 2 of 2,23 - 23
56.0,Allen Crabbe  misses 14-foot jumper,23 - 23
55.0,Brandon Ingram defensive rebound,23 - 23
49.0,Louis Williams  misses 27-foot three point jumper,23 - 23
46.0,Thomas Robinson offensive rebound,23 - 23
46.0,Jordan Clarkson makes 28-foot  three point jumper  (Thomas Robinson assists),23 - 26
31.0,C.J. McCollum  misses 20-foot two point jumper,23 - 26
27.0,Ed Davis offensive rebound,23 - 26
15.0,Jordan Clarkson personal take foul  (Ed Davis draws the foul),23 - 26
15.0,Damian Lillard enters the game for Noah Vonleh,23 - 26
15.0,Luol Deng enters the game for Tarik Black,23 - 26
1.0,C.J. McCollum makes 18-foot two point shot,25 - 26
0.0,End of the 1st Quarter,25 - 26
11:48,Louis Williams makes 25-foot  three pointer,25 - 29
11:25,Brandon Ingram blocks Evan Turner 's 26-foot   three point jumper,25 - 29
11:22,Thomas Robinson defensive rebound,25 - 29
11:15,Thomas Robinson makes two point shot,25 - 31
10:52,Thomas Robinson blocks Ed Davis's  shot,25 - 31
10:49,Tarik Black defensive rebound,25 - 31
10:45,Louis Williams  lost ball turnover (C.J. McCollum steals),25 - 31
10:41,Allen Crabbe makes 26-foot  three point jumper  (C.J. McCollum assists),28 - 31
10:17,Noah Vonleh personal foul  (Tarik Black draws the foul),28 - 31
10:17,Maurice Harkless enters the game for Noah Vonleh,28 - 31
10:11,Ed Davis shooting foul  (Brandon Ingram draws the foul),28 - 31
10:11,Brandon Ingram misses free throw 1 of 2,28 - 31
10:11,Lakers offensive team rebound,28 - 31
10:11,Brandon Ingram makes free throw 2 of 2,28 - 32
9:52,Allen Crabbe Out-of-Bounds Bad Pass Turnover,28 - 32
9:30,Louis Williams makes 25-foot  three point jumper  (Thomas Robinson assists),28 - 35
9:14,C.J. McCollum  lost ball turnover (Jordan Clarkson steals),28 - 35
9:07,Jordan Clarkson  misses 20-foot jumper,28 - 35
9:06,Evan Turner defensive rebound,28 - 35
8:59,C.J. McCollum  misses 27-foot three point jumper,28 - 35
8:56,Jordan Clarkson defensive rebound,28 - 35
8:48,Thomas Robinson  misses 9-foot two point shot,28 - 35
8:42,Ed Davis defensive rebound,28 - 35
8:37,Evan Turner makes 10-foot Running Pullup Jump Shot,30 - 35
8:32,Lakers Full timeout,30 - 35
8:26,Jordan Clarkson makes 23-foot  three point jumper  (Tarik Black assists),30 - 38
8:08,Maurice Harkless makes 24-foot  three point jumper  (C.J. McCollum assists),33 - 38
7:46,Louis Williams  misses two point shot,33 - 38
7:41,Maurice Harkless defensive rebound,33 - 38
7:31,Thomas Robinson shooting foul  (Maurice Harkless draws the foul),33 - 38
7:31,Maurice Harkless makes free throw 1 of 2,34 - 38
7:31,Julius Randle enters the game for Tarik Black,34 - 38
7:31,Luol Deng enters the game for Thomas Robinson,34 - 38
7:31,Maurice Harkless makes free throw 2 of 2,35 - 38
7:07,Julius Randle makes driving layup,35 - 40
6:56,C.J. McCollum makes driving layup,37 - 40
6:52,Evan Turner personal foul  (Jordan Clarkson draws the foul),37 - 40
6:52,Nick Young enters the game for Jordan Clarkson,37 - 40
6:52,Damian Lillard enters the game for C.J. McCollum,37 - 40
6:52,Mason Plumlee enters the game for Ed Davis,37 - 40
6:43,Louis Williams  misses Driving Floating Jump Shot,37 - 40
6:39,Evan Turner defensive rebound,37 - 40
6:35,Mason Plumlee  bad pass (Nick Young steals),37 - 40
6:28,Allen Crabbe shooting foul  (Brandon Ingram draws the foul),37 - 40
6:28,Brandon Ingram makes free throw 1 of 2,37 - 41
6:28,Brandon Ingram misses free throw 2 of 2,37 - 41
6:26,Trail Blazers defensive team rebound,37 - 41
6:11,Damian Lillard  misses 13-foot two point jumper,37 - 41
6:11,Damian Lillard offensive rebound,37 - 41
6:05,Mason Plumlee makes two point shot (Damian Lillard assists),39 - 41
6:01,Lakers 20 Sec. timeout,39 - 41
6:01,D'Angelo Russell enters the game for Brandon Ingram,39 - 41
5:48,Julius Randle makes driving layup,39 - 43
5:31,Mason Plumlee  misses cutting layup shot,39 - 43
5:28,Mason Plumlee makes tip shot,41 - 43
5:28,Mason Plumlee offensive rebound,39 - 43
5:16,D'Angelo Russell makes Driving Floating Jump Shot,41 - 45
4:54,Evan Turner  misses layup,41 - 45
4:54,D'Angelo Russell defensive rebound,41 - 45
4:50,Luol Deng makes 2-foot layup (D'Angelo Russell assists),41 - 47
4:50,Trail Blazers Full timeout,41 - 47
4:50,Timofey Mozgov enters the game for Louis Williams,41 - 47
4:50,C.J. McCollum enters the game for Allen Crabbe,41 - 47
4:50,Al-Farouq Aminu enters the game for Evan Turner,41 - 47
4:31,Mason Plumlee makes 3-foot layup (Damian Lillard assists),43 - 47
4:13,Maurice Harkless blocks Luol Deng 's 2-foot  shot,43 - 47
4:09,Al-Farouq Aminu defensive rebound,43 - 47
4:07,Maurice Harkless makes dunk (Al-Farouq Aminu assists),45 - 47
3:46,Timofey Mozgov makes driving layup (D'Angelo Russell assists),45 - 49
3:34,Timofey Mozgov blocks Damian Lillard's  layup,45 - 49
3:34,Lakers defensive team rebound,45 - 49
3:21,Mason Plumlee blocks Timofey Mozgov's  hook shot,45 - 49
3:16,Al-Farouq Aminu defensive rebound,45 - 49
3:13,Damian Lillard  lost ball turnover (D'Angelo Russell steals),45 - 49
3:06,Luol Deng makes 2-foot layup (D'Angelo Russell assists),45 - 51
2:58,Trail Blazers 20 Sec. timeout,45 - 51
2:58,Official timeout,45 - 51
2:46,C.J. McCollum  misses 16-foot two point jumper,45 - 51
2:44,D'Angelo Russell defensive rebound,45 - 51
2:40,Timofey Mozgov makes two point shot (D'Angelo Russell assists),45 - 53
2:27,Timofey Mozgov personal foul  (Mason Plumlee draws the foul),45 - 53
2:18,Timofey Mozgov shooting foul  (Mason Plumlee draws the foul),45 - 53
2:18,Mason Plumlee makes free throw 1 of 2,46 - 53
2:18,Mason Plumlee misses free throw 2 of 2,46 - 53
2:17,Al-Farouq Aminu offensive rebound,46 - 53
2:12,Maurice Harkless  misses 24-foot three point jumper,46 - 53
2:10,Damian Lillard offensive rebound,46 - 53
