time,play,score
12:00,Jusuf Nurkic vs. Nikola Vucevic (Aaron Gordon gains possession),0 - 0
11:45,Jusuf Nurkic blocks Evan Fournier's  layup,0 - 0
11:45,Magic offensive team rebound,0 - 0
11:45,Evan Fournier Out-of-Bounds Bad Pass Turnover,0 - 0
11:30,Noah Vonleh  illegal assist turnover,0 - 0
11:17,Nikola Vucevic  misses 19-foot jumper,0 - 0
11:15,Maurice Harkless defensive rebound,0 - 0
11:06,Damian Lillard  misses 20-foot two point jumper,0 - 0
11:03,Noah Vonleh offensive rebound,0 - 0
10:52,Damian Lillard  misses layup,0 - 0
10:45,Nikola Vucevic defensive rebound,0 - 0
10:30,Evan Fournier  misses 8-foot two point shot,0 - 0
10:30,Aaron Gordon offensive rebound,0 - 0
10:30,Aaron Gordon  misses 2-foot,0 - 0
10:29,Jusuf Nurkic defensive rebound,0 - 0
10:22,Terrence Ross shooting foul  (C.J. McCollum draws the foul),0 - 0
10:22,C.J. McCollum makes free throw 1 of 2,1 - 0
10:22,C.J. McCollum makes free throw 2 of 2,2 - 0
10:11,Nikola Vucevic  misses 22-foot jumper,2 - 0
10:10,Aaron Gordon offensive rebound,2 - 0
10:07,Nikola Vucevic makes 2-foot layup (Aaron Gordon assists),2 - 2
9:48,Noah Vonleh  bad pass (Terrence Ross steals),2 - 2
9:41,Terrence Ross  misses 27-foot three point pullup jump shot,2 - 2
9:40,Aaron Gordon offensive rebound,2 - 2
9:33,Noah Vonleh blocks Aaron Gordon's  layup,2 - 2
9:29,Aaron Gordon makes layup,2 - 4
9:29,Aaron Gordon offensive rebound,2 - 2
9:15,C.J. McCollum  misses 6-foot two point shot,2 - 4
9:12,Magic defensive team rebound,2 - 4
9:04,Nikola Vucevic  lost ball turnover (Jusuf Nurkic steals),2 - 4
8:59,Elfrid Payton blocks Damian Lillard's  shot,2 - 4
8:55,Elfrid Payton defensive rebound,2 - 4
8:51,Maurice Harkless blocks Terrence Ross 's 8-foot  shot,2 - 4
8:49,Magic offensive team rebound,2 - 4
8:41,Nikola Vucevic  misses driving layup,2 - 4
8:38,Noah Vonleh defensive rebound,2 - 4
8:19,Aaron Gordon blocks Jusuf Nurkic's  shot,2 - 4
8:19,Trail Blazers offensive team rebound,2 - 4
8:14,C.J. McCollum  misses 25-foot three point jumper,2 - 4
8:14,Trail Blazers offensive team rebound,2 - 4
8:14,shot clock turnover,2 - 4
8:02,Elfrid Payton makes 17-foot jumper,2 - 6
7:48,Jusuf Nurkic makes layup,4 - 6
7:35,Damian Lillard shooting foul  (Elfrid Payton draws the foul),4 - 6
7:35,Elfrid Payton misses free throw 1 of 2,4 - 6
7:35,Magic offensive team rebound,4 - 6
7:35,Elfrid Payton misses free throw 2 of 2,4 - 6
7:33,Maurice Harkless defensive rebound,4 - 6
7:30,Nikola Vucevic personal foul  (Jusuf Nurkic draws the foul),4 - 6
7:24,Jusuf Nurkic  misses driving layup,4 - 6
7:22,Jusuf Nurkic offensive rebound,4 - 6
7:20,Jusuf Nurkic makes 2-foot two point shot,6 - 6
7:05,Noah Vonleh shooting foul  (Nikola Vucevic draws the foul),6 - 6
7:05,Nikola Vucevic misses free throw 1 of 2,6 - 6
7:05,Magic offensive team rebound,6 - 6
7:05,Nikola Vucevic makes free throw 2 of 2,6 - 7
6:48,Jusuf Nurkic  offensive goaltending turnover,6 - 7
6:35,Nikola Vucevic makes 5-foot two point shot (Elfrid Payton assists),6 - 9
6:28,Maurice Harkless  bad pass,6 - 9
6:16,Jusuf Nurkic shooting foul  (Nikola Vucevic draws the foul),6 - 9
6:16,Nikola Vucevic makes free throw 1 of 2,6 - 10
6:16,Nikola Vucevic makes free throw 2 of 2,6 - 11
6:00,C.J. McCollum makes 14-foot two point shot,8 - 11
5:45,Elfrid Payton Out-of-Bounds Bad Pass Turnover,8 - 11
5:45,Magic Full timeout,8 - 11
