time,play,score
12:00,Jusuf Nurkic vs. Andre Drummond (Reggie Jackson gains possession),0 - 0
11:38,Andre Drummond  misses hook shot,0 - 0
11:37,Damian Lillard defensive rebound,0 - 0
11:18,Maurice Harkless  misses layup,0 - 0
11:18,Marcus Morris defensive rebound,0 - 0
11:10,Jon Leuer  misses jumper,0 - 0
11:08,Jusuf Nurkic defensive rebound,0 - 0
11:00,C.J. McCollum  out of bounds lost ball turnover,0 - 0
10:41,Marcus Morris makes 13-foot jumper,0 - 2
10:22,Noah Vonleh makes 5-foot two point shot,2 - 2
10:03,Marcus Morris  misses 26-foot three point jumper,2 - 2
10:03,Noah Vonleh defensive rebound,2 - 2
9:53,Jusuf Nurkic offensive foul  (Reggie Jackson draws the foul),2 - 2
9:53,Jusuf Nurkic  turnover,2 - 2
9:44,Reggie Jackson  misses 26-foot,2 - 2
9:42,Maurice Harkless defensive rebound,2 - 2
9:30,Jon Leuer shooting foul  (Noah Vonleh draws the foul),2 - 2
9:30,Noah Vonleh makes free throw 1 of 2,3 - 2
9:30,Noah Vonleh misses free throw 2 of 2,3 - 2
9:30,Jusuf Nurkic offensive rebound,3 - 2
9:22,Damian Lillard  misses 26-foot three point jumper,3 - 2
9:22,Marcus Morris defensive rebound,3 - 2
9:19,Andre Drummond offensive foul  (Jusuf Nurkic draws the foul),3 - 2
9:19,Andre Drummond  turnover,3 - 2
9:07,Noah Vonleh makes dunk (Damian Lillard assists),5 - 2
8:47,Andre Drummond  misses jumper,5 - 2
8:45,Maurice Harkless defensive rebound,5 - 2
8:41,Maurice Harkless makes layup,7 - 2
8:26,Jusuf Nurkic blocks Andre Drummond 's 3-foot  layup,7 - 2
8:23,Damian Lillard defensive rebound,7 - 2
8:11,Maurice Harkless  misses 26-foot three point jumper,7 - 2
8:11,Noah Vonleh offensive rebound,7 - 2
8:04,Jusuf Nurkic makes 21-foot jumper (Noah Vonleh assists),9 - 2
7:47,Andre Drummond  misses 9-foot hook shot,9 - 2
7:46,C.J. McCollum defensive rebound,9 - 2
7:30,Jusuf Nurkic  misses 17-foot two point shot,9 - 2
7:30,Jon Leuer defensive rebound,9 - 2
7:16,Reggie Jackson  misses jumper,9 - 2
7:13,Maurice Harkless defensive rebound,9 - 2
7:05,Jusuf Nurkic  misses layup,9 - 2
7:05,Andre Drummond defensive rebound,9 - 2
6:52,Marcus Morris  misses 17-foot two point shot,9 - 2
6:50,Andre Drummond offensive rebound,9 - 2
6:48,Andre Drummond makes 5-foot two point shot,9 - 4
6:30,C.J. McCollum makes 25-foot  three point jumper  (Damian Lillard assists),12 - 4
6:11,Andre Drummond  misses 7-foot hook shot,12 - 4
6:09,Damian Lillard defensive rebound,12 - 4
5:58,Damian Lillard makes 14-foot two point shot,14 - 4
5:58,Pistons Full timeout,14 - 4
5:58,Tobias Harris enters the game for Jon Leuer,14 - 4
5:46,Andre Drummond makes driving layup,14 - 6
5:22,Tobias Harris shooting foul  (Jusuf Nurkic draws the foul),14 - 6
5:22,Jusuf Nurkic makes free throw 1 of 2,15 - 6
5:22,Allen Crabbe enters the game for C.J. McCollum,15 - 6
5:22,Jusuf Nurkic misses free throw 2 of 2,15 - 6
5:22,Andre Drummond defensive rebound,15 - 6
5:05,Reggie Jackson  lost ball turnover (Damian Lillard steals),15 - 6
4:58,Andre Drummond shooting foul  (Maurice Harkless draws the foul),15 - 6
4:58,Maurice Harkless misses free throw 1 of 2,15 - 6
4:58,Trail Blazers offensive team rebound,15 - 6
4:58,Meyers Leonard enters the game for Jusuf Nurkic,15 - 6
4:58,Aron Baynes enters the game for Andre Drummond,15 - 6
4:58,Maurice Harkless misses free throw 2 of 2,15 - 6
4:56,Kentavious Caldwell-Pope defensive rebound,15 - 6
4:45,Reggie Jackson  bad pass (Allen Crabbe steals),15 - 6
4:35,Damian Lillard  misses two point shot,15 - 6
4:33,Damian Lillard offensive rebound,15 - 6
4:28,Meyers Leonard makes 26-foot  three point jumper  (Damian Lillard assists),18 - 6
4:15,Noah Vonleh shooting foul  (Marcus Morris draws the foul),18 - 6
4:15,Marcus Morris misses free throw 1 of 2,18 - 6
4:15,Pistons offensive team rebound,18 - 6
4:15,Ish Smith enters the game for Reggie Jackson,18 - 6
4:15,Marcus Morris makes free throw 2 of 2,18 - 7
3:59,Meyers Leonard makes jumper (Damian Lillard assists),20 - 7
3:47,Kentavious Caldwell-Pope  misses 27-foot three point jumper,20 - 7
3:47,Damian Lillard defensive rebound,20 - 7
3:38,Damian Lillard  misses 19-foot step back jumpshot,20 - 7
3:34,Marcus Morris defensive rebound,20 - 7
3:29,Marcus Morris makes 25-foot  three point jumper  (Ish Smith assists),20 - 10
3:08,Damian Lillard makes 5-foot Driving Floating Jump Shot,22 - 10
2:58,Allen Crabbe personal foul  (Kentavious Caldwell-Pope draws the foul),22 - 10
2:58,Trail Blazers Full timeout,22 - 10
2:58,Stanley Johnson enters the game for Kentavious Caldwell-Pope,22 - 10
2:58,Al-Farouq Aminu enters the game for Noah Vonleh,22 - 10
2:58,C.J. McCollum enters the game for Maurice Harkless,22 - 10
2:58,Shabazz Napier enters the game for Damian Lillard,22 - 10
2:47,Tobias Harris  misses layup,22 - 10
2:47,Al-Farouq Aminu defensive rebound,22 - 10
2:34,C.J. McCollum makes 19-foot jumper,24 - 10
2:21,Tobias Harris  misses 26-foot three point jumper,24 - 10
2:20,Meyers Leonard defensive rebound,24 - 10
2:08,Al-Farouq Aminu  back court turnover,24 - 10
1:53,Ish Smith  misses 18-foot jumper,24 - 10
1:53,Meyers Leonard defensive rebound,24 - 10
1:34,Shabazz Napier  misses 24-foot three point jumper,24 - 10
1:34,Marcus Morris defensive rebound,24 - 10
1:29,Aron Baynes makes two point shot (Ish Smith assists),24 - 12
1:29,Meyers Leonard shooting foul  (Aron Baynes draws the foul),24 - 12
1:29,Aron Baynes misses free throw 1 of 1,24 - 12
1:29,Marcus Morris offensive rebound,24 - 12
1:27,Marcus Morris makes tip shot,24 - 14
1:16,Aron Baynes personal foul  (Meyers Leonard draws the foul),24 - 14
1:08,C.J. McCollum makes 26-foot  three point jumper  (Al-Farouq Aminu assists),27 - 14
53.0,Stanley Johnson  misses 13-foot jumper,27 - 14
53.0,Al-Farouq Aminu defensive rebound,27 - 14
36.0,Al-Farouq Aminu  bad pass (Ish Smith steals),27 - 14
30.0,Al-Farouq Aminu blocks Tobias Harris 's 1-foot  layup,27 - 14
30.0,Marcus Morris offensive rebound,27 - 14
29.0,Marcus Morris makes layup,27 - 16
11.0,Aron Baynes blocks C.J. McCollum's  layup,27 - 16
10.0,Aron Baynes defensive rebound,27 - 16
7.0,Stanley Johnson makes 24-foot  three point jumper  (Tobias Harris assists),27 - 19
0.0,C.J. McCollum  traveling,27 - 19
0.0,End of the 1st Quarter,27 - 19
