time,play,score
12:00,Mason Plumlee vs. Zaza Pachulia (Draymond Green gains possession),0 - 0
11:41,Kevin Durant makes 26-foot  three point jumper  (Stephen Curry assists),0 - 3
11:17,Mason Plumlee  misses 9-foot jumper,0 - 3
11:17,Noah Vonleh offensive rebound,0 - 3
11:17,Stephen Curry shooting foul  (Noah Vonleh draws the foul),0 - 3
11:17,Noah Vonleh misses free throw 1 of 2,0 - 3
11:17,Trail Blazers offensive team rebound,0 - 3
11:17,Noah Vonleh misses free throw 2 of 2,0 - 3
11:15,Draymond Green defensive rebound,0 - 3
11:06,Mason Plumlee defensive 3-seconds (Technical Foul),0 - 3
11:06,Stephen Curry makes technical free throw,0 - 4
10:53,Kevin Durant makes two point shot,0 - 6
10:37,Noah Vonleh  misses 20-foot jumper,0 - 6
10:37,C.J. McCollum offensive rebound,0 - 6
10:30,Klay Thompson blocks C.J. McCollum 's 17-foot  jumper,0 - 6
10:30,C.J. McCollum offensive rebound,0 - 6
10:29,C.J. McCollum makes 17-foot jumper,2 - 6
10:17,C.J. McCollum blocks Klay Thompson 's 19-foot  jumper,2 - 6
10:15,Mason Plumlee defensive rebound,2 - 6
10:02,Mason Plumlee makes 16-foot two point shot,4 - 6
10:02,Zaza Pachulia shooting foul  (Mason Plumlee draws the foul),5 - 6
10:02,Mason Plumlee makes free throw 1 of 1,5 - 6
9:48,Kevin Durant  bad pass (Maurice Harkless steals),5 - 6
9:32,C.J. McCollum  misses 26-foot three point jumper,5 - 6
9:32,Warriors defensive team rebound,5 - 6
9:32,Mason Plumlee loose ball foul  (Zaza Pachulia draws the foul),5 - 6
9:12,Stephen Curry makes 28-foot  step back jumpshot  (Draymond Green assists),5 - 9
8:52,Maurice Harkless makes driving layup,7 - 9
8:40,Stephen Curry makes 26-foot  three point jumper  (Draymond Green assists),7 - 12
8:23,Maurice Harkless makes 15-foot jumper (Mason Plumlee assists),9 - 12
8:17,Klay Thompson makes driving layup,9 - 15
8:17,C.J. McCollum shooting foul  (Klay Thompson draws the foul),9 - 15
8:17,Klay Thompson makes free throw 1 of 1,9 - 15
7:58,Maurice Harkless makes 25-foot   (Mason Plumlee assists),12 - 15
7:37,Stephen Curry makes 24-foot  three point jumper  (Draymond Green assists),12 - 18
7:22,Damian Lillard  misses 16-foot two point shot,12 - 18
7:22,Kevin Durant defensive rebound,12 - 18
7:05,Kevin Durant makes driving dunk,12 - 20
7:05,Trail Blazers Full timeout,12 - 20
6:46,Maurice Harkless  misses 27-foot three point jumper,12 - 20
6:46,Zaza Pachulia defensive rebound,12 - 20
6:26,Draymond Green  misses 26-foot three point jumper,12 - 20
