time,play,score
12:00,Zaza Pachulia vs. Jahlil Okafor (TJ McConnell gains possession),0 - 0
11:48,Dario Saric  misses,0 - 0
11:47,Draymond Green defensive rebound,0 - 0
11:40,Klay Thompson  misses 25-foot three point jumper,0 - 0
11:37,Stephen Curry offensive rebound,0 - 0
11:32,TJ McConnell shooting foul  (Stephen Curry draws the foul),0 - 0
11:32,Stephen Curry makes free throw 1 of 3,1 - 0
11:32,Stephen Curry makes free throw 2 of 3,2 - 0
11:32,Stephen Curry makes free throw 3 of 3,3 - 0
11:15,Jahlil Okafor  lost ball turnover (Zaza Pachulia steals),3 - 0
11:04,Kevin Durant makes dunk (Draymond Green assists),5 - 0
10:51,Robert Covington makes 26-foot  three point jumper  (Dario Saric assists),5 - 3
10:30,Robert Covington shooting foul  (Zaza Pachulia draws the foul),5 - 3
10:30,Zaza Pachulia makes free throw 1 of 2,6 - 3
10:30,Zaza Pachulia makes free throw 2 of 2,7 - 3
10:15,Gerald Henderson makes 23-foot  three point jumper  (Dario Saric assists),7 - 6
10:15,Draymond Green shooting foul  (Gerald Henderson draws the foul),7 - 6
10:15,Gerald Henderson makes free throw 1 of 1,7 - 7
10:10,Stephen Curry  misses 25-foot,7 - 7
10:08,76ers defensive team rebound,7 - 7
9:47,Jahlil Okafor offensive foul  (Zaza Pachulia draws the foul),7 - 7
9:47,Jahlil Okafor  turnover,7 - 7
9:29,Stephen Curry makes 1-foot layup (Draymond Green assists),9 - 7
9:10,Dario Saric  misses three point jumper,9 - 7
9:07,Kevin Durant defensive rebound,9 - 7
9:02,Kevin Durant  lost ball turnover (Robert Covington steals),9 - 7
8:56,Jahlil Okafor makes two point shot (Gerald Henderson assists),9 - 9
8:44,Klay Thompson makes 21-foot jumper (Zaza Pachulia assists),11 - 9
8:26,Dario Saric makes two point shot (Jahlil Okafor assists),11 - 11
8:11,Zaza Pachulia makes 4-foot two point shot (Klay Thompson assists),13 - 11
7:54,TJ McConnell  misses 17-foot jumper,13 - 11
7:52,Zaza Pachulia defensive rebound,13 - 11
7:47,Kevin Durant makes two point shot,15 - 11
7:31,TJ McConnell makes 8-foot two point shot,15 - 13
7:20,TJ McConnell shooting foul  (Draymond Green draws the foul),15 - 13
7:20,Draymond Green makes free throw 1 of 2,16 - 13
7:20,Sergio Rodriguez enters the game for TJ McConnell,16 - 13
7:20,Nik Stauskas enters the game for Gerald Henderson,16 - 13
7:20,Draymond Green makes free throw 2 of 2,17 - 13
7:05,Jahlil Okafor makes driving dunk,17 - 15
6:54,Zaza Pachulia makes driving dunk (Kevin Durant assists),19 - 15
6:31,Nik Stauskas makes 24-foot  three point jumper  (Robert Covington assists),19 - 18
6:13,Jahlil Okafor shooting foul  (Zaza Pachulia draws the foul),19 - 18
6:13,Zaza Pachulia makes free throw 1 of 2,20 - 18
6:13,Richaun Holmes enters the game for Jahlil Okafor,20 - 18
6:13,Zaza Pachulia misses free throw 2 of 2,20 - 18
6:11,Kevin Durant offensive rebound,20 - 18
6:07,Draymond Green  misses 26-foot three point jumper,20 - 18
6:03,Klay Thompson offensive rebound,20 - 18
5:58,Klay Thompson  misses 25-foot three point jumper,20 - 18
5:56,Robert Covington defensive rebound,20 - 18
5:47,Sergio Rodriguez makes 25-foot  three point jumper  (Dario Saric assists),20 - 21
5:35,Draymond Green makes dunk (Stephen Curry assists),22 - 21
5:35,76ers Full timeout,22 - 21
5:35,Timothe Luwawu-Cabarrot enters the game for Dario Saric,22 - 21
5:35,Andre Iguodala enters the game for Draymond Green,22 - 21
5:35,JaVale McGee enters the game for Zaza Pachulia,22 - 21
5:26,Richaun Holmes makes two point shot (Sergio Rodriguez assists),22 - 23
5:11,Kevin Durant  bad pass (Richaun Holmes steals),22 - 23
4:58,Richaun Holmes  misses 18-foot jumper,22 - 23
4:58,Kevin Durant defensive rebound,22 - 23
4:46,Klay Thompson  misses 20-foot jumper,22 - 23
4:45,Sergio Rodriguez defensive rebound,22 - 23
4:37,Kevin Durant blocks Timothe Luwawu-Cabarrot 's 2-foot  layup,22 - 23
4:35,Stephen Curry defensive rebound,22 - 23
4:30,Stephen Curry  misses 27-foot three point jumper,22 - 23
4:26,Sergio Rodriguez defensive rebound,22 - 23
4:22,Sergio Rodriguez makes two point shot,22 - 25
4:09,Kevin Durant makes driving dunk,24 - 25
3:57,Sergio Rodriguez makes driving layup (Richaun Holmes assists),24 - 27
3:46,JaVale McGee  misses,24 - 27
3:45,Richaun Holmes defensive rebound,24 - 27
3:33,JaVale McGee shooting block foul  (Timothe Luwawu-Cabarrot draws the foul),24 - 27
3:33,Timothe Luwawu-Cabarrot makes free throw 1 of 2,24 - 28
3:33,Dario Saric enters the game for Robert Covington,24 - 28
3:33,Patrick McCaw enters the game for Klay Thompson,24 - 28
3:33,Timothe Luwawu-Cabarrot makes free throw 2 of 2,24 - 29
3:18,JaVale McGee makes dunk (Stephen Curry assists),26 - 29
3:08,Andre Iguodala blocks Sergio Rodriguez 's 1-foot  layup,26 - 29
3:05,Stephen Curry defensive rebound,26 - 29
3:01,Warriors Full timeout,26 - 29
2:56,Kevin Durant  misses 15-foot two point jumper,26 - 29
2:54,Kevin Durant offensive rebound,26 - 29
2:51,Stephen Curry  misses 27-foot three point jumper,26 - 29
2:49,Andre Iguodala offensive rebound,26 - 29
2:35,Kevin Durant  misses Driving Floating Jump Shot,26 - 29
2:34,Kevin Durant offensive rebound,26 - 29
2:34,Timothe Luwawu-Cabarrot shooting foul  (Kevin Durant draws the foul),26 - 29
2:34,Kevin Durant makes free throw 1 of 2,27 - 29
2:34,Kevin Durant makes free throw 2 of 2,28 - 29
2:26,Dario Saric  misses 25-foot three point jumper,28 - 29
2:25,Richaun Holmes offensive rebound,28 - 29
2:23,Richaun Holmes makes 9-foot two point shot,28 - 31
2:08,Stephen Curry  misses 24-foot three point jumper,28 - 31
2:04,JaVale McGee offensive rebound,28 - 31
2:01,Andre Iguodala  bad pass (Dario Saric steals),28 - 31
1:53,Timothe Luwawu-Cabarrot Out-of-Bounds Bad Pass Turnover,28 - 31
1:53,Draymond Green enters the game for Kevin Durant,28 - 31
1:37,Richaun Holmes blocks JaVale McGee's  jumper,28 - 31
1:36,Dario Saric defensive rebound,28 - 31
1:31,Nik Stauskas  misses 26-foot three point jumper,28 - 31
1:29,Draymond Green defensive rebound,28 - 31
1:14,Stephen Curry  misses 26-foot three point jumper,28 - 31
1:13,Nik Stauskas defensive rebound,28 - 31
1:01,Timothe Luwawu-Cabarrot  misses 25-foot three point jumper,28 - 31
1:00,Patrick McCaw defensive rebound,28 - 31
1:00,Sergio Rodriguez personal foul  (Patrick McCaw draws the foul),30 - 31
1:00,Patrick McCaw makes free throw 1 of 2,29 - 31
1:00,Patrick McCaw makes free throw 2 of 2,30 - 31
44.0,Dario Saric  misses 25-foot three point jumper,30 - 31
43.0,Richaun Holmes offensive rebound,30 - 31
37.0,Nik Stauskas  misses 25-foot three point jumper,30 - 31
36.0,Andre Iguodala defensive rebound,30 - 31
33.0,Draymond Green makes two point shot (Andre Iguodala assists),32 - 31
17.0,JaVale McGee personal foul  (Richaun Holmes draws the foul),32 - 31
17.0,Shaun Livingston enters the game for Stephen Curry,32 - 31
17.0,David West enters the game for JaVale McGee,32 - 31
5.0,Sergio Rodriguez  misses 27-foot three point jumper,32 - 31
4.0,Timothe Luwawu-Cabarrot offensive rebound,32 - 31
3.0,shot clock turnover,32 - 31
3.0,Stephen Curry enters the game for Patrick McCaw,32 - 31
0.0,Stephen Curry  misses 6-foot hook shot,32 - 31
0.0,Warriors offensive team rebound,32 - 31
0.0,End of the 1st Quarter,32 - 31
11:45,David West makes 17-foot jumper (Draymond Green assists),34 - 31
11:18,Sergio Rodriguez  misses 15-foot jumper,34 - 31
11:18,Draymond Green defensive rebound,34 - 31
11:07,Klay Thompson makes 27-foot  three point jumper  (Draymond Green assists),37 - 31
11:06,76ers Full timeout,37 - 31
10:51,Dario Saric makes 18-foot jumper,37 - 33
10:34,Dario Saric shooting block foul  (Draymond Green draws the foul),37 - 33
10:34,Draymond Green misses free throw 1 of 2,37 - 33
10:34,Warriors offensive team rebound,37 - 33
10:34,TJ McConnell enters the game for Sergio Rodriguez,37 - 33
10:34,Jahlil Okafor enters the game for Richaun Holmes,37 - 33
10:34,Draymond Green misses free throw 2 of 2,37 - 33
10:33,Dario Saric defensive rebound,37 - 33
10:22,David West shooting foul  (Gerald Henderson draws the foul),37 - 33
10:22,Gerald Henderson makes free throw 1 of 2,37 - 34
10:22,Gerald Henderson makes free throw 2 of 2,37 - 35
10:03,Klay Thompson  misses 18-foot two point jumper,37 - 35
10:03,Justin Anderson defensive rebound,37 - 35
9:42,Gerald Henderson  misses driving layup,37 - 35
9:41,Andre Iguodala defensive rebound,37 - 35
9:33,Robert Covington enters the game for Dario Saric,37 - 35
9:30,Klay Thompson makes layup (Shaun Livingston assists),39 - 35
9:15,Gerald Henderson  misses 11-foot jumper,39 - 35
9:14,David West defensive rebound,39 - 35
9:11,TJ McConnell personal foul  (Klay Thompson draws the foul),39 - 35
9:11,Klay Thompson makes free throw 1 of 2,40 - 35
9:11,Sergio Rodriguez enters the game for TJ McConnell,39 - 35
9:11,Klay Thompson makes free throw 2 of 2,41 - 35
8:48,Jahlil Okafor Out-of-Bounds Bad Pass Turnover,41 - 35
8:40,Klay Thompson makes two point shot (Draymond Green assists),43 - 35
8:26,Jahlil Okafor  lost ball turnover (Draymond Green steals),43 - 35
8:19,Justin Anderson shooting foul  (David West draws the foul),45 - 35
8:19,David West makes free throw 1 of 2,44 - 35
8:19,David West makes free throw 2 of 2,45 - 35
7:56,Justin Anderson  out of bounds lost ball turnover,45 - 35
7:45,David West  misses 19-foot jumper,45 - 35
7:43,Jahlil Okafor defensive rebound,45 - 35
7:37,Jahlil Okafor offensive Charge  (David West draws the foul),45 - 35
7:37,Jahlil Okafor  turnover,45 - 35
7:37,Richaun Holmes enters the game for Jahlil Okafor,45 - 35
7:37,Kevin Durant enters the game for Draymond Green,45 - 35
7:37,Patrick McCaw enters the game for Andre Iguodala,45 - 35
7:20,Robert Covington personal foul  (David West draws the foul),45 - 35
7:16,Klay Thompson Out-of-Bounds Bad Pass Turnover,45 - 35
7:05,Justin Anderson  misses 26-foot three point jumper,45 - 35
7:03,Warriors defensive team rebound,45 - 35
7:03,Sergio Rodriguez loose ball foul  (Shaun Livingston draws the foul),45 - 35
7:03,Shaun Livingston misses free throw 1 of 2,45 - 35
7:03,Warriors offensive team rebound,45 - 35
7:03,Shaun Livingston makes free throw 2 of 2,46 - 35
7:03,Dario Saric enters the game for Justin Anderson,46 - 35
6:43,Robert Covington makes driving layup (Dario Saric assists),46 - 37
6:24,Kevin Durant  misses 18-foot step back jumpshot,46 - 37
6:22,Gerald Henderson defensive rebound,46 - 37
