time,play,score
12:00,Zaza Pachulia vs. Dwight Howard (Patrick McCaw gains possession),0 - 0
11:45,Stephen Curry  misses 23-foot three point jumper,0 - 0
11:44,Dwight Howard defensive rebound,0 - 0
11:22,Dwight Howard makes dunk (Thabo Sefolosha assists),0 - 2
11:07,Draymond Green makes 25-foot  three point jumper  (Zaza Pachulia assists),3 - 2
10:48,Dennis Schroder  misses 24-foot three point pullup jump shot,3 - 2
10:45,Zaza Pachulia defensive rebound,3 - 2
10:36,Zaza Pachulia makes jumper (Klay Thompson assists),5 - 2
10:11,Paul Millsap makes 17-foot two point shot (Dennis Schroder assists),5 - 4
9:56,Draymond Green makes driving layup (Klay Thompson assists),7 - 4
9:51,Dwight Howard offensive foul  (Zaza Pachulia draws the foul),7 - 4
9:51,Dwight Howard  turnover,7 - 4
9:42,Patrick McCaw  traveling,7 - 4
9:32,Dennis Schroder makes driving layup,7 - 6
9:17,Patrick McCaw  misses 24-foot,7 - 6
9:15,Hawks defensive team rebound,7 - 6
9:03,Kent Bazemore makes 19-foot two point shot,7 - 8
8:56,Draymond Green  out of bounds lost ball turnover,7 - 8
8:45,Klay Thompson blocks Dennis Schroder 's 7-foot  shot,7 - 8
8:42,Zaza Pachulia defensive rebound,7 - 8
8:40,Paul Millsap blocks Patrick McCaw's  layup,7 - 8
8:37,Patrick McCaw offensive rebound,7 - 8
8:36,Thabo Sefolosha blocks Patrick McCaw 's 1-foot  shot,7 - 8
8:34,Thabo Sefolosha defensive rebound,7 - 8
8:30,Dennis Schroder makes 26-foot  three point running jumper  (Thabo Sefolosha assists),7 - 11
8:17,Klay Thompson  misses 26-foot three point jumper,7 - 11
8:15,Paul Millsap defensive rebound,7 - 11
8:08,Kent Bazemore  misses 18-foot two point jumper,7 - 11
8:07,Dwight Howard offensive rebound,7 - 11
8:07,Zaza Pachulia shooting foul  (Dwight Howard draws the foul),7 - 11
8:07,Dwight Howard misses free throw 1 of 2,7 - 11
8:07,Hawks offensive team rebound,7 - 11
8:07,Dwight Howard makes free throw 2 of 2,7 - 12
7:50,Klay Thompson  misses 25-foot three point jumper,7 - 12
7:50,Dennis Schroder defensive rebound,7 - 12
7:39,Kent Bazemore makes driving layup (Paul Millsap assists),7 - 14
7:39,Warriors Full timeout,7 - 14
7:26,Stephen Curry  misses 21-foot two point jumper,7 - 14
7:24,Dwight Howard defensive rebound,7 - 14
7:11,Paul Millsap  misses 25-foot three point jumper,7 - 14
7:09,Patrick McCaw defensive rebound,7 - 14
7:03,Draymond Green makes two point shot (Zaza Pachulia assists),9 - 14
6:50,Kent Bazemore  misses 25-foot three point jumper,9 - 14
6:48,Paul Millsap offensive rebound,9 - 14
6:46,Paul Millsap  misses 5-foot jumper,9 - 14
6:45,Zaza Pachulia defensive rebound,9 - 14
6:41,Klay Thompson  traveling,9 - 14
6:24,Zaza Pachulia personal foul  (Dwight Howard draws the foul),9 - 14
6:24,JaVale McGee enters the game for Zaza Pachulia,9 - 14
6:24,Andre Iguodala enters the game for Patrick McCaw,9 - 14
6:13,Andre Iguodala shooting foul  (Paul Millsap draws the foul),9 - 14
