time,play,score
12:00,Zaza Pachulia vs. Timofey Mozgov (Draymond Green gains possession),0 - 0
11:42,Stephen Curry  misses 24-foot three point jumper,0 - 0
11:41,Brandon Ingram defensive rebound,0 - 0
11:29,Zaza Pachulia personal foul  (Timofey Mozgov draws the foul),0 - 0
11:17,Jordan Clarkson  misses 24-foot three point jumper,0 - 0
11:15,Draymond Green defensive rebound,0 - 0
11:08,Brandon Ingram blocks Kevin Durant 's 25-foot   three point jumper,0 - 0
11:07,Brandon Ingram defensive rebound,0 - 0
11:03,Luol Deng makes two point shot (Brandon Ingram assists),0 - 2
10:45,Klay Thompson  misses 24-foot three point jumper,0 - 2
10:45,Brandon Ingram defensive rebound,0 - 2
10:41,Zaza Pachulia blocks Luol Deng's  shot,0 - 2
10:41,Lakers offensive team rebound,0 - 2
10:37,Brandon Ingram  misses 24-foot three point jumper,0 - 2
10:37,Luol Deng offensive rebound,0 - 2
10:30,Jose Calderon makes 25-foot  three point jumper  (Luol Deng assists),0 - 5
10:30,Warriors Full timeout,0 - 5
10:15,Luol Deng defensive 3-seconds (Technical Foul),0 - 5
10:15,Stephen Curry makes technical free throw,1 - 5
10:11,Klay Thompson makes two point shot (Kevin Durant assists),3 - 5
9:56,Timofey Mozgov makes 19-foot jumper (Luol Deng assists),3 - 7
9:42,Kevin Durant makes 19-foot two point shot (Draymond Green assists),5 - 7
9:30,Timofey Mozgov makes two point shot (Jose Calderon assists),5 - 9
9:18,Jose Calderon personal foul  (Draymond Green draws the foul),5 - 9
9:15,Klay Thompson  misses 14-foot jumper,5 - 9
9:15,Timofey Mozgov defensive rebound,5 - 9
9:06,Luol Deng  misses 7-foot two point shot,5 - 9
9:04,Stephen Curry defensive rebound,5 - 9
9:00,Stephen Curry  misses two point shot,5 - 9
8:56,Jordan Clarkson defensive rebound,5 - 9
8:53,Brandon Ingram  misses 25-foot three point jumper,5 - 9
8:53,Warriors defensive team rebound,5 - 9
