time,play,score
12:00,Zaza Pachulia vs. Al Jefferson (Stephen Curry gains possession),0 - 0
11:45,Klay Thompson offensive foul  (Glenn Robinson III draws the foul),0 - 0
11:45,Klay Thompson  turnover,0 - 0
11:23,Thaddeus Young  misses 20-foot jumper,0 - 0
11:22,Zaza Pachulia defensive rebound,0 - 0
11:11,Stephen Curry  misses jumper,0 - 0
11:11,Jeff Teague defensive rebound,0 - 0
11:02,Jeff Teague makes 14-foot two point shot,0 - 2
10:48,Klay Thompson  misses 26-foot three point jumper,0 - 2
10:48,Al Jefferson defensive rebound,0 - 2
10:30,Thaddeus Young  misses 9-foot Running Jumper,0 - 2
10:30,Draymond Green defensive rebound,0 - 2
10:22,Klay Thompson makes 26-foot  three point jumper  (Draymond Green assists),3 - 2
10:03,Monta Ellis  misses 20-foot two point jumper,3 - 2
10:03,Zaza Pachulia defensive rebound,3 - 2
9:57,Monta Ellis personal foul  (Draymond Green draws the foul),3 - 2
9:55,Klay Thompson makes 26-foot  three point jumper  (Kevin Durant assists),6 - 2
9:27,Monta Ellis  misses 5-foot Running Jumper,6 - 2
9:26,Thaddeus Young offensive rebound,6 - 2
9:18,Glenn Robinson III makes  three point jumper  (Monta Ellis assists),6 - 5
9:03,Stephen Curry  misses 26-foot three point jumper,6 - 5
9:03,Glenn Robinson III defensive rebound,6 - 5
8:53,Al Jefferson  misses jumper,6 - 5
8:52,Kevin Durant defensive rebound,6 - 5
8:45,Klay Thompson  misses 25-foot three point jumper,6 - 5
8:45,Thaddeus Young defensive rebound,6 - 5
8:26,Stephen Curry personal foul  (Monta Ellis draws the foul),6 - 5
8:18,Glenn Robinson III  misses 22-foot jumper,6 - 5
8:18,Stephen Curry defensive rebound,6 - 5
8:12,Draymond Green makes dunk (Stephen Curry assists),8 - 5
7:50,Jeff Teague  misses 28-foot three point jumper,8 - 5
7:50,Draymond Green defensive rebound,8 - 5
7:41,Kevin Durant makes 1-foot two point shot,10 - 5
7:41,Al Jefferson shooting foul  (Kevin Durant draws the foul),10 - 5
7:41,Kevin Durant makes free throw 1 of 1,11 - 5
