time,play,score
12:00,JaVale McGee vs. Anthony Davis (Jrue Holiday gains possession),0 - 0
11:45,Buddy Hield makes jumper (Jrue Holiday assists),0 - 2
11:22,Stephen Curry  misses 25-foot three point jumper,0 - 2
11:21,JaVale McGee offensive rebound,0 - 2
11:19,JaVale McGee makes tip shot,2 - 2
11:11,Buddy Hield makes 27-foot  three point jumper  (Jrue Holiday assists),2 - 5
11:11,JaVale McGee  misses,2 - 5
11:11,Solomon Hill defensive rebound,2 - 5
10:51,Solomon Hill  misses 10-foot jumper,2 - 5
10:49,JaVale McGee defensive rebound,2 - 5
10:42,Klay Thompson makes  three point jumper  (Kevin Durant assists),5 - 5
10:29,Klay Thompson blocks Solomon Hill 's 2-foot  layup,5 - 5
10:27,Jrue Holiday offensive rebound,5 - 5
10:26,Solomon Hill makes layup (Jrue Holiday assists),5 - 7
10:12,Draymond Green  bad pass (Jrue Holiday steals),5 - 7
10:08,Buddy Hield  misses 25-foot three point jumper,5 - 7
10:07,Kevin Durant defensive rebound,5 - 7
9:53,Buddy Hield kicked ball violation,5 - 7
9:48,Klay Thompson  misses 11-foot jumper,5 - 7
9:47,Alexis Ajinca defensive rebound,5 - 7
9:38,Anthony Davis makes layup (Buddy Hield assists),5 - 9
9:15,Kevin Durant  misses layup,5 - 9
9:14,Jrue Holiday defensive rebound,5 - 9
9:08,Buddy Hield  misses layup,5 - 9
9:07,Jrue Holiday  misses layup,5 - 9
9:07,Jrue Holiday offensive rebound,5 - 9
9:07,Stephen Curry defensive rebound,5 - 9
8:57,Klay Thompson  bad pass (Alexis Ajinca steals),5 - 9
8:49,Anthony Davis offensive Charge  (Draymond Green draws the foul),5 - 9
8:49,Anthony Davis  turnover,5 - 9
8:36,Draymond Green  misses three point jumper,5 - 9
8:34,Buddy Hield defensive rebound,5 - 9
8:22,Kevin Durant shooting foul  (Anthony Davis draws the foul),5 - 9
8:22,Anthony Davis makes free throw 1 of 2,5 - 10
8:22,Anthony Davis makes free throw 2 of 2,5 - 11
8:21,Kevin Durant  bad pass (Jrue Holiday steals),5 - 11
8:21,Jrue Holiday makes dunk,5 - 13
8:21,Warriors Full timeout,5 - 13
8:06,Kevin Durant makes 14-foot two point shot,7 - 13
7:48,Alexis Ajinca  misses jumper,7 - 13
7:47,Draymond Green defensive rebound,7 - 13
7:31,Klay Thompson  misses layup,7 - 13
7:28,Jrue Holiday defensive rebound,7 - 13
7:16,Jrue Holiday makes 23-foot  three point jumper  (Alexis Ajinca assists),7 - 16
7:00,Klay Thompson makes 4-foot jumper (Stephen Curry assists),9 - 16
6:39,Anthony Davis makes 6-foot jumper,9 - 18
6:24,JaVale McGee makes two point shot (Draymond Green assists),11 - 18
6:16,Jrue Holiday  misses 25-foot three point jumper,11 - 18
6:16,JaVale McGee defensive rebound,11 - 18
6:05,Solomon Hill shooting foul  (JaVale McGee draws the foul),11 - 18
6:05,JaVale McGee misses free throw 1 of 2,11 - 18
