time,play,score
12:00,Zaza Pachulia vs. Jonas Valanciunas (Draymond Green gains possession),0 - 0
11:45,Zaza Pachulia  misses,0 - 0
11:45,Jonas Valanciunas defensive rebound,0 - 0
11:40,Jonas Valanciunas makes 5-foot two point shot (Kyle Lowry assists),0 - 2
11:22,Klay Thompson  misses 25-foot three point jumper,0 - 2
11:22,Pascal Siakam defensive rebound,0 - 2
11:11,DeMar DeRozan  misses 18-foot two point jumper,0 - 2
11:11,Kevin Durant defensive rebound,0 - 2
11:03,Kevin Durant makes 19-foot two point shot,2 - 2
10:41,Jonas Valanciunas makes 18-foot jumper (Kyle Lowry assists),2 - 4
10:29,Stephen Curry  misses 26-foot three point jumper,2 - 4
10:29,Kyle Lowry defensive rebound,2 - 4
10:21,Stephen Curry shooting foul  (Kyle Lowry draws the foul),2 - 4
10:21,Kyle Lowry misses free throw 1 of 2,2 - 4
10:21,Raptors offensive team rebound,2 - 4
10:21,Kyle Lowry makes free throw 2 of 2,2 - 5
10:11,Draymond Green makes 5-foot two point shot (Stephen Curry assists),4 - 5
9:47,Draymond Green blocks Kyle Lowry 's 3-foot  shot,4 - 5
9:45,Draymond Green defensive rebound,4 - 5
9:38,Kevin Durant  misses 5-foot Running Jumper,4 - 5
9:38,DeMar DeRozan defensive rebound,4 - 5
9:23,Pascal Siakam makes 18-foot jumper (DeMar DeRozan assists),4 - 7
9:07,Kevin Durant makes dunk (Zaza Pachulia assists),6 - 7
8:37,Kyle Lowry  misses,6 - 7
8:37,Pascal Siakam offensive rebound,6 - 7
8:36,Pascal Siakam  misses 1-foot,6 - 7
8:34,Jonas Valanciunas offensive rebound,6 - 7
8:33,Jonas Valanciunas makes 2-foot jumper,6 - 9
8:15,DeMar DeRozan personal foul  (Zaza Pachulia draws the foul),6 - 9
8:11,Pascal Siakam shooting foul  (Zaza Pachulia draws the foul),6 - 9
8:11,Zaza Pachulia makes free throw 1 of 2,7 - 9
8:11,Zaza Pachulia makes free throw 2 of 2,8 - 9
7:48,DeMar DeRozan makes,8 - 12
7:43,Stephen Curry  bad pass (DeMarre Carroll steals),8 - 12
7:31,Pascal Siakam  misses,8 - 12
7:31,Draymond Green defensive rebound,8 - 12
7:22,Stephen Curry makes 3-foot two point shot (Kevin Durant assists),10 - 12
7:03,Kyle Lowry makes 26-foot  three pointer,10 - 15
6:56,Warriors Full timeout,10 - 15
6:45,Klay Thompson  misses three point jumper,10 - 15
6:43,Kyle Lowry defensive rebound,10 - 15
6:33,DeMarre Carroll makes 24-foot  three point jumper  (DeMar DeRozan assists),10 - 18
6:16,Pascal Siakam shooting foul  (Zaza Pachulia draws the foul),10 - 18
6:16,Zaza Pachulia makes free throw 1 of 2,11 - 18
6:16,Andre Iguodala enters the game for Kevin Durant,11 - 18
6:16,Patrick Patterson enters the game for Pascal Siakam,11 - 18
6:16,Zaza Pachulia makes free throw 2 of 2,12 - 18
6:01,Jonas Valanciunas makes layup (DeMarre Carroll assists),12 - 20
5:39,Andre Iguodala makes 26-foot  three point jumper  (Zaza Pachulia assists),15 - 20
5:26,Patrick Patterson  misses three point jumper,15 - 20
5:26,Raptors offensive team rebound,15 - 20
5:26,Zaza Pachulia loose ball foul  (Jonas Valanciunas draws the foul),15 - 20
5:26,JaVale McGee enters the game for Zaza Pachulia,15 - 20
5:22,Patrick Patterson makes layup (DeMarre Carroll assists),15 - 22
5:22,JaVale McGee defensive goaltending violation,15 - 22
5:11,Stephen Curry makes two point shot,17 - 22
4:50,DeMar DeRozan  misses 24-foot three point pullup jump shot,17 - 22
4:48,Raptors offensive team rebound,17 - 22
4:43,Kyle Lowry makes 26-foot  three point jumper  (Patrick Patterson assists),17 - 25
4:30,JaVale McGee makes dunk (Stephen Curry assists),19 - 25
4:22,JaVale McGee personal foul  (Kyle Lowry draws the foul),19 - 25
4:22,Lucas Nogueira enters the game for Jonas Valanciunas,19 - 25
