time,play,score
12:00,Zaza Pachulia vs. Clint Capela (Eric Gordon gains possession),0 - 0
11:45,Patrick Beverley  bad pass (Draymond Green steals),0 - 0
11:40,Klay Thompson makes two point shot (Stephen Curry assists),2 - 0
11:30,Clint Capela  misses cutting dunk shot,2 - 0
11:29,Stephen Curry defensive rebound,2 - 0
11:18,Klay Thompson makes 2-foot layup (Zaza Pachulia assists),4 - 0
10:56,Trevor Ariza makes driving layup,4 - 2
10:38,Stephen Curry makes 25-foot  three point jumper  (Patrick McCaw assists),7 - 2
10:21,Clint Capela  out of bounds lost ball turnover,7 - 2
10:12,Zaza Pachulia offensive foul  (Trevor Ariza draws the foul),7 - 2
10:12,Zaza Pachulia  turnover,7 - 2
10:03,Clint Capela makes two point shot (James Harden assists),7 - 4
9:44,Draymond Green makes layup,9 - 4
9:37,Eric Gordon  misses 25-foot three point jumper,9 - 4
9:36,Zaza Pachulia defensive rebound,9 - 4
9:25,Klay Thompson  misses cutting layup shot,9 - 4
9:25,James Harden defensive rebound,9 - 4
9:18,James Harden  lost ball turnover (Draymond Green steals),9 - 4
9:15,Stephen Curry Out-of-Bounds Bad Pass Turnover,9 - 4
9:11,Eric Gordon  lost ball turnover (Patrick McCaw steals),9 - 4
9:06,Draymond Green makes dunk (Patrick McCaw assists),11 - 4
8:49,James Harden makes two point shot,11 - 6
8:37,Zaza Pachulia makes layup (Stephen Curry assists),13 - 6
8:22,Trevor Ariza makes 19-foot jumper,13 - 8
8:06,Klay Thompson makes 24-foot  three point jumper  (Zaza Pachulia assists),16 - 8
7:43,Eric Gordon  misses 25-foot three point jumper,16 - 8
7:43,Klay Thompson defensive rebound,16 - 8
7:28,Stephen Curry  misses two point shot,16 - 8
7:28,James Harden defensive rebound,16 - 8
7:18,Patrick Beverley  misses 24-foot three point jumper,16 - 8
7:18,James Harden offensive rebound,16 - 8
7:13,Eric Gordon makes 25-foot  three point jumper  (James Harden assists),16 - 11
7:01,Patrick McCaw  misses 24-foot three point jumper,16 - 11
7:01,Stephen Curry offensive rebound,16 - 11
7:00,Trevor Ariza personal foul  (Stephen Curry draws the foul),16 - 11
7:00,Warriors Full timeout,16 - 11
6:43,Klay Thompson makes layup (Draymond Green assists),18 - 11
6:28,Trevor Ariza  misses 23-foot three point jumper,18 - 11
6:26,Zaza Pachulia defensive rebound,18 - 11
6:09,Draymond Green makes 25-foot  three point jumper  (Patrick McCaw assists),21 - 11
