time,play,score
12:00,Marcin Gortat vs. Amir Johnson (John Wall gains possession),0 - 0
11:41,Marcin Gortat  misses 12-foot hook shot,0 - 0
11:40,Jae Crowder defensive rebound,0 - 0
11:23,Avery Bradley makes 2-foot two point shot (Jae Crowder assists),0 - 2
11:06,Markieff Morris  misses 15-foot step back jumpshot,0 - 2
11:04,Marcin Gortat offensive rebound,0 - 2
11:00,Otto Porter Jr. makes 2-foot two point shot (Marcin Gortat assists),2 - 2
10:41,Jae Crowder  misses 26-foot three point jumper,2 - 2
10:40,Markieff Morris defensive rebound,2 - 2
10:29,Marcin Gortat  traveling,2 - 2
10:11,Avery Bradley makes 25-foot  three point jumper  (Isaiah Thomas assists),2 - 5
10:03,Avery Bradley personal foul  (Bradley Beal draws the foul),2 - 5
10:00,Bradley Beal makes 7-foot two point shot (John Wall assists),4 - 5
9:41,Jae Crowder Out-of-Bounds Bad Pass Turnover,4 - 5
9:25,Markieff Morris makes 9-foot two point shot,6 - 5
9:07,Al Horford makes 13-foot two point shot,6 - 7
8:52,Marcin Gortat makes 9-foot two point shot,8 - 7
8:45,Marcin Gortat shooting foul  (Isaiah Thomas draws the foul),8 - 7
8:45,Isaiah Thomas misses free throw 1 of 2,8 - 7
8:45,Celtics offensive team rebound,8 - 7
8:45,Isaiah Thomas makes free throw 2 of 2,8 - 8
8:34,John Wall makes driving layup,10 - 8
8:27,Isaiah Thomas  misses 26-foot three point pullup jump shot,10 - 8
8:26,John Wall defensive rebound,10 - 8
8:21,Bradley Beal makes 25-foot  three point jumper  (John Wall assists),13 - 8
8:07,Amir Johnson makes driving layup (Isaiah Thomas assists),13 - 10
7:56,Otto Porter Jr.  misses 26-foot three point jumper,13 - 10
7:54,Isaiah Thomas defensive rebound,13 - 10
7:46,Isaiah Thomas  misses layup,13 - 10
7:45,Avery Bradley offensive rebound,13 - 10
7:43,Avery Bradley  misses putback layup,13 - 10
7:43,Marcin Gortat defensive rebound,13 - 10
7:39,Bradley Beal makes 26-foot  three point jumper  (Marcin Gortat assists),17 - 10
7:39,Isaiah Thomas technical foul(1st technical foul),16 - 10
7:39,Bradley Beal makes technical free throw,17 - 10
7:26,Isaiah Thomas makes 15-foot two point shot,17 - 12
7:13,John Wall  misses 19-foot step back jumpshot,17 - 12
7:13,Wizards offensive team rebound,17 - 12
7:13,Amir Johnson loose ball foul  (Marcin Gortat draws the foul),17 - 12
7:03,Markieff Morris  misses 25-foot three point jumper,17 - 12
7:01,Celtics defensive team rebound,17 - 12
7:01,Marcin Gortat loose ball foul  (Amir Johnson draws the foul),17 - 12
6:41,Otto Porter Jr. personal foul  (Isaiah Thomas draws the foul),17 - 12
