time,play,score
12:00,Marcin Gortat vs. Cody Zeller (Otto Porter Jr. gains possession),0 - 0
11:36,Marcin Gortat  misses 7-foot hook shot,0 - 0
11:34,Nicolas Batum defensive rebound,0 - 0
11:23,Cody Zeller makes 21-foot jumper (Michael Kidd-Gilchrist assists),0 - 2
11:11,Markieff Morris  misses 21-foot jumper,0 - 2
11:11,Wizards offensive team rebound,0 - 2
11:02,John Wall makes 16-foot two point shot,2 - 2
10:47,Kemba Walker makes layup (Marvin Williams assists),2 - 4
10:34,Bradley Beal  misses 25-foot three point jumper,2 - 4
10:33,Nicolas Batum defensive rebound,2 - 4
10:30,Michael Kidd-Gilchrist makes two point shot (Cody Zeller assists),2 - 6
10:30,Marcin Gortat shooting foul  (Michael Kidd-Gilchrist draws the foul),2 - 6
10:30,Michael Kidd-Gilchrist misses free throw 1 of 1,2 - 6
10:29,Marcin Gortat defensive rebound,2 - 6
10:15,Otto Porter Jr. makes 24-foot  three point jumper  (Marcin Gortat assists),5 - 6
9:59,Cody Zeller  misses 18-foot jumper,5 - 6
9:57,Otto Porter Jr. defensive rebound,5 - 6
9:49,John Wall makes 18-foot two point shot,7 - 6
9:37,Kemba Walker  misses 25-foot three point jumper,7 - 6
9:37,Markieff Morris defensive rebound,7 - 6
9:19,Markieff Morris makes 12-foot two point shot,9 - 6
9:00,Marvin Williams  misses 28-foot three point jumper,9 - 6
9:00,Markieff Morris defensive rebound,9 - 6
8:48,Otto Porter Jr.  misses 25-foot three point jumper,9 - 6
8:48,Michael Kidd-Gilchrist defensive rebound,9 - 6
8:37,Nicolas Batum  lost ball turnover (Bradley Beal steals),9 - 6
8:26,Otto Porter Jr.  misses 24-foot three point jumper,9 - 6
8:25,Michael Kidd-Gilchrist defensive rebound,9 - 6
8:15,Bradley Beal shooting foul  (Kemba Walker draws the foul),9 - 6
8:15,Kemba Walker makes free throw 1 of 2,9 - 7
8:15,Kemba Walker makes free throw 2 of 2,9 - 8
8:00,Bradley Beal  misses layup,9 - 8
8:00,Otto Porter Jr. offensive rebound,9 - 8
7:56,Otto Porter Jr. makes 6-foot jumper,11 - 8
7:45,Bradley Beal personal foul  (Nicolas Batum draws the foul),11 - 8
7:45,Sheldon McClellan enters the game for Bradley Beal,11 - 8
7:35,Michael Kidd-Gilchrist makes layup (Nicolas Batum assists),11 - 10
