time,play,score
12:00,Marcin Gortat vs. Kosta Koufos (John Wall gains possession),0 - 0
11:41,Marcin Gortat makes 3-foot layup (John Wall assists),2 - 0
11:18,Willie Cauley-Stein  misses 8-foot jumper,2 - 0
11:17,Marcin Gortat defensive rebound,2 - 0
11:11,Otto Porter Jr.  misses 23-foot three point jumper,2 - 0
11:10,Willie Cauley-Stein defensive rebound,2 - 0
10:55,Arron Afflalo makes 24-foot  three point jumper  (Darren Collison assists),2 - 3
10:41,Marcin Gortat  misses 9-foot jumper,2 - 3
10:40,Willie Cauley-Stein defensive rebound,2 - 3
10:30,Darren Collison makes 8-foot two point shot,2 - 5
10:21,Bradley Beal makes driving dunk,4 - 5
10:03,Buddy Hield  lost ball turnover (Otto Porter Jr. steals),4 - 5
9:57,Otto Porter Jr. makes layup (Markieff Morris assists),6 - 5
9:38,Kosta Koufos  misses 12-foot jumper,6 - 5
9:37,Kosta Koufos offensive rebound,6 - 5
9:36,Buddy Hield  misses 24-foot three point jumper,6 - 5
9:34,Otto Porter Jr. defensive rebound,6 - 5
9:30,Otto Porter Jr. makes 9-foot two point shot,8 - 5
9:11,Buddy Hield makes 25-foot  three pointer,8 - 8
9:07,Buddy Hield personal foul  (Bradley Beal draws the foul),8 - 8
9:07,Bradley Beal makes free throw 1 of 2,9 - 8
9:07,Bradley Beal makes free throw 2 of 2,10 - 8
8:56,Kings Full timeout,10 - 8
8:48,Buddy Hield makes 12-foot two point shot (Darren Collison assists),10 - 10
8:29,Markieff Morris  misses driving layup,10 - 10
8:27,Willie Cauley-Stein defensive rebound,10 - 10
8:15,Kosta Koufos  misses 13-foot hook shot,10 - 10
8:15,Marcin Gortat defensive rebound,10 - 10
8:07,John Wall  misses 16-foot two point jumper,10 - 10
8:07,Kosta Koufos defensive rebound,10 - 10
7:50,Willie Cauley-Stein  misses 9-foot hook shot,10 - 10
7:50,Marcin Gortat defensive rebound,10 - 10
7:39,Markieff Morris  misses 17-foot jumper,10 - 10
7:37,Buddy Hield defensive rebound,10 - 10
7:26,Buddy Hield makes 26-foot  three point jumper  (Arron Afflalo assists),10 - 13
7:11,Otto Porter Jr. makes jumper (John Wall assists),12 - 13
6:56,Marcin Gortat defensive 3-seconds (Technical Foul),12 - 13
6:56,Arron Afflalo misses technical free throw,12 - 13
6:56,Kings offensive team rebound,12 - 13
6:41,Buddy Hield  misses 25-foot three point jumper,12 - 13
6:41,Markieff Morris defensive rebound,12 - 13
6:33,Bradley Beal  misses 23-foot three point jumper,12 - 13
6:33,Buddy Hield defensive rebound,12 - 13
6:22,Kosta Koufos makes dunk (Darren Collison assists),12 - 15
5:58,Bradley Beal  misses 8-foot two point shot,12 - 15
5:56,Willie Cauley-Stein defensive rebound,12 - 15
5:41,Willie Cauley-Stein makes 4-foot layup (Kosta Koufos assists),12 - 17
5:35,Wizards Full timeout,12 - 17
5:35,Jason Smith enters the game for Markieff Morris,12 - 17
5:26,John Wall makes driving layup,14 - 17
5:09,Willie Cauley-Stein  misses 4-foot jumper,14 - 17
5:09,Bradley Beal defensive rebound,14 - 17
5:03,Jason Smith makes dunk (John Wall assists),16 - 17
4:45,Buddy Hield makes 3-foot layup (Willie Cauley-Stein assists),16 - 19
4:30,John Wall  bad pass (Kosta Koufos steals),16 - 19
4:22,Darren Collison makes two point shot,16 - 21
4:03,Bradley Beal  misses 25-foot three point jumper,16 - 21
4:03,Kosta Koufos defensive rebound,16 - 21
3:51,Kosta Koufos makes dunk (Willie Cauley-Stein assists),16 - 23
3:38,Otto Porter Jr. makes 24-foot  three point jumper  (John Wall assists),19 - 23
3:24,Kosta Koufos  misses 18-foot jumper,19 - 23
3:24,Darren Collison offensive rebound,19 - 23
3:01,Kosta Koufos makes 9-foot two point shot (Darren Collison assists),19 - 25
2:44,John Wall  misses jumper,19 - 25
2:44,Willie Cauley-Stein defensive rebound,19 - 25
2:33,Kosta Koufos  misses 13-foot jumper,19 - 25
2:32,Marcin Gortat defensive rebound,19 - 25
2:27,Bradley Beal makes driving layup (Otto Porter Jr. assists),21 - 25
2:27,Kosta Koufos shooting foul  (Bradley Beal draws the foul),22 - 25
2:27,Skal Labissiere enters the game for Arron Afflalo,21 - 25
2:27,Garrett Temple enters the game for Kosta Koufos,21 - 25
2:27,Ian Mahinmi enters the game for Otto Porter Jr.,22 - 25
2:27,Bojan Bogdanovic enters the game for Marcin Gortat,21 - 25
2:27,Bradley Beal makes free throw 1 of 1,22 - 25
2:09,Darren Collison makes 13-foot two point shot,22 - 27
1:51,John Wall  misses 25-foot three point jumper,22 - 27
1:50,Skal Labissiere defensive rebound,22 - 27
1:36,Garrett Temple  misses 20-foot jumper,22 - 27
1:34,Bradley Beal defensive rebound,22 - 27
1:23,Bojan Bogdanovic  misses 25-foot three point jumper,22 - 27
1:22,Ian Mahinmi offensive rebound,22 - 27
1:17,Bojan Bogdanovic makes 5-foot layup (Ian Mahinmi assists),24 - 27
1:10,Buddy Hield makes 25-foot  three point jumper  (Darren Collison assists),24 - 30
1:00,Brandon Jennings enters the game for Bradley Beal,24 - 30
1:00,Ty Lawson enters the game for Darren Collison,24 - 30
59.0,John Wall vs. Buddy Hield (Bojan Bogdanovic gains possession),24 - 30
50.0,John Wall makes driving layup,26 - 30
37.0,Willie Cauley-Stein  misses driving layup,26 - 30
36.0,Jason Smith defensive rebound,26 - 30
31.0,John Wall makes driving layup,28 - 30
26.0,Skal Labissiere makes dunk (Garrett Temple assists),28 - 32
5.0,Garrett Temple personal foul  (John Wall draws the foul),28 - 32
0.0,John Wall  misses 20-foot jumper,28 - 32
0.0,Wizards offensive team rebound,28 - 32
0.0,End of the 1st Quarter,28 - 32
11:37,Buddy Hield makes 22-foot  three point jumper  (Ty Lawson assists),28 - 35
11:25,Bojan Bogdanovic  misses 24-foot three point jumper,28 - 35
11:25,Wizards offensive team rebound,28 - 35
11:25,Skal Labissiere loose ball foul  (Ian Mahinmi draws the foul),28 - 35
11:19,Ian Mahinmi offensive foul  (Ty Lawson draws the foul),28 - 35
11:19,Ian Mahinmi  turnover,28 - 35
11:00,Ian Mahinmi blocks Garrett Temple 's 6-foot  jumper,28 - 35
10:57,Buddy Hield offensive rebound,28 - 35
10:56,Buddy Hield  misses 19-foot jumper,28 - 35
10:55,Brandon Jennings defensive rebound,28 - 35
10:51,Ty Lawson shooting foul  (Bojan Bogdanovic draws the foul),28 - 35
10:51,Bojan Bogdanovic misses free throw 1 of 2,28 - 35
10:51,Wizards offensive team rebound,28 - 35
10:51,Ben McLemore enters the game for Buddy Hield,28 - 35
10:51,Bojan Bogdanovic makes free throw 2 of 2,29 - 35
10:34,Ben McLemore  misses 16-foot jumper,29 - 35
10:34,Jason Smith defensive rebound,29 - 35
10:27,Bojan Bogdanovic  misses 15-foot jumper,29 - 35
10:26,Kelly Oubre Jr. offensive rebound,29 - 35
10:23,Kelly Oubre Jr.  misses 25-foot three point jumper,29 - 35
10:22,Ian Mahinmi offensive rebound,29 - 35
10:21,Ian Mahinmi  misses 8-foot jumper,29 - 35
10:19,Anthony Tolliver defensive rebound,29 - 35
10:08,Ty Lawson  misses 17-foot jumper,29 - 35
10:08,Ian Mahinmi defensive rebound,29 - 35
10:00,Brandon Jennings  misses 10-foot jumper,29 - 35
10:00,Ben McLemore defensive rebound,29 - 35
9:53,Ben McLemore  misses layup,29 - 35
9:52,Jason Smith defensive rebound,29 - 35
9:42,Ian Mahinmi makes jumper (Brandon Jennings assists),31 - 35
9:27,Skal Labissiere makes 18-foot jumper (Ty Lawson assists),31 - 37
9:14,Brandon Jennings  lost ball turnover (Skal Labissiere steals),31 - 37
9:08,Garrett Temple  misses layup,31 - 37
9:07,Ian Mahinmi defensive rebound,31 - 37
9:02,Kelly Oubre Jr. makes layup,33 - 37
8:42,Kings Full timeout,33 - 37
8:42,Markieff Morris enters the game for Jason Smith,33 - 37
8:38,Ben McLemore  misses 20-foot two point shot,33 - 37
8:37,Ian Mahinmi defensive rebound,33 - 37
8:26,Bojan Bogdanovic makes 12-foot jumper (Brandon Jennings assists),35 - 37
8:17,Brandon Jennings personal foul  (Skal Labissiere draws the foul),35 - 37
8:11,Markieff Morris personal foul  (Skal Labissiere draws the foul),35 - 37
8:03,Skal Labissiere makes dunk (Garrett Temple assists),35 - 39
7:46,Markieff Morris  misses 16-foot jumper,35 - 39
7:45,Skal Labissiere defensive rebound,35 - 39
7:39,Ian Mahinmi shooting foul  (Ben McLemore draws the foul),35 - 39
7:39,Ben McLemore makes free throw 1 of 2,35 - 40
7:39,Otto Porter Jr. enters the game for Kelly Oubre Jr.,35 - 40
7:39,Ben McLemore makes free throw 2 of 2,35 - 41
7:28,Bojan Bogdanovic makes 15-foot two point shot (Brandon Jennings assists),37 - 41
7:20,Ty Lawson makes driving layup,37 - 43
7:09,Bojan Bogdanovic makes 4-foot layup (Brandon Jennings assists),39 - 43
7:01,Brandon Jennings shooting foul  (Ty Lawson draws the foul),39 - 43
7:01,Ty Lawson makes free throw 1 of 2,39 - 44
7:01,Ty Lawson makes free throw 2 of 2,39 - 45
6:48,Bojan Bogdanovic  misses 25-foot three point jumper,39 - 45
6:47,Markieff Morris offensive rebound,39 - 45
6:43,Brandon Jennings  misses 18-foot jumper,39 - 45
6:41,Bojan Bogdanovic offensive rebound,39 - 45
6:39,Bojan Bogdanovic makes layup,41 - 45
6:20,Anthony Tolliver makes dunk,41 - 47
6:11,Brandon Jennings  misses 6-foot hook shot,41 - 47
6:09,Anthony Tolliver defensive rebound,41 - 47
6:00,Garrett Temple makes 26-foot  three point jumper  (Ty Lawson assists),41 - 50
6:00,Wizards Full timeout,41 - 50
6:00,John Wall enters the game for Ian Mahinmi,41 - 50
6:00,Bradley Beal enters the game for Brandon Jennings,41 - 50
6:00,Willie Cauley-Stein enters the game for Anthony Tolliver,41 - 50
5:43,Bradley Beal makes 25-foot  three point jumper  (Bojan Bogdanovic assists),44 - 50
5:22,Ty Lawson  bad pass (John Wall steals),44 - 50
5:16,Otto Porter Jr. makes driving layup,46 - 50
5:03,Garrett Temple makes 23-foot  three point jumper,46 - 53
4:47,Otto Porter Jr.  misses jumper,46 - 53
4:47,Skal Labissiere defensive rebound,46 - 53
4:39,Willie Cauley-Stein  misses jumper,46 - 53
4:39,Willie Cauley-Stein offensive rebound,46 - 53
4:37,Bojan Bogdanovic loose ball foul  (Willie Cauley-Stein draws the foul),46 - 53
4:37,Willie Cauley-Stein makes free throw 1 of 2,46 - 54
4:37,Arron Afflalo enters the game for Skal Labissiere,46 - 54
4:37,Willie Cauley-Stein makes free throw 2 of 2,46 - 55
4:26,John Wall makes driving layup,48 - 55
4:16,Ty Lawson  misses 26-foot three point jumper,48 - 55
4:15,Otto Porter Jr. defensive rebound,48 - 55
3:59,John Wall  misses 25-foot three point jumper,48 - 55
3:59,Ben McLemore defensive rebound,48 - 55
3:40,Arron Afflalo makes 23-foot  three point jumper  (Garrett Temple assists),48 - 58
3:31,Bradley Beal  misses layup,48 - 58
3:30,Bradley Beal offensive rebound,48 - 58
3:30,Bradley Beal possession lost ball turnoverTy Lawson,48 - 58
3:17,Markieff Morris shooting foul  (Willie Cauley-Stein draws the foul),48 - 58
3:17,Willie Cauley-Stein makes free throw 1 of 2,48 - 59
3:17,Darren Collison enters the game for Ty Lawson,48 - 59
3:17,Buddy Hield enters the game for Ben McLemore,48 - 59
3:17,Willie Cauley-Stein makes free throw 2 of 2,48 - 60
3:05,John Wall  misses driving layup,48 - 60
3:04,Willie Cauley-Stein defensive rebound,48 - 60
2:49,Buddy Hield makes 3-foot layup (Willie Cauley-Stein assists),48 - 62
2:30,Markieff Morris makes 14-foot two point shot,50 - 62
2:18,Otto Porter Jr. personal foul  (Willie Cauley-Stein draws the foul),50 - 62
2:18,Official timeout,50 - 62
2:18,Marcin Gortat enters the game for Bojan Bogdanovic,50 - 62
2:18,Willie Cauley-Stein misses free throw 1 of 2,50 - 62
2:18,Kings offensive team rebound,50 - 62
2:18,Willie Cauley-Stein makes free throw 2 of 2,50 - 63
2:04,John Wall makes driving layup,52 - 63
1:44,Arron Afflalo makes two point shot,52 - 65
1:23,Arron Afflalo shooting foul  (John Wall draws the foul),52 - 65
1:23,John Wall makes free throw 1 of 2,53 - 65
1:23,Kosta Koufos enters the game for Garrett Temple,53 - 65
1:23,John Wall makes free throw 2 of 2,54 - 65
1:09,Markieff Morris shooting foul  (Arron Afflalo draws the foul),54 - 65
1:09,Arron Afflalo makes free throw 1 of 2,54 - 66
1:09,Bojan Bogdanovic enters the game for Markieff Morris,54 - 66
1:09,Ben McLemore enters the game for Willie Cauley-Stein,54 - 66
1:09,Arron Afflalo makes free throw 2 of 2,54 - 67
1:04,Kosta Koufos blocks John Wall 's 3-foot  layup,54 - 67
1:01,Kosta Koufos defensive rebound,54 - 67
48.0,Darren Collison  misses 25-foot three point jumper,54 - 67
47.0,Marcin Gortat defensive rebound,54 - 67
36.0,Bradley Beal  misses 25-foot three point jumper,54 - 67
35.0,Marcin Gortat offensive rebound,54 - 67
31.0,John Wall  misses 4-foot jumper,54 - 67
30.0,Ben McLemore defensive rebound,54 - 67
26.0,Bradley Beal blocks Darren Collison 's 4-foot  jumper,54 - 67
23.0,Ben McLemore offensive rebound,54 - 67
22.0,Ben McLemore  misses layup,54 - 67
21.0,Marcin Gortat defensive rebound,54 - 67
18.0,John Wall makes dunk (Marcin Gortat assists),56 - 67
3.0,Bojan Bogdanovic shooting block foul  (Darren Collison draws the foul),56 - 67
3.0,Darren Collison misses free throw 1 of 2,56 - 67
3.0,Kings offensive team rebound,56 - 67
3.0,Wizards 20 Sec. timeout,56 - 67
3.0,Darren Collison makes free throw 2 of 2,56 - 68
0.0,John Wall  misses 40-foot three point jumper,56 - 68
0.0,Wizards offensive team rebound,56 - 68
0.0,End of the 2nd Quarter,56 - 68
11:41,Arron Afflalo  misses 25-foot three point jumper,56 - 68
11:40,Bradley Beal defensive rebound,56 - 68
11:26,Bradley Beal makes 20-foot two point shot,58 - 68
11:07,Kosta Koufos  misses 6-foot jumper,58 - 68
11:07,Bradley Beal defensive rebound,58 - 68
10:57,Bradley Beal makes 26-foot  three point jumper  (John Wall assists),61 - 68
10:37,Buddy Hield  misses 25-foot three point jumper,61 - 68
10:37,Markieff Morris defensive rebound,61 - 68
10:22,Bradley Beal  misses 26-foot three point jumper,61 - 68
10:22,Willie Cauley-Stein defensive rebound,61 - 68
9:59,Kosta Koufos  misses 6-foot hook shot,61 - 68
9:59,Marcin Gortat defensive rebound,61 - 68
9:52,John Wall makes two point shot,63 - 68
9:25,shot clock turnover,63 - 68
9:08,Marcin Gortat  misses 9-foot hook shot,63 - 70
