time,play,score
12:00,Marcin Gortat vs. Marshall Plumlee (John Wall gains possession),0 - 0
11:44,Marcin Gortat makes 7-foot two point shot,2 - 0
11:18,shot clock turnover,2 - 0
11:07,Bradley Beal  misses 25-foot three point jumper,2 - 0
11:06,Marshall Plumlee defensive rebound,2 - 0
11:00,Ron Baker makes driving layup,2 - 2
10:41,Marshall Plumlee shooting foul  (Jason Smith draws the foul),2 - 2
10:41,Jason Smith makes free throw 1 of 2,3 - 2
10:41,Jason Smith makes free throw 2 of 2,4 - 2
10:27,Ron Baker makes 22-foot jumper,4 - 4
10:10,Marcin Gortat makes jumper,6 - 4
9:56,Carmelo Anthony makes 20-foot jumper,6 - 6
9:53,Knicks delay of game violation,6 - 6
9:38,Otto Porter Jr.  misses 19-foot jumper,6 - 6
9:37,Willy Hernangomez defensive rebound,6 - 6
9:25,Willy Hernangomez makes 12-foot jumper (Marshall Plumlee assists),6 - 8
9:18,Bradley Beal  misses layup,6 - 8
9:17,Willy Hernangomez defensive rebound,6 - 8
9:14,Willy Hernangomez  lost ball turnover (Bradley Beal steals),6 - 8
9:06,John Wall makes driving layup,8 - 8
8:53,Carmelo Anthony makes 25-foot  three point jumper  (Courtney Lee assists),8 - 11
8:34,Jason Smith  misses 24-foot three point jumper,8 - 11
8:33,Otto Porter Jr. offensive rebound,8 - 11
8:30,Otto Porter Jr. makes 12-foot two point shot,10 - 11
8:15,Courtney Lee makes 25-foot  three point jumper  (Willy Hernangomez assists),10 - 14
7:54,Marshall Plumlee shooting foul  (Bradley Beal draws the foul),10 - 14
7:54,Bradley Beal makes free throw 1 of 2,11 - 14
7:54,Bradley Beal makes free throw 2 of 2,12 - 14
7:39,Carmelo Anthony  misses jumper,12 - 14
7:37,Jason Smith defensive rebound,12 - 14
7:22,Jason Smith makes 24-foot  three point jumper  (John Wall assists),15 - 14
7:13,Ron Baker  bad pass (Bradley Beal steals),15 - 14
7:09,Bradley Beal makes driving dunk,17 - 14
6:48,Courtney Lee  misses 24-foot three point jumper,17 - 14
6:46,Otto Porter Jr. defensive rebound,17 - 14
6:39,John Wall  lost ball turnover (Marshall Plumlee steals),17 - 14
6:33,Ron Baker  misses 24-foot three point jumper,17 - 14
6:31,Marshall Plumlee offensive rebound,17 - 14
6:24,Ron Baker  bad pass (Jason Smith steals),17 - 14
6:09,Jason Smith  misses 24-foot three point jumper,17 - 14
6:07,Carmelo Anthony defensive rebound,17 - 14
6:01,Carmelo Anthony  misses 19-foot jumper,17 - 14
6:00,Otto Porter Jr. defensive rebound,17 - 14
5:54,John Wall makes 24-foot  three pointer,20 - 14
5:52,Knicks Full timeout,20 - 14
5:52,Maurice Ndour enters the game for Marshall Plumlee,20 - 14
5:35,Jason Smith blocks Willy Hernangomez's  layup,20 - 14
5:33,Knicks offensive team rebound,20 - 14
5:28,Ron Baker  misses 16-foot two point shot,20 - 14
5:26,Jason Smith defensive rebound,20 - 14
5:09,Otto Porter Jr. makes 23-foot  three point jumper  (Jason Smith assists),23 - 14
4:50,Courtney Lee  misses 24-foot three point jumper,23 - 14
4:48,Maurice Ndour offensive rebound,23 - 14
4:46,Willy Hernangomez  misses driving layup,23 - 14
4:43,Courtney Lee offensive rebound,23 - 14
4:43,Courtney Lee  misses tip layup,23 - 14
4:43,Bradley Beal defensive rebound,23 - 14
4:37,Otto Porter Jr.  misses 26-foot three point jumper,23 - 14
4:37,Jason Smith offensive rebound,23 - 14
4:35,Jason Smith  bad pass (Courtney Lee steals),23 - 14
4:31,Carmelo Anthony  misses 24-foot three point jumper,23 - 14
4:30,Willy Hernangomez offensive rebound,23 - 14
4:28,Willy Hernangomez makes layup,23 - 16
4:28,Jason Smith shooting foul  (Willy Hernangomez draws the foul),23 - 16
4:28,Justin Holiday enters the game for Courtney Lee,23 - 16
4:28,Willy Hernangomez makes free throw 1 of 1,23 - 17
4:18,Carmelo Anthony personal foul  (Otto Porter Jr. draws the foul),23 - 17
4:09,John Wall makes 25-foot  three point jumper  (Marcin Gortat assists),26 - 17
3:53,Ron Baker makes driving layup (Carmelo Anthony assists),26 - 19
3:47,Bradley Beal makes 24-foot  three point jumper  (John Wall assists),29 - 19
3:26,Willy Hernangomez  misses 7-foot jumper,29 - 19
3:25,Jason Smith defensive rebound,29 - 19
3:08,John Wall makes driving dunk,31 - 19
2:48,Jason Smith shooting foul  (Carmelo Anthony draws the foul),31 - 19
2:48,Wizards Full timeout,31 - 19
2:48,Kyle O'Quinn enters the game for Willy Hernangomez,31 - 19
2:48,Kelly Oubre Jr. enters the game for Jason Smith,31 - 19
2:48,Brandon Jennings enters the game for John Wall,31 - 19
2:48,Carmelo Anthony makes free throw 1 of 2,31 - 20
2:48,Carmelo Anthony makes free throw 2 of 2,31 - 21
2:24,Kelly Oubre Jr.  misses 24-foot three point jumper,31 - 21
2:21,Kyle O'Quinn defensive rebound,31 - 21
2:09,Brandon Jennings shooting foul  (Ron Baker draws the foul),31 - 21
2:09,Ron Baker makes free throw 1 of 2,31 - 22
2:09,Courtney Lee enters the game for Carmelo Anthony,31 - 22
2:09,Ian Mahinmi enters the game for Marcin Gortat,31 - 22
2:09,Ron Baker makes free throw 2 of 2,31 - 23
1:47,Bradley Beal  misses 24-foot three point jumper,31 - 23
1:46,Otto Porter Jr. offensive rebound,31 - 23
1:45,shot clock turnover,31 - 23
1:45,Sasha Vujacic enters the game for Ron Baker,31 - 23
1:45,Bojan Bogdanovic enters the game for Bradley Beal,31 - 23
1:31,Kyle O'Quinn  double dribble turnover,31 - 23
1:23,Ian Mahinmi makes dunk (Brandon Jennings assists),33 - 23
1:06,Courtney Lee makes driving layup,33 - 25
44.0,Otto Porter Jr.  misses 17-foot step back jumpshot,33 - 25
42.0,Courtney Lee defensive rebound,33 - 25
31.0,Courtney Lee Out-of-Bounds Bad Pass Turnover,33 - 25
26.0,Brandon Jennings  misses 19-foot jumper,33 - 25
24.0,Maurice Ndour defensive rebound,33 - 25
2.0,Courtney Lee makes 18-foot jumper,33 - 27
0.0,End of the 1st Quarter,33 - 27
11:41,Courtney Lee  misses 23-foot three point jumper,33 - 27
11:38,Brandon Jennings defensive rebound,33 - 27
11:18,Jason Smith  bad pass (Maurice Ndour steals),33 - 27
11:15,Maurice Ndour  bad pass (Brandon Jennings steals),33 - 27
11:10,Kelly Oubre Jr. makes layup,35 - 27
10:53,Justin Holiday  misses 21-foot jumper,35 - 27
10:52,Ian Mahinmi defensive rebound,35 - 27
10:40,Kyle O'Quinn blocks Bojan Bogdanovic 's 24-foot   three point jumper,35 - 27
10:37,Knicks defensive team rebound,35 - 27
10:22,Sasha Vujacic  misses 19-foot jumper,35 - 27
10:21,Courtney Lee offensive rebound,35 - 27
10:19,Ian Mahinmi blocks Courtney Lee 's 2-foot  layup,35 - 27
10:18,Ian Mahinmi defensive rebound,35 - 27
10:15,Brandon Jennings  bad pass (Sasha Vujacic steals),35 - 27
10:07,Sasha Vujacic  misses 14-foot jumper,35 - 27
10:07,Jason Smith defensive rebound,35 - 27
9:56,Kyle O'Quinn shooting foul  (Ian Mahinmi draws the foul),35 - 27
9:56,Ian Mahinmi misses free throw 1 of 2,35 - 27
9:56,Wizards offensive team rebound,35 - 27
9:56,Ian Mahinmi misses free throw 2 of 2,35 - 27
9:56,Courtney Lee defensive rebound,35 - 27
9:38,Justin Holiday  misses 25-foot three point jumper,35 - 27
9:37,Kyle O'Quinn offensive rebound,35 - 27
9:30,Courtney Lee makes two point shot,35 - 29
9:21,Kelly Oubre Jr. possession lost ball turnoverCourtney Lee,35 - 29
9:14,Justin Holiday makes 24-foot  three point jumper  (Courtney Lee assists),35 - 32
8:56,Kelly Oubre Jr. makes 24-foot  three point jumper  (Brandon Jennings assists),38 - 32
8:41,Ian Mahinmi blocks Courtney Lee's  layup,38 - 32
8:40,Brandon Jennings defensive rebound,38 - 32
8:36,Sasha Vujacic shooting foul  (Brandon Jennings draws the foul),38 - 34
8:36,Brandon Jennings makes free throw 1 of 2,39 - 32
8:36,Brandon Jennings misses free throw 2 of 2,39 - 32
8:34,Wizards offensive team rebound,39 - 32
8:22,Kelly Oubre Jr. makes 3-foot two point shot,41 - 32
8:06,Maurice Ndour makes 16-foot jumper,41 - 34
7:54,Brandon Jennings  misses 14-foot jumper,41 - 34
7:52,Sasha Vujacic defensive rebound,41 - 34
7:43,Sasha Vujacic  misses 19-foot jumper,41 - 34
7:41,Bojan Bogdanovic defensive rebound,41 - 34
7:28,Bojan Bogdanovic makes 24-foot  three point jumper,44 - 34
7:01,Maurice Ndour  misses layup,44 - 34
7:00,Maurice Ndour offensive rebound,44 - 34
6:58,Maurice Ndour  misses 6-foot jumper,44 - 34
6:58,Jason Smith defensive rebound,44 - 34
6:54,Brandon Jennings Out-of-Bounds Bad Pass Turnover,44 - 34
6:54,Ron Baker enters the game for Courtney Lee,44 - 34
6:54,Mindaugas Kuzminskas enters the game for Maurice Ndour,44 - 34
6:54,Willy Hernangomez enters the game for Kyle O'Quinn,44 - 34
6:54,Carmelo Anthony enters the game for Sasha Vujacic,44 - 34
6:39,Brandon Jennings personal foul  (Ron Baker draws the foul),44 - 34
6:39,John Wall enters the game for Brandon Jennings,44 - 34
6:26,Carmelo Anthony  misses 16-foot jumper,44 - 34
6:24,Willy Hernangomez offensive rebound,44 - 34
6:13,Ian Mahinmi blocks Mindaugas Kuzminskas's  layup,44 - 34
6:11,Mindaugas Kuzminskas offensive rebound,44 - 34
6:07,Willy Hernangomez makes layup (Carmelo Anthony assists),44 - 36
5:45,Ian Mahinmi makes layup (John Wall assists),46 - 36
5:30,Willy Hernangomez  misses 6-foot jumper,46 - 36
5:28,Ron Baker offensive rebound,46 - 36
5:28,Ron Baker makes tip shot,46 - 38
5:07,John Wall  misses 15-foot jumper,46 - 38
5:05,Justin Holiday defensive rebound,46 - 38
4:58,Carmelo Anthony  misses 25-foot three point jumper,46 - 38
4:56,Knicks offensive team rebound,46 - 38
4:56,Jason Smith loose ball foul  (Willy Hernangomez draws the foul),46 - 38
4:56,Knicks Full timeout,46 - 38
4:56,Marcin Gortat enters the game for Jason Smith,46 - 38
4:56,Bradley Beal enters the game for Ian Mahinmi,46 - 38
4:43,Bojan Bogdanovic shooting foul  (Carmelo Anthony draws the foul),46 - 38
4:43,Carmelo Anthony misses free throw 1 of 2,46 - 38
4:43,Knicks offensive team rebound,46 - 38
4:43,Carmelo Anthony makes free throw 2 of 2,46 - 39
4:31,Bradley Beal makes two point shot,48 - 39
4:31,Willy Hernangomez shooting foul  (Bradley Beal draws the foul),48 - 39
4:31,Bradley Beal makes free throw 1 of 1,49 - 39
4:13,Kelly Oubre Jr. blocks Carmelo Anthony's  layup,49 - 39
4:13,Knicks offensive team rebound,49 - 39
4:11,Justin Holiday makes 22-foot jumper (Carmelo Anthony assists),49 - 41
3:49,Bojan Bogdanovic  misses 22-foot three point jumper,49 - 41
3:47,Kelly Oubre Jr. offensive rebound,49 - 41
3:47,Kelly Oubre Jr.  misses tip layup,49 - 41
3:46,Kelly Oubre Jr. offensive rebound,49 - 41
3:39,John Wall offensive foul  (Ron Baker draws the foul),49 - 41
3:39,John Wall  turnover,49 - 41
3:39,Courtney Lee enters the game for Justin Holiday,49 - 41
3:26,Carmelo Anthony makes layup (Mindaugas Kuzminskas assists),49 - 43
3:26,Kelly Oubre Jr. shooting foul  (Carmelo Anthony draws the foul),49 - 43
3:26,Otto Porter Jr. enters the game for Kelly Oubre Jr.,49 - 43
3:26,Carmelo Anthony makes free throw 1 of 1,49 - 44
3:15,Bradley Beal possession lost ball turnoverCourtney Lee,49 - 44
2:58,Mindaugas Kuzminskas makes driving layup (Courtney Lee assists),49 - 46
2:40,Marcin Gortat makes layup (Bradley Beal assists),51 - 46
2:19,Willy Hernangomez  misses two point shot,51 - 46
2:17,Willy Hernangomez offensive rebound,51 - 46
2:16,Willy Hernangomez makes layup,51 - 48
2:15,Wizards Full timeout,51 - 48
2:11,Willy Hernangomez shooting foul  (John Wall draws the foul),51 - 48
2:11,John Wall makes free throw 1 of 2,52 - 48
2:11,John Wall makes free throw 2 of 2,53 - 48
1:58,John Wall shooting foul  (Willy Hernangomez draws the foul),53 - 48
1:58,Willy Hernangomez makes free throw 1 of 2,53 - 49
1:58,Willy Hernangomez makes free throw 2 of 2,53 - 50
1:46,John Wall  misses driving layup,53 - 50
1:45,Carmelo Anthony defensive rebound,53 - 50
1:31,Carmelo Anthony  misses 7-foot turnaround bank shot,53 - 50
1:30,Carmelo Anthony offensive rebound,53 - 50
1:30,Carmelo Anthony  misses tip layup,53 - 50
1:29,Willy Hernangomez offensive rebound,53 - 50
1:25,Otto Porter Jr. shooting foul  (Carmelo Anthony draws the foul),53 - 50
1:25,Carmelo Anthony misses free throw 1 of 2,53 - 50
1:25,Knicks offensive team rebound,53 - 50
1:25,Carmelo Anthony makes free throw 2 of 2,53 - 51
1:15,Carmelo Anthony personal foul  (Marcin Gortat draws the foul),53 - 51
1:15,Marcin Gortat makes free throw 1 of 2,54 - 51
1:15,Knicks 20 Sec. timeout,54 - 51
1:15,Marcin Gortat misses free throw 2 of 2,54 - 51
1:14,Carmelo Anthony defensive rebound,54 - 51
57.0,Mindaugas Kuzminskas  bad pass (John Wall steals),54 - 51
49.0,Bradley Beal  misses 24-foot three point jumper,54 - 51
48.0,Otto Porter Jr. offensive rebound,54 - 51
42.0,Marcin Gortat makes layup (John Wall assists),56 - 51
33.0,Willy Hernangomez  misses layup,56 - 51
31.0,Marcin Gortat defensive rebound,56 - 51
26.0,Bojan Bogdanovic makes 22-foot  step back jumpshot  (John Wall assists),59 - 51
2.0,Carmelo Anthony  double dribble turnover,59 - 51
2.0,Wizards 20 Sec. timeout,59 - 51
1.0,Bojan Bogdanovic  misses 24-foot three point jumper,59 - 51
0.0,Wizards offensive team rebound,59 - 51
0.0,End of the 2nd Quarter,59 - 51
11:37,John Wall blocks Ron Baker 's 25-foot   three point jumper,59 - 51
11:36,Knicks offensive team rebound,59 - 51
11:36,shot clock turnover,59 - 51
11:15,Jason Smith  misses 25-foot three point jumper,59 - 51
11:14,Otto Porter Jr. offensive rebound,59 - 51
11:12,Otto Porter Jr.  misses 6-foot jumper,59 - 51
11:11,Willy Hernangomez defensive rebound,59 - 51
10:59,Willy Hernangomez offensive foul  (John Wall draws the foul),59 - 51
10:59,Willy Hernangomez  turnover,59 - 51
10:36,John Wall  misses 16-foot jumper,59 - 51
10:33,Courtney Lee defensive rebound,59 - 51
10:18,Courtney Lee  misses driving layup,59 - 51
10:17,Marcin Gortat defensive rebound,59 - 51
10:11,Bradley Beal makes 27-foot  three point jumper  (John Wall assists),62 - 51
9:42,Carmelo Anthony makes 27-foot  three point jumper,62 - 54
9:15,Marcin Gortat makes two point shot,64 - 54
9:03,Ron Baker makes driving layup,64 - 56
8:49,Marcin Gortat makes dunk (John Wall assists),66 - 56
8:29,Willy Hernangomez  misses jumper,66 - 56
8:26,Willy Hernangomez offensive rebound,66 - 56
8:22,Carmelo Anthony  misses 14-foot jumper,66 - 56
8:19,Otto Porter Jr. defensive rebound,66 - 56
8:12,Bradley Beal  misses layup,66 - 56
8:11,Otto Porter Jr. offensive rebound,66 - 56
8:07,Bradley Beal  misses 24-foot three point jumper,66 - 56
8:07,Wizards offensive team rebound,66 - 56
8:07,Carmelo Anthony loose ball foul  (Marcin Gortat draws the foul),66 - 56
8:07,Justin Holiday enters the game for Courtney Lee,66 - 56
8:07,Otto Porter Jr. offensive foul  (Carmelo Anthony draws the foul),66 - 56
8:07,Jason Smith  turnover,66 - 56
7:54,Willy Hernangomez  misses dunk,66 - 56
7:52,Bradley Beal defensive rebound,66 - 56
7:43,John Wall makes 15-foot jumper,68 - 56
7:24,Ron Baker  misses 26-foot three point jumper,68 - 56
7:22,Knicks offensive team rebound,68 - 56
7:22,Marcin Gortat loose ball foul  (Willy Hernangomez draws the foul),68 - 56
7:22,Maurice Ndour enters the game for Marshall Plumlee,68 - 56
7:13,Willy Hernangomez  misses 6-foot jumper,68 - 56
7:13,Otto Porter Jr. defensive rebound,68 - 56
7:05,Marcin Gortat makes layup (John Wall assists),70 - 56
7:05,Maurice Ndour shooting foul  (Marcin Gortat draws the foul),70 - 56
7:05,Marcin Gortat makes free throw 1 of 1,71 - 56
6:48,John Wall personal foul  (Justin Holiday draws the foul),71 - 56
6:35,Justin Holiday makes 25-foot  three point jumper  (Carmelo Anthony assists),71 - 59
6:20,Bradley Beal steps out of bounds turnover,71 - 59
6:20,Kyle O'Quinn enters the game for Willy Hernangomez,71 - 59
6:09,Justin Holiday makes 13-foot jumper (Maurice Ndour assists),71 - 61
5:48,Otto Porter Jr.  misses 23-foot three point jumper,71 - 61
5:47,Ron Baker defensive rebound,71 - 61
5:35,Kyle O'Quinn makes 3-foot jumper (Ron Baker assists),71 - 63
5:35,Jason Smith shooting foul  (Kyle O'Quinn draws the foul),71 - 63
5:35,Knicks Full timeout,71 - 63
5:35,Bojan Bogdanovic enters the game for Jason Smith,71 - 63
5:35,Kyle O'Quinn misses free throw 1 of 1,71 - 63
5:35,Bojan Bogdanovic defensive rebound,71 - 63
5:18,Kyle O'Quinn shooting foul  (Otto Porter Jr. draws the foul),71 - 63
5:18,Otto Porter Jr. makes free throw 1 of 2,72 - 63
5:18,Otto Porter Jr. makes free throw 2 of 2,73 - 63
5:01,Carmelo Anthony  misses 13-foot two point shot,73 - 63
5:01,Maurice Ndour offensive rebound,73 - 63
5:00,Bradley Beal shooting foul  (Maurice Ndour draws the foul),73 - 63
5:00,Maurice Ndour misses free throw 1 of 2,73 - 63
5:00,Knicks offensive team rebound,73 - 63
5:00,Maurice Ndour makes free throw 2 of 2,73 - 64
4:56,Ron Baker shooting foul  (John Wall draws the foul),73 - 64
4:56,John Wall misses free throw 1 of 2,73 - 64
4:56,Wizards offensive team rebound,73 - 64
4:56,Kelly Oubre Jr. enters the game for Otto Porter Jr.,73 - 64
4:56,John Wall misses free throw 2 of 2,73 - 64
4:56,Carmelo Anthony defensive rebound,73 - 64
4:41,Carmelo Anthony  misses 18-foot jumper,73 - 64
4:39,Kyle O'Quinn offensive rebound,73 - 64
4:35,Carmelo Anthony makes two point shot (Kyle O'Quinn assists),73 - 66
4:15,Kelly Oubre Jr.  misses 25-foot three point jumper,73 - 66
4:13,Justin Holiday defensive rebound,73 - 66
4:07,Justin Holiday  misses driving dunk,73 - 66
4:05,Marcin Gortat defensive rebound,73 - 66
4:01,Ron Baker personal foul  (Kelly Oubre Jr. draws the foul),73 - 66
4:01,Kelly Oubre Jr. makes free throw 1 of 2,74 - 66
4:01,Mindaugas Kuzminskas enters the game for Carmelo Anthony,74 - 66
4:01,Kelly Oubre Jr. makes free throw 2 of 2,75 - 66
3:48,Maurice Ndour  misses layup,75 - 66
3:47,Bojan Bogdanovic defensive rebound,75 - 66
3:41,John Wall makes 24-foot  three pointer,78 - 66
3:17,Maurice Ndour  traveling,78 - 66
3:17,Ian Mahinmi enters the game for Marcin Gortat,78 - 66
3:06,John Wall  misses 17-foot jumper,78 - 66
3:04,Kyle O'Quinn defensive rebound,78 - 66
2:59,Mindaugas Kuzminskas  misses driving layup,78 - 66
2:57,Bradley Beal defensive rebound,78 - 66
2:49,Bradley Beal  misses 25-foot three point pullup jump shot,78 - 66
2:47,Mindaugas Kuzminskas defensive rebound,78 - 66
2:38,Kyle O'Quinn makes layup (Ron Baker assists),78 - 68
2:38,Ian Mahinmi shooting foul  (Kyle O'Quinn draws the foul),78 - 68
2:38,Wizards Full timeout,78 - 68
2:38,Brandon Jennings enters the game for John Wall,78 - 68
2:38,Kyle O'Quinn makes free throw 1 of 1,78 - 69
2:23,Kyle O'Quinn shooting foul  (Bojan Bogdanovic draws the foul),78 - 69
2:23,Bojan Bogdanovic makes free throw 1 of 2,79 - 69
2:23,Bojan Bogdanovic makes free throw 2 of 2,80 - 69
2:00,Justin Holiday  back court turnover,80 - 69
2:00,Sasha Vujacic enters the game for Ron Baker,80 - 69
1:49,Kelly Oubre Jr. makes 15-foot jumper (Brandon Jennings assists),82 - 69
1:28,Justin Holiday makes driving layup (Maurice Ndour assists),82 - 71
1:19,Bojan Bogdanovic  misses three point jumper,82 - 71
1:16,Sasha Vujacic defensive rebound,82 - 71
1:07,Ian Mahinmi shooting foul  (Kyle O'Quinn draws the foul),82 - 71
1:07,Kyle O'Quinn makes free throw 1 of 2,82 - 72
1:07,Kyle O'Quinn makes free throw 2 of 2,82 - 73
44.0,Ian Mahinmi  misses layup,82 - 73
42.0,Justin Holiday defensive rebound,82 - 73
36.0,Maurice Ndour  misses 18-foot jumper,82 - 73
35.0,Ian Mahinmi defensive rebound,82 - 73
21.0,Bojan Bogdanovic  misses 15-foot jumper,82 - 73
19.0,Justin Holiday defensive rebound,82 - 73
3.0,Sasha Vujacic makes 22-foot jumper,82 - 75
1.0,Brandon Jennings  misses 34-foot three point jumper,82 - 75
0.0,Wizards offensive team rebound,82 - 75
0.0,End of the 3rd Quarter,82 - 75
11:57,Kelly Oubre Jr.  bad pass (Sasha Vujacic steals),82 - 75
11:52,Mindaugas Kuzminskas  misses 24-foot three point jumper,82 - 75
11:51,Bojan Bogdanovic defensive rebound,82 - 75
11:27,Bradley Beal makes driving layup,84 - 75
11:10,Mindaugas Kuzminskas  misses layup,84 - 75
11:07,Mindaugas Kuzminskas makes tip shot,84 - 77
