time,play,score
12:00,Marcin Gortat vs. Dirk Nowitzki (John Wall gains possession),0 - 0
11:42,Marcin Gortat  misses 7-foot two point shot,0 - 0
11:42,Dirk Nowitzki defensive rebound,0 - 0
11:26,Dirk Nowitzki makes 19-foot jumper (Harrison Barnes assists),0 - 2
11:14,Dirk Nowitzki shooting foul  (Markieff Morris draws the foul),0 - 2
11:14,Markieff Morris makes free throw 1 of 2,1 - 2
11:14,Markieff Morris makes free throw 2 of 2,2 - 2
11:14,Harrison Barnes makes two point shot,2 - 4
10:57,Markieff Morris  misses 9-foot two point jumper,2 - 4
10:57,Marcin Gortat offensive rebound,2 - 4
10:52,Marcin Gortat  misses 6-foot two point shot,2 - 4
10:52,Markieff Morris  misses 1-foot,2 - 4
10:52,Markieff Morris offensive rebound,2 - 4
10:48,Wizards offensive team rebound,2 - 4
10:23,Bradley Beal  misses Driving Floating Jump Shot,2 - 4
10:22,Dirk Nowitzki defensive rebound,2 - 4
10:06,Dorian Finney-Smith  misses 25-foot three point jumper,2 - 4
10:04,Markieff Morris defensive rebound,2 - 4
9:52,Marcin Gortat  misses 6-foot two point shot,2 - 4
9:52,Dirk Nowitzki defensive rebound,2 - 4
9:47,Dirk Nowitzki  misses 27-foot three point jumper,2 - 4
9:44,Otto Porter Jr. defensive rebound,2 - 4
9:32,Marcin Gortat  misses finger roll layup,2 - 4
9:30,Dirk Nowitzki defensive rebound,2 - 4
9:23,Otto Porter Jr. blocks Harrison Barnes 's 2-foot  shot,2 - 4
9:22,Marcin Gortat defensive rebound,2 - 4
9:10,John Wall makes 15-foot two point shot,4 - 4
8:55,Harrison Barnes makes 18-foot jumper (Deron Williams assists),4 - 6
8:41,Markieff Morris makes layup (John Wall assists),6 - 6
8:26,Dirk Nowitzki  misses 20-foot jumper,6 - 6
8:26,Bradley Beal defensive rebound,6 - 6
8:19,Bradley Beal makes two point shot,8 - 6
8:08,Wesley Matthews makes Driving Floating Jump Shot,8 - 8
7:39,shot clock turnover,8 - 8
7:24,Deron Williams makes 24-foot  three point jumper  (Harrison Barnes assists),8 - 11
7:00,Deron Williams personal foul  (John Wall draws the foul),8 - 11
7:00,Andrew Bogut enters the game for Dirk Nowitzki,8 - 11
6:50,Dorian Finney-Smith shooting foul  (Marcin Gortat draws the foul),9 - 11
6:50,Marcin Gortat makes free throw 1 of 2,9 - 11
6:50,Marcin Gortat makes free throw 2 of 2,10 - 11
6:26,shot clock turnover,10 - 11
6:15,Markieff Morris makes  three point jumper  (Bradley Beal assists),13 - 11
6:05,Deron Williams makes 24-foot  three point jumper,13 - 14
5:52,Otto Porter Jr. makes 23-foot  three point jumper  (John Wall assists),16 - 14
5:52,Mavericks Full timeout,16 - 14
5:43,Deron Williams makes layup (Andrew Bogut assists),16 - 16
5:28,Bradley Beal makes 24-foot  three point jumper  (Marcin Gortat assists),19 - 16
5:15,Wesley Matthews  misses 24-foot three point jumper,19 - 16
5:13,Markieff Morris defensive rebound,19 - 16
4:56,Bradley Beal  misses 23-foot jumper,19 - 16
4:54,Deron Williams defensive rebound,19 - 16
4:48,Bradley Beal shooting foul  (Harrison Barnes draws the foul),19 - 16
4:48,Harrison Barnes makes free throw 1 of 2,19 - 17
4:48,Devin Harris enters the game for Deron Williams,19 - 17
4:48,Seth Curry enters the game for Dorian Finney-Smith,19 - 17
4:48,Harrison Barnes makes free throw 2 of 2,19 - 18
4:48,Kelly Oubre Jr. enters the game for Markieff Morris,19 - 18
4:37,Bradley Beal  misses 25-foot three point jumper,19 - 18
4:37,Harrison Barnes defensive rebound,19 - 18
4:18,Andrew Bogut  bad pass (Otto Porter Jr. steals),19 - 18
4:16,Bradley Beal makes two point shot (Otto Porter Jr. assists),21 - 18
3:51,Andrew Bogut  misses 13-foot jumper,21 - 18
3:50,Mavericks offensive team rebound,21 - 18
3:50,shot clock turnover,21 - 18
3:43,Otto Porter Jr. makes 26-foot  three point jumper  (John Wall assists),24 - 18
3:41,Mavericks 20 Sec. timeout,24 - 18
3:41,Marcus Thornton enters the game for Bradley Beal,24 - 18
3:21,Devin Harris  misses three point jumper,24 - 18
3:21,John Wall defensive rebound,24 - 18
3:14,Otto Porter Jr.  misses 25-foot three point jumper,24 - 18
3:14,Wesley Matthews defensive rebound,24 - 18
3:03,Seth Curry  misses three point jumper,24 - 18
3:01,John Wall defensive rebound,24 - 18
2:55,Andrew Bogut blocks Otto Porter Jr.'s  shot,24 - 18
2:54,Seth Curry defensive rebound,24 - 18
2:47,Devin Harris  misses 25-foot three point jumper,24 - 18
2:47,John Wall defensive rebound,24 - 18
2:31,Marcin Gortat offensive foul  (Devin Harris draws the foul),24 - 18
2:31,Marcin Gortat  turnover,24 - 18
