time,play,score
12:00,Marcin Gortat vs. Steven Adams (Markieff Morris gains possession),0 - 0
11:38,Markieff Morris makes 12-foot two point shot,2 - 0
11:18,Domantas Sabonis makes 13-foot jumper (Victor Oladipo assists),2 - 2
11:00,John Wall  misses 25-foot three point jumper,2 - 2
11:00,Domantas Sabonis defensive rebound,2 - 2
10:51,Russell Westbrook  misses driving layup,2 - 2
10:49,Thunder offensive team rebound,2 - 2
10:44,Steven Adams  misses 6-foot two point shot,2 - 2
10:44,Marcin Gortat defensive rebound,2 - 2
10:33,Markieff Morris  bad pass (Domantas Sabonis steals),2 - 2
10:30,Russell Westbrook makes two point shot (Domantas Sabonis assists),2 - 4
10:00,Steven Adams shooting foul  (Bradley Beal draws the foul),2 - 4
10:00,Bradley Beal makes free throw 1 of 2,3 - 4
10:00,Bradley Beal misses free throw 2 of 2,3 - 4
10:00,Russell Westbrook defensive rebound,3 - 4
9:55,Andre Roberson makes layup (Russell Westbrook assists),3 - 6
9:41,Bradley Beal makes 2-foot layup (John Wall assists),5 - 6
9:27,Victor Oladipo makes two point shot,5 - 8
9:15,Marcin Gortat  misses dunk,5 - 8
9:15,John Wall offensive rebound,5 - 8
9:11,John Wall makes 25-foot  three pointer,8 - 8
9:04,Marcin Gortat personal block  (Russell Westbrook draws the foul),8 - 8
8:59,Russell Westbrook  misses 15-foot jumper,8 - 8
8:57,Marcin Gortat defensive rebound,8 - 8
8:48,Marcin Gortat  misses layup,8 - 8
8:48,Steven Adams defensive rebound,8 - 8
8:34,Victor Oladipo makes 15-foot jumper (Domantas Sabonis assists),8 - 10
8:15,Markieff Morris  misses 15-foot two point jumper,8 - 10
8:15,Russell Westbrook defensive rebound,8 - 10
7:58,Russell Westbrook  bad pass (Bradley Beal steals),8 - 10
7:52,Bradley Beal  misses jump shot,8 - 10
7:52,Andre Roberson defensive rebound,8 - 10
7:41,Russell Westbrook  misses 17-foot jumper,8 - 10
7:39,Otto Porter Jr. defensive rebound,8 - 10
7:31,Victor Oladipo shooting foul  (Bradley Beal draws the foul),8 - 10
7:31,Bradley Beal misses free throw 1 of 2,8 - 10
7:31,Wizards offensive team rebound,8 - 10
7:31,Joffrey Lauvergne enters the game for Domantas Sabonis,8 - 10
7:31,Bradley Beal misses free throw 2 of 2,8 - 10
7:31,Steven Adams defensive rebound,8 - 10
7:22,Otto Porter Jr. personal foul  (Victor Oladipo draws the foul),8 - 10
7:13,Steven Adams  traveling,8 - 10
7:03,Otto Porter Jr.  misses 25-foot three point jumper,8 - 10
7:03,Joffrey Lauvergne defensive rebound,8 - 10
6:52,Russell Westbrook  misses layup,8 - 10
6:52,Russell Westbrook offensive rebound,8 - 10
6:50,Russell Westbrook  misses layup,8 - 10
6:50,Otto Porter Jr. defensive rebound,8 - 10
6:39,Markieff Morris makes driving dunk,10 - 10
6:35,Thunder Full timeout,10 - 10
6:30,Russell Westbrook  misses,10 - 10
6:28,Wizards defensive team rebound,10 - 10
6:09,John Wall  misses 17-foot two point jumper,12 - 10
6:09,Marcin Gortat offensive rebound,10 - 10
6:09,Marcin Gortat makes layup,12 - 10
5:50,Russell Westbrook  lost ball turnover (John Wall steals),12 - 10
5:48,Russell Westbrook personal foul  (Markieff Morris draws the foul),12 - 10
5:48,Anthony Morrow enters the game for Victor Oladipo,12 - 10
